entry.id,jurisdiction,intervention.category,intervention.type,primary.source.news.release.or.specific.resource,secondary.source,action,level,indigenous.population.group,date.announced,date.implemented,intervention.who,intervention.what,effective.until
AB001,Alta.,Case management,Case management — case definition,https://open.alberta.ca/dataset/a86d7a85-ce89-4e1c-9ec6-d1179674988f/resource/62fe3e6f-25f5-48b0-bbed-e900d8d83fd4/download/health-guidelines-coronavirus-novel-2020-01.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-01-01,"Ministry of Health, Government of Alberta",Published case definition based on Alta. Notifiable Disease Guidelines where a confirmed case is defined as person with laboratory confirmation of infection based on testing guidelines.,
AB002,Alta.,Case management,Case management — self-isolation,https://open.alberta.ca/publications/self-isolation-information-sheet ,https://open.alberta.ca/dataset/44e7c639-7bb6-4bb4-9138-1abf5c56a7b8/resource/91cd86ac-7eaf-4376-9f9a-0b600a9af2fa/download/health-self-isolation-information-sheet.pdf,To be completed,Provincial/territorial,FALSE,,2020-02-06,Government of Alberta,Published infosheet with guidance on self-isolation,
AB003,Alta.,Case management,Case management — online assessment,https://myhealth.alberta.ca/Journey/COVID-19/Pages/COVID-Self-Assessment.aspx ,https://globalnews.ca/news/6675698/coronavirus-alberta-online-assessment-tool/,To be completed,Provincial/territorial,FALSE,2020-03-13,2020-03-13,Alberta Health Services,Launched a self-assessment online tool,
AB004,Alta.,Distancing,Distancing — gatherings,https://www.alberta.ca/release.cfm?xID=6983858E7C38E-ECE2-9356-73A12A71C38568DB,https://calgaryherald.com/news/local-news/alberta-covid-19-toll-hits-as-nhl-suspends-season-kenney-comes-home/,To be completed,Provincial/territorial,FALSE,2020-03-13,2020-03-13,"Government of Alberta, Premier, Chief Medical Officer of Health",Prohibited gatherings of more than 250 people,
AB005,Alta.,Travel,Travel — self-isolation,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-15,Government of Alberta,Travellers returning to Alta. from outside Canada are required to self-isolate for 14 days.,
AB006,Alta.,Health services,Health services — visitors,https://www.albertahealthservices.ca/topics/Page17001.aspx,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,To be completed,Provincial/territorial,FALSE,2020-03-16,2020-03-16,Alberta Health Services,"Restricted long-term care visitor access to 1 visitor only, with visitor screening in place",
AB007,Alta.,Health services,Health services — visitors,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,https://www.albertahealthservices.ca/topics/Page17001.aspx,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-16,"Government of Alberta, Alberta Health Services, Premier, Chief Medical Officer of Health",Recommended restriction to only essential visitors for long-term care facilities,
AB008,Alta.,Case management,Case management — self-isolation,https://www.albertahealthservices.ca/topics/Page16997.aspx#social ,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-03-16,Government of Alberta,"Published guidance on self-isolation for travellers, contacts of known cases and other suspected COVID-19 cases",
AB009,Alta.,Distancing,Distancing — gatherings,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#p25583s4,To be completed,Provincial/territorial,FALSE,2020-03-27,2020-03-27,"Government of Alberta, Premier, Chief Medical Officer of Health",Prohibited gatherings of more than 15 people.,
AB010,Alta.,Closures,Closures — non-essential services,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/essential-services.aspx,To be completed,Provincial/territorial,FALSE,2020-03-27,2020-03-27,"Government of Alberta, Premier, Chief Medical Officer of Health","Ordered closures of ""close contact"" businesses and sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars continue to be closed.",
AB011,Alta.,Health services,Health services — delayed medical procedures ,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-27,2020-03-27,"Government of Alberta, Premier, Chief Medical Officer of Health",All non-urgent scheduled and elective diagnostic imaging procedures postponed. Urgent and emergent care outpatient CT and MRI procedures continue.,
AB012,Alta.,Health services,Health services — delayed medical procedures ,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-27,2020-03-27,"Chief Medical Officer of Health, Alberta Precision Laboratories, DynaLIFE",All non-urgent scheduled and elective laboratory testing asked to stop. Critical bloodwork will continue.,
AB013,Alta.,Closures,Closures — recreation,https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-03-27,Ministry of Environment and Parks,Restricted parks access — vehicles no longer permitted,
AB014,Alta.,Case management,Case management — test criteria,https://www.alberta.ca/release.cfm?xID=69961C8FA869F-A2ED-1F01-91C6C6B3800FCC51,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-30,2020-03-30,"Alberta Health Services, Chief Medical Officer of Health","Stopped testing returning travellers, which explained why daily positive cases temporarily decreased",
AB016,Alta.,Health workforce,Health workforce — safety guidelines,https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-01,2020-04-01,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health",Strict infection prevention protocols implemented in continuing care facilities to stop the spread of infection,
AB017,Alta.,Case management,Case management — self-isolation,https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-01,2020-04-01,Chief Medical Officer of Health,"Exemption for travellers or those in close contact with COVID-19 positive cases to attend their medically necessary appointments, with permission, in person",
AB018,Alta.,Case management,Case management — test criteria,https://www.alberta.ca/release.cfm?xID=6998861D619F0-FD4B-F1BD-FCAFA247C962F06C,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-02,2020-04-02,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Required staff and operators in congregate settings to notify public health as soon as a case is suspected or confirmed, or if 2 or more residents exhibit COVID-19 symptoms",
AB019,Alta.,Health services,Health services — visitors,https://www.alberta.ca/release.cfm?xID=699969950607B-D32C-5384-72FF67F8EAFEDA54,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-03,2020-04-03,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Restricted hospital visitors. Patients in hospital no longer permitted any in-person visitors, with some exceptions.",
AB020,Alta.,Case management,Case management — test criteria,https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-06,2020-04-06,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health",Expanded testing criteria to focus on,
AB021,Alta.,Public information,Public information — masks,https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-06,2020-04-06,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health",Recommendation to wear a face covering to prevent transmission. Does not prevent illness of the person wearing it.,
AB024,Alta.,Public information,Public information — projections,https://www.alberta.ca/covid-19-alberta-data.aspx,https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection.pdf,To be completed,Provincial/territorial,FALSE,2020-04-08,2020-04-08,Ministry of Health,Released projections for cases and critical care capacity,
AB025,Alta.,Case management,Case management — test criteria,https://www.alberta.ca/release.cfm?xID=700419C42FE25-A580-998C-F6D9A324453B7F69,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-08,2020-04-08,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Expanded testing criteria to include 1) anyone in the Calgary health zone with symptoms: shortness of breath, runny rose, cough, fever or sore throat; 2) essential workers in any health zone; 3) anyone in any health zone who has symptoms AND lives with someone over 65 years old",
AB026,Alta.,Health workforce,Health workforce — safety guidelines,https://www.alberta.ca/release.cfm?xID=700808F1AD262-0CEB-433E-C93F2450668973EA,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-10,2020-04-10,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health",All workers in long-term care and Alberta Health Services contracted provider and community settings are required to wear masks at all times while providing direct patient care.,
AB028,Alta.,Case management,Case management — test criteria,https://www.alberta.ca/release.cfm?xID=7008498980F35-9211-D7B4-D8F044053FCA3D9E,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-13,2020-04-13,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Expanded testing criteria to anyone in Alberta who has a fever, cough, shortness of breath, a runny nose or a sore throat",
AB029,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://www.clpna.com/applicants/previously-licensed-alberta/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-01,2020-03-01,College of Licensed Practical Nurses of Alberta,"Waived or modified registration requirements for former licensed practical nurses, allowing them to apply for temporary registration during the pandemic",
AB030,Alta.,Case management,Case management — test criteria,https://www.albertahealthservices.ca/assets/info/hp/phys/if-hp-phys-moh-novel-coronavirus-update-external.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-12,2020-03-12,"Alberta Health Services, medical officers of health",Published criteria for physicians and front-line clinical staff to prioritize screening people with fever and/or a cough or shortness of breath if they met specific criteria within 14 days before their symptoms started,
