date,HR,cases,province
2020-03-06,Calgary Zone,1,Alberta
2020-03-09,Calgary Zone,3,Alberta
2020-03-09,Edmonton Zone,3,Alberta
2020-03-10,Calgary Zone,6,Alberta
2020-03-10,Edmonton Zone,3,Alberta
2020-03-11,Calgary Zone,5,Alberta
2020-03-11,Central Zone,1,Alberta
2020-03-11,Edmonton Zone,1,Alberta
2020-03-12,Calgary Zone,2,Alberta
2020-03-12,North Zone,1,Alberta
2020-03-13,Calgary Zone,7,Alberta
2020-03-13,Edmonton Zone,1,Alberta
2020-03-14,Calgary Zone,13,Alberta
2020-03-14,Edmonton Zone,9,Alberta
2020-03-15,Calgary Zone,10,Alberta
2020-03-15,Edmonton Zone,1,Alberta
2020-03-16,Calgary Zone,16,Alberta
2020-03-16,Central Zone,1,Alberta
2020-03-16,Edmonton Zone,5,Alberta
2020-03-16,North Zone,1,Alberta
2020-03-16,South Zone,1,Alberta
2020-03-17,Calgary Zone,3,Alberta
2020-03-17,Central Zone,1,Alberta
2020-03-17,Edmonton Zone,6,Alberta
2020-03-17,North Zone,1,Alberta
2020-03-18,Calgary Zone,23,Alberta
2020-03-18,Edmonton Zone,3,Alberta
2020-03-18,North Zone,1,Alberta
2020-03-18,South Zone,2,Alberta
2020-03-19,Calgary Zone,15,Alberta
2020-03-19,Edmonton Zone,8,Alberta
2020-03-19,North Zone,8,Alberta
2020-03-19,South Zone,1,Alberta
2020-03-20,Calgary Zone,30,Alberta
2020-03-20,Central Zone,1,Alberta
2020-03-20,Edmonton Zone,13,Alberta
2020-03-20,North Zone,1,Alberta
2020-03-20,South Zone,2,Alberta
2020-03-21,Calgary Zone,26,Alberta
2020-03-21,Central Zone,2,Alberta
2020-03-21,Edmonton Zone,4,Alberta
2020-03-21,North Zone,2,Alberta
2020-03-21,South Zone,1,Alberta
2020-03-22,Calgary Zone,33,Alberta
2020-03-22,Central Zone,5,Alberta
2020-03-22,Edmonton Zone,5,Alberta
2020-03-22,North Zone,3,Alberta
2020-03-22,South Zone,1,Alberta
2020-03-23,Calgary Zone,27,Alberta
2020-03-23,Central Zone,12,Alberta
2020-03-23,Edmonton Zone,14,Alberta
2020-03-24,Calgary Zone,38,Alberta
2020-03-24,Central Zone,11,Alberta
2020-03-24,Edmonton Zone,15,Alberta
2020-03-24,North Zone,2,Alberta
2020-03-24,South Zone,2,Alberta
2020-03-25,Calgary Zone,46,Alberta
2020-03-25,Central Zone,1,Alberta
2020-03-25,Edmonton Zone,12,Alberta
2020-03-25,North Zone,3,Alberta
2020-03-25,South Zone,1,Alberta
2020-03-26,Calgary Zone,45,Alberta
2020-03-26,Central Zone,1,Alberta
2020-03-26,Edmonton Zone,4,Alberta
2020-03-26,North Zone,3,Alberta
2020-03-27,Calgary Zone,43,Alberta
2020-03-27,Central Zone,6,Alberta
2020-03-27,Edmonton Zone,21,Alberta
2020-03-27,North Zone,13,Alberta
2020-03-27,South Zone,2,Alberta
2020-03-28,Calgary Zone,33,Alberta
2020-03-28,Central Zone,1,Alberta
2020-03-28,Edmonton Zone,16,Alberta
2020-03-28,North Zone,4,Alberta
2020-03-29,Calgary Zone,23,Alberta
2020-03-29,Central Zone,1,Alberta
2020-03-29,Edmonton Zone,10,Alberta
2020-03-30,Calgary Zone,20,Alberta
2020-03-30,Central Zone,1,Alberta
2020-03-30,Edmonton Zone,16,Alberta
2020-03-30,North Zone,3,Alberta
2020-03-31,Calgary Zone,84,Alberta
2020-03-31,Central Zone,4,Alberta
2020-03-31,Edmonton Zone,35,Alberta
2020-03-31,North Zone,9,Alberta
2020-04-01,Calgary Zone,62,Alberta
2020-04-01,Central Zone,2,Alberta
2020-04-01,Edmonton Zone,43,Alberta
2020-04-01,South Zone,1,Alberta
2020-04-02,Calgary Zone,82,Alberta
2020-04-02,Central Zone,4,Alberta
2020-04-02,Edmonton Zone,28,Alberta
2020-04-02,North Zone,5,Alberta
2020-04-02,South Zone,3,Alberta
2020-04-03,Calgary Zone,47,Alberta
2020-04-03,Central Zone,1,Alberta
2020-04-03,Edmonton Zone,18,Alberta
2020-04-03,North Zone,3,Alberta
2020-04-03,South Zone,2,Alberta
2020-04-04,Calgary Zone,33,Alberta
2020-04-04,Central Zone,1,Alberta
2020-04-04,Edmonton Zone,14,Alberta
2020-04-04,North Zone,11,Alberta
2020-04-04,South Zone,1,Alberta
2020-04-05,Calgary Zone,15,Alberta
2020-04-05,Central Zone,4,Alberta
2020-04-05,Edmonton Zone,18,Alberta
2020-04-05,North Zone,3,Alberta
2020-04-05,South Zone,2,Alberta
2020-04-06,Calgary Zone,17,Alberta
2020-04-06,Edmonton Zone,10,Alberta
2020-04-06,North Zone,6,Alberta
2020-04-06,South Zone,1,Alberta
2020-04-07,Calgary Zone,25,Alberta
2020-04-07,Central Zone,6,Alberta
2020-04-07,Edmonton Zone,13,Alberta
2020-04-07,North Zone,7,Alberta
2020-04-07,South Zone,2,Alberta
2020-04-08,Calgary Zone,19,Alberta
2020-04-08,Edmonton Zone,11,Alberta
2020-04-08,North Zone,2,Alberta
2020-04-08,South Zone,1,Alberta
2020-04-09,Calgary Zone,38,Alberta
2020-04-09,Edmonton Zone,7,Alberta
2020-04-10,Calgary Zone,45,Alberta
2020-04-10,Edmonton Zone,2,Alberta
2020-04-10,North Zone,2,Alberta
2020-04-11,Calgary Zone,51,Alberta
2020-04-11,Edmonton Zone,6,Alberta
2020-04-11,North Zone,5,Alberta
2020-04-11,South Zone,3,Alberta
2020-04-12,Calgary Zone,59,Alberta
2020-04-12,Central Zone,2,Alberta
2020-04-12,Edmonton Zone,4,Alberta
2020-04-12,North Zone,2,Alberta
2020-04-12,South Zone,1,Alberta
2020-04-13,Calgary Zone,64,Alberta
2020-04-13,Edmonton Zone,2,Alberta
2020-04-13,North Zone,2,Alberta
2020-04-14,Calgary Zone,111,Alberta
2020-04-14,Edmonton Zone,5,Alberta
2020-04-14,North Zone,8,Alberta
2020-04-14,South Zone,3,Alberta
2020-04-15,Calgary Zone,102,Alberta
2020-04-15,Edmonton Zone,10,Alberta
2020-04-15,North Zone,9,Alberta
2020-04-15,South Zone,12,Alberta
2020-04-16,Calgary Zone,131,Alberta
2020-04-16,Edmonton Zone,5,Alberta
2020-04-16,South Zone,10,Alberta
2020-04-17,Calgary Zone,181,Alberta
2020-04-17,Central Zone,1,Alberta
2020-04-17,Edmonton Zone,4,Alberta
2020-04-17,North Zone,5,Alberta
2020-04-17,South Zone,22,Alberta
2020-04-18,Calgary Zone,142,Alberta
2020-04-18,Edmonton Zone,3,Alberta
2020-04-18,North Zone,1,Alberta
2020-04-18,South Zone,41,Alberta
2020-04-19,Calgary Zone,154,Alberta
2020-04-19,Central Zone,1,Alberta
2020-04-19,Edmonton Zone,6,Alberta
2020-04-19,North Zone,5,Alberta
2020-04-19,South Zone,35,Alberta
2020-04-20,Calgary Zone,113,Alberta
2020-04-20,Edmonton Zone,12,Alberta
2020-04-20,North Zone,8,Alberta
2020-04-20,South Zone,50,Alberta
2020-04-21,Calgary Zone,163,Alberta
2020-04-21,Central Zone,2,Alberta
2020-04-21,Edmonton Zone,4,Alberta
2020-04-21,North Zone,5,Alberta
2020-04-21,South Zone,90,Alberta
2020-04-22,Calgary Zone,232,Alberta
2020-04-22,Edmonton Zone,4,Alberta
2020-04-22,North Zone,5,Alberta
2020-04-22,South Zone,53,Alberta
2020-04-23,Calgary Zone,234,Alberta
2020-04-23,Central Zone,2,Alberta
2020-04-23,Edmonton Zone,8,Alberta
2020-04-23,North Zone,10,Alberta
2020-04-23,South Zone,86,Alberta
2020-04-24,Calgary Zone,154,Alberta
