date,wave,HR,province,cases
2020-01-29,1,Fraser East,British Columbia,0
2020-01-29,1,Fraser North,British Columbia,0
2020-01-29,1,Fraser South,British Columbia,0
2020-01-29,1,East Kootenay,British Columbia,0
2020-01-29,1,Kootenay Boundary,British Columbia,0
2020-01-29,1,Okanagan,British Columbia,0
2020-01-29,1,Thompson Cariboo Shuswap,British Columbia,0
2020-01-29,1,Northeast,British Columbia,0
2020-01-29,1,Northern Interior,British Columbia,0
2020-01-29,1,Northwest,British Columbia,0
2020-01-29,1,North Shore/Coast Garibaldi,British Columbia,0
2020-01-29,1,Richmond,British Columbia,0
2020-01-29,1,Vancouver,British Columbia,0
2020-01-29,1,Central Vancouver Island,British Columbia,0
2020-01-29,1,North Vancouver Island,British Columbia,0
2020-01-29,1,South Vancouver Island,British Columbia,0
2020-01-30,1,Fraser East,British Columbia,0
2020-01-30,1,Fraser North,British Columbia,0
2020-01-30,1,Fraser South,British Columbia,0
2020-01-30,1,East Kootenay,British Columbia,0
2020-01-30,1,Kootenay Boundary,British Columbia,0
2020-01-30,1,Okanagan,British Columbia,0
2020-01-30,1,Thompson Cariboo Shuswap,British Columbia,0
2020-01-30,1,Northeast,British Columbia,0
2020-01-30,1,Northern Interior,British Columbia,0
2020-01-30,1,Northwest,British Columbia,0
2020-01-30,1,North Shore/Coast Garibaldi,British Columbia,0
2020-01-30,1,Richmond,British Columbia,0
2020-01-30,1,Vancouver,British Columbia,0
2020-01-30,1,Central Vancouver Island,British Columbia,0
2020-01-30,1,North Vancouver Island,British Columbia,0
2020-01-30,1,South Vancouver Island,British Columbia,0
2020-01-31,1,Fraser East,British Columbia,0
2020-01-31,1,Fraser North,British Columbia,0
2020-01-31,1,Fraser South,British Columbia,0
2020-01-31,1,East Kootenay,British Columbia,0
2020-01-31,1,Kootenay Boundary,British Columbia,0
2020-01-31,1,Okanagan,British Columbia,0
2020-01-31,1,Thompson Cariboo Shuswap,British Columbia,0
2020-01-31,1,Northeast,British Columbia,0
2020-01-31,1,Northern Interior,British Columbia,0
2020-01-31,1,Northwest,British Columbia,0
2020-01-31,1,North Shore/Coast Garibaldi,British Columbia,0
2020-01-31,1,Richmond,British Columbia,0
2020-01-31,1,Vancouver,British Columbia,0
2020-01-31,1,Central Vancouver Island,British Columbia,0
2020-01-31,1,North Vancouver Island,British Columbia,0
2020-01-31,1,South Vancouver Island,British Columbia,0
2020-02-01,1,Fraser East,British Columbia,0
2020-02-01,1,Fraser North,British Columbia,0
2020-02-01,1,Fraser South,British Columbia,0
2020-02-01,1,East Kootenay,British Columbia,0
2020-02-01,1,Kootenay Boundary,British Columbia,0
2020-02-01,1,Okanagan,British Columbia,0
2020-02-01,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-01,1,Northeast,British Columbia,0
2020-02-01,1,Northern Interior,British Columbia,0
2020-02-01,1,Northwest,British Columbia,0
2020-02-01,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-01,1,Richmond,British Columbia,0
2020-02-01,1,Vancouver,British Columbia,0
2020-02-01,1,Central Vancouver Island,British Columbia,0
2020-02-01,1,North Vancouver Island,British Columbia,0
2020-02-01,1,South Vancouver Island,British Columbia,0
2020-02-02,1,Fraser East,British Columbia,0
2020-02-02,1,Fraser North,British Columbia,0
2020-02-02,1,Fraser South,British Columbia,0
2020-02-02,1,East Kootenay,British Columbia,0
2020-02-02,1,Kootenay Boundary,British Columbia,0
2020-02-02,1,Okanagan,British Columbia,0
2020-02-02,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-02,1,Northeast,British Columbia,0
2020-02-02,1,Northern Interior,British Columbia,0
2020-02-02,1,Northwest,British Columbia,0
2020-02-02,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-02,1,Richmond,British Columbia,0
2020-02-02,1,Vancouver,British Columbia,0
2020-02-02,1,Central Vancouver Island,British Columbia,0
2020-02-02,1,North Vancouver Island,British Columbia,0
2020-02-02,1,South Vancouver Island,British Columbia,0
2020-02-03,1,Fraser East,British Columbia,0
2020-02-03,1,Fraser North,British Columbia,0
2020-02-03,1,Fraser South,British Columbia,0
2020-02-03,1,East Kootenay,British Columbia,0
2020-02-03,1,Kootenay Boundary,British Columbia,0
2020-02-03,1,Okanagan,British Columbia,0
2020-02-03,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-03,1,Northeast,British Columbia,0
2020-02-03,1,Northern Interior,British Columbia,0
2020-02-03,1,Northwest,British Columbia,0
2020-02-03,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-03,1,Richmond,British Columbia,0
2020-02-03,1,Vancouver,British Columbia,0
2020-02-03,1,Central Vancouver Island,British Columbia,0
2020-02-03,1,North Vancouver Island,British Columbia,0
2020-02-03,1,South Vancouver Island,British Columbia,0
2020-02-04,1,Fraser East,British Columbia,0
2020-02-04,1,Fraser North,British Columbia,0
2020-02-04,1,Fraser South,British Columbia,0
2020-02-04,1,East Kootenay,British Columbia,0
2020-02-04,1,Kootenay Boundary,British Columbia,0
2020-02-04,1,Okanagan,British Columbia,0
2020-02-04,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-04,1,Northeast,British Columbia,0
2020-02-04,1,Northern Interior,British Columbia,0
2020-02-04,1,Northwest,British Columbia,0
2020-02-04,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-04,1,Richmond,British Columbia,0
2020-02-04,1,Vancouver,British Columbia,0
2020-02-04,1,Central Vancouver Island,British Columbia,0
2020-02-04,1,North Vancouver Island,British Columbia,0
2020-02-04,1,South Vancouver Island,British Columbia,0
2020-02-05,1,Fraser East,British Columbia,0
2020-02-05,1,Fraser North,British Columbia,0
2020-02-05,1,Fraser South,British Columbia,0
2020-02-05,1,East Kootenay,British Columbia,0
2020-02-05,1,Kootenay Boundary,British Columbia,0
2020-02-05,1,Okanagan,British Columbia,0
2020-02-05,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-05,1,Northeast,British Columbia,0
2020-02-05,1,Northern Interior,British Columbia,0
2020-02-05,1,Northwest,British Columbia,0
2020-02-05,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-05,1,Richmond,British Columbia,0
2020-02-05,1,Vancouver,British Columbia,0
2020-02-05,1,Central Vancouver Island,British Columbia,0
2020-02-05,1,North Vancouver Island,British Columbia,0
2020-02-05,1,South Vancouver Island,British Columbia,0
2020-02-06,1,Fraser East,British Columbia,0
2020-02-06,1,Fraser North,British Columbia,0
2020-02-06,1,Fraser South,British Columbia,0
2020-02-06,1,East Kootenay,British Columbia,0
2020-02-06,1,Kootenay Boundary,British Columbia,0
2020-02-06,1,Okanagan,British Columbia,0
2020-02-06,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-06,1,Northeast,British Columbia,0
2020-02-06,1,Northern Interior,British Columbia,0
