province,date,HR,cases,wave
Manitoba,2020-01-25,Interlake-Eastern,0,1
Manitoba,2020-01-26,Interlake-Eastern,0,1
Manitoba,2020-01-27,Interlake-Eastern,0,1
Manitoba,2020-01-28,Interlake-Eastern,0,1
Manitoba,2020-01-29,Interlake-Eastern,0,1
Manitoba,2020-01-30,Interlake-Eastern,0,1
Manitoba,2020-01-31,Interlake-Eastern,0,1
Manitoba,2020-02-01,Interlake-Eastern,0,1
Manitoba,2020-02-02,Interlake-Eastern,0,1
Manitoba,2020-02-03,Interlake-Eastern,0,1
Manitoba,2020-02-04,Interlake-Eastern,0,1
Manitoba,2020-02-05,Interlake-Eastern,0,1
Manitoba,2020-02-06,Interlake-Eastern,0,1
Manitoba,2020-02-07,Interlake-Eastern,0,1
Manitoba,2020-02-08,Interlake-Eastern,0,1
Manitoba,2020-02-09,Interlake-Eastern,0,1
Manitoba,2020-02-10,Interlake-Eastern,0,1
Manitoba,2020-02-11,Interlake-Eastern,0,1
Manitoba,2020-02-12,Interlake-Eastern,0,1
Manitoba,2020-02-13,Interlake-Eastern,0,1
Manitoba,2020-02-14,Interlake-Eastern,0,1
Manitoba,2020-02-15,Interlake-Eastern,0,1
Manitoba,2020-02-16,Interlake-Eastern,0,1
Manitoba,2020-02-17,Interlake-Eastern,0,1
Manitoba,2020-02-18,Interlake-Eastern,0,1
Manitoba,2020-02-19,Interlake-Eastern,0,1
Manitoba,2020-02-20,Interlake-Eastern,0,1
Manitoba,2020-02-21,Interlake-Eastern,0,1
Manitoba,2020-02-22,Interlake-Eastern,0,1
Manitoba,2020-02-23,Interlake-Eastern,0,1
Manitoba,2020-02-24,Interlake-Eastern,0,1
Manitoba,2020-02-25,Interlake-Eastern,0,1
Manitoba,2020-02-26,Interlake-Eastern,0,1
Manitoba,2020-02-27,Interlake-Eastern,0,1
Manitoba,2020-02-28,Interlake-Eastern,0,1
Manitoba,2020-02-29,Interlake-Eastern,0,1
Manitoba,2020-03-01,Interlake-Eastern,0,1
Manitoba,2020-03-02,Interlake-Eastern,0,1
Manitoba,2020-03-03,Interlake-Eastern,0,1
Manitoba,2020-03-04,Interlake-Eastern,0,1
Manitoba,2020-03-05,Interlake-Eastern,0,1
Manitoba,2020-03-06,Interlake-Eastern,0,1
Manitoba,2020-03-07,Interlake-Eastern,0,1
Manitoba,2020-03-08,Interlake-Eastern,0,1
Manitoba,2020-03-09,Interlake-Eastern,0,1
Manitoba,2020-03-10,Interlake-Eastern,0,1
Manitoba,2020-03-11,Interlake-Eastern,0,1
Manitoba,2020-03-12,Interlake-Eastern,0,1
