province,date,HR,cases
New Brunswick,2020-01-25,Not Reported,0
New Brunswick,2020-01-26,Not Reported,0
New Brunswick,2020-01-27,Not Reported,0
New Brunswick,2020-01-28,Not Reported,0
New Brunswick,2020-01-29,Not Reported,0
New Brunswick,2020-01-30,Not Reported,0
New Brunswick,2020-01-31,Not Reported,0
New Brunswick,2020-02-01,Not Reported,0
New Brunswick,2020-02-02,Not Reported,0
New Brunswick,2020-02-03,Not Reported,0
New Brunswick,2020-02-04,Not Reported,0
New Brunswick,2020-02-05,Not Reported,0
New Brunswick,2020-02-06,Not Reported,0
New Brunswick,2020-02-07,Not Reported,0
New Brunswick,2020-02-08,Not Reported,0
New Brunswick,2020-02-09,Not Reported,0
New Brunswick,2020-02-10,Not Reported,0
New Brunswick,2020-02-11,Not Reported,0
New Brunswick,2020-02-12,Not Reported,0
New Brunswick,2020-02-13,Not Reported,0
New Brunswick,2020-02-14,Not Reported,0
New Brunswick,2020-02-15,Not Reported,0
New Brunswick,2020-02-16,Not Reported,0
New Brunswick,2020-02-17,Not Reported,0
New Brunswick,2020-02-18,Not Reported,0
New Brunswick,2020-02-19,Not Reported,0
New Brunswick,2020-02-20,Not Reported,0
New Brunswick,2020-02-21,Not Reported,0
New Brunswick,2020-02-22,Not Reported,0
New Brunswick,2020-02-23,Not Reported,0
New Brunswick,2020-02-24,Not Reported,0
New Brunswick,2020-02-25,Not Reported,0
New Brunswick,2020-02-26,Not Reported,0
New Brunswick,2020-02-27,Not Reported,0
New Brunswick,2020-02-28,Not Reported,0
New Brunswick,2020-02-29,Not Reported,0
New Brunswick,2020-03-01,Not Reported,0
New Brunswick,2020-03-02,Not Reported,0
New Brunswick,2020-03-03,Not Reported,0
New Brunswick,2020-03-04,Not Reported,0
New Brunswick,2020-03-05,Not Reported,0
New Brunswick,2020-03-06,Not Reported,0
New Brunswick,2020-03-07,Not Reported,0
New Brunswick,2020-03-08,Not Reported,0
New Brunswick,2020-03-09,Not Reported,0
New Brunswick,2020-03-10,Not Reported,0
New Brunswick,2020-03-11,Not Reported,0
New Brunswick,2020-03-12,Not Reported,0
New Brunswick,2020-03-13,Not Reported,0
New Brunswick,2020-03-14,Not Reported,0
New Brunswick,2020-03-15,Not Reported,0
New Brunswick,2020-03-16,Not Reported,0
New Brunswick,2020-03-17,Not Reported,0
New Brunswick,2020-03-18,Not Reported,0
New Brunswick,2020-03-19,Not Reported,0
New Brunswick,2020-03-20,Not Reported,0
New Brunswick,2020-03-21,Not Reported,0
New Brunswick,2020-03-22,Not Reported,0
New Brunswick,2020-03-23,Not Reported,0
New Brunswick,2020-03-24,Not Reported,0
New Brunswick,2020-03-25,Not Reported,0
New Brunswick,2020-03-26,Not Reported,0
New Brunswick,2020-03-27,Not Reported,0
New Brunswick,2020-03-28,Not Reported,0
New Brunswick,2020-03-29,Not Reported,0
New Brunswick,2020-03-30,Not Reported,0
New Brunswick,2020-03-31,Not Reported,0
New Brunswick,2020-04-01,Not Reported,0
New Brunswick,2020-04-02,Not Reported,0
New Brunswick,2020-04-03,Not Reported,0
New Brunswick,2020-04-04,Not Reported,0
New Brunswick,2020-04-05,Not Reported,0
New Brunswick,2020-04-06,Not Reported,0
New Brunswick,2020-04-07,Not Reported,0
New Brunswick,2020-04-08,Not Reported,0
New Brunswick,2020-04-09,Not Reported,0
New Brunswick,2020-04-10,Not Reported,0
New Brunswick,2020-04-11,Not Reported,0
New Brunswick,2020-04-12,Not Reported,0
New Brunswick,2020-04-13,Not Reported,0
New Brunswick,2020-04-14,Not Reported,0
New Brunswick,2020-04-15,Not Reported,0
New Brunswick,2020-04-16,Not Reported,0
New Brunswick,2020-04-17,Not Reported,0
New Brunswick,2020-04-18,Not Reported,0
New Brunswick,2020-04-19,Not Reported,0
New Brunswick,2020-04-20,Not Reported,0
New Brunswick,2020-04-21,Not Reported,0
New Brunswick,2020-04-22,Not Reported,0
New Brunswick,2020-04-23,Not Reported,0
New Brunswick,2020-04-24,Not Reported,0
