province,date,HR,cases
Northwest Territories,2020-01-25,Northwest Territories,0
Northwest Territories,2020-01-26,Northwest Territories,0
Northwest Territories,2020-01-27,Northwest Territories,0
Northwest Territories,2020-01-28,Northwest Territories,0
Northwest Territories,2020-01-29,Northwest Territories,0
Northwest Territories,2020-01-30,Northwest Territories,0
Northwest Territories,2020-01-31,Northwest Territories,0
Northwest Territories,2020-02-01,Northwest Territories,0
Northwest Territories,2020-02-02,Northwest Territories,0
Northwest Territories,2020-02-03,Northwest Territories,0
Northwest Territories,2020-02-04,Northwest Territories,0
Northwest Territories,2020-02-05,Northwest Territories,0
Northwest Territories,2020-02-06,Northwest Territories,0
Northwest Territories,2020-02-07,Northwest Territories,0
Northwest Territories,2020-02-08,Northwest Territories,0
Northwest Territories,2020-02-09,Northwest Territories,0
Northwest Territories,2020-02-10,Northwest Territories,0
Northwest Territories,2020-02-11,Northwest Territories,0
Northwest Territories,2020-02-12,Northwest Territories,0
Northwest Territories,2020-02-13,Northwest Territories,0
Northwest Territories,2020-02-14,Northwest Territories,0
Northwest Territories,2020-02-15,Northwest Territories,0
Northwest Territories,2020-02-16,Northwest Territories,0
Northwest Territories,2020-02-17,Northwest Territories,0
Northwest Territories,2020-02-18,Northwest Territories,0
Northwest Territories,2020-02-19,Northwest Territories,0
Northwest Territories,2020-02-20,Northwest Territories,0
Northwest Territories,2020-02-21,Northwest Territories,0
Northwest Territories,2020-02-22,Northwest Territories,0
Northwest Territories,2020-02-23,Northwest Territories,0
Northwest Territories,2020-02-24,Northwest Territories,0
Northwest Territories,2020-02-25,Northwest Territories,0
Northwest Territories,2020-02-26,Northwest Territories,0
Northwest Territories,2020-02-27,Northwest Territories,0
Northwest Territories,2020-02-28,Northwest Territories,0
Northwest Territories,2020-02-29,Northwest Territories,0
Northwest Territories,2020-03-01,Northwest Territories,0
Northwest Territories,2020-03-02,Northwest Territories,0
Northwest Territories,2020-03-03,Northwest Territories,0
Northwest Territories,2020-03-04,Northwest Territories,0
Northwest Territories,2020-03-05,Northwest Territories,0
Northwest Territories,2020-03-06,Northwest Territories,0
Northwest Territories,2020-03-07,Northwest Territories,0
Northwest Territories,2020-03-08,Northwest Territories,0
Northwest Territories,2020-03-09,Northwest Territories,0
Northwest Territories,2020-03-10,Northwest Territories,0
Northwest Territories,2020-03-11,Northwest Territories,0
Northwest Territories,2020-03-12,Northwest Territories,0
Northwest Territories,2020-03-13,Northwest Territories,0
Northwest Territories,2020-03-14,Northwest Territories,0
Northwest Territories,2020-03-15,Northwest Territories,0
Northwest Territories,2020-03-16,Northwest Territories,0
Northwest Territories,2020-03-17,Northwest Territories,0
Northwest Territories,2020-03-18,Northwest Territories,0
Northwest Territories,2020-03-19,Northwest Territories,0
Northwest Territories,2020-03-20,Northwest Territories,0
Northwest Territories,2020-03-21,Northwest Territories,1
Northwest Territories,2020-03-22,Northwest Territories,0
Northwest Territories,2020-03-23,Northwest Territories,0
Northwest Territories,2020-03-24,Northwest Territories,0
Northwest Territories,2020-03-25,Northwest Territories,0
Northwest Territories,2020-03-26,Northwest Territories,0
Northwest Territories,2020-03-27,Northwest Territories,0
Northwest Territories,2020-03-28,Northwest Territories,0
Northwest Territories,2020-03-29,Northwest Territories,0
Northwest Territories,2020-03-30,Northwest Territories,0
Northwest Territories,2020-03-31,Northwest Territories,0
Northwest Territories,2020-04-01,Northwest Territories,1
Northwest Territories,2020-04-02,Northwest Territories,0
Northwest Territories,2020-04-03,Northwest Territories,2
Northwest Territories,2020-04-04,Northwest Territories,0
Northwest Territories,2020-04-05,Northwest Territories,0
Northwest Territories,2020-04-06,Northwest Territories,1
Northwest Territories,2020-04-07,Northwest Territories,0
Northwest Territories,2020-04-08,Northwest Territories,0
Northwest Territories,2020-04-09,Northwest Territories,0
Northwest Territories,2020-04-10,Northwest Territories,0
Northwest Territories,2020-04-11,Northwest Territories,0
Northwest Territories,2020-04-12,Northwest Territories,0
Northwest Territories,2020-04-13,Northwest Territories,0
Northwest Territories,2020-04-14,Northwest Territories,0
Northwest Territories,2020-04-15,Northwest Territories,0
Northwest Territories,2020-04-16,Northwest Territories,0
Northwest Territories,2020-04-17,Northwest Territories,0
Northwest Territories,2020-04-18,Northwest Territories,0
Northwest Territories,2020-04-19,Northwest Territories,0
Northwest Territories,2020-04-20,Northwest Territories,0
Northwest Territories,2020-04-21,Northwest Territories,0
Northwest Territories,2020-04-22,Northwest Territories,0
Northwest Territories,2020-04-23,Northwest Territories,0
Northwest Territories,2020-04-24,Northwest Territories,0
Northwest Territories,2020-04-25,Northwest Territories,0
Northwest Territories,2020-04-26,Northwest Territories,0
Northwest Territories,2020-04-27,Northwest Territories,0
Northwest Territories,2020-04-28,Northwest Territories,0
Northwest Territories,2020-04-29,Northwest Territories,0
Northwest Territories,2020-04-30,Northwest Territories,0
Northwest Territories,2020-05-01,Northwest Territories,0
Northwest Territories,2020-05-02,Northwest Territories,0
Northwest Territories,2020-05-03,Northwest Territories,0
Northwest Territories,2020-05-04,Northwest Territories,0
Northwest Territories,2020-05-05,Northwest Territories,0
Northwest Territories,2020-05-06,Northwest Territories,0
Northwest Territories,2020-05-07,Northwest Territories,0
Northwest Territories,2020-05-08,Northwest Territories,0
Northwest Territories,2020-05-09,Northwest Territories,0
Northwest Territories,2020-05-10,Northwest Territories,0
Northwest Territories,2020-05-11,Northwest Territories,0
Northwest Territories,2020-05-12,Northwest Territories,0
Northwest Territories,2020-05-13,Northwest Territories,0
Northwest Territories,2020-05-14,Northwest Territories,0
Northwest Territories,2020-05-15,Northwest Territories,0
Northwest Territories,2020-05-16,Northwest Territories,0
Northwest Territories,2020-05-17,Northwest Territories,0
Northwest Territories,2020-05-18,Northwest Territories,0
Northwest Territories,2020-05-19,Northwest Territories,0
Northwest Territories,2020-05-20,Northwest Territories,0
Northwest Territories,2020-05-21,Northwest Territories,0
Northwest Territories,2020-05-22,Northwest Territories,0
Northwest Territories,2020-05-23,Northwest Territories,0
Northwest Territories,2020-05-24,Northwest Territories,0
Northwest Territories,2020-05-25,Northwest Territories,0
Northwest Territories,2020-05-26,Northwest Territories,0
Northwest Territories,2020-05-27,Northwest Territories,0
Northwest Territories,2020-05-28,Northwest Territories,0
Northwest Territories,2020-05-29,Northwest Territories,0
Northwest Territories,2020-05-30,Northwest Territories,0
Northwest Territories,2020-05-31,Northwest Territories,0
Northwest Territories,2020-06-01,Northwest Territories,0
Northwest Territories,2020-06-02,Northwest Territories,0
Northwest Territories,2020-06-03,Northwest Territories,0
Northwest Territories,2020-06-04,Northwest Territories,0
Northwest Territories,2020-06-05,Northwest Territories,0
Northwest Territories,2020-06-06,Northwest Territories,0
Northwest Territories,2020-06-07,Northwest Territories,0
Northwest Territories,2020-06-08,Northwest Territories,0
Northwest Territories,2020-06-09,Northwest Territories,0
Northwest Territories,2020-06-10,Northwest Territories,0
Northwest Territories,2020-06-11,Northwest Territories,0
Northwest Territories,2020-06-12,Northwest Territories,0
Northwest Territories,2020-06-13,Northwest Territories,0
Northwest Territories,2020-06-14,Northwest Territories,0
Northwest Territories,2020-06-15,Northwest Territories,0
Northwest Territories,2020-06-16,Northwest Territories,0
Northwest Territories,2020-06-17,Northwest Territories,0
Northwest Territories,2020-06-18,Northwest Territories,0
Northwest Territories,2020-06-19,Northwest Territories,0
Northwest Territories,2020-06-20,Northwest Territories,0
Northwest Territories,2020-06-21,Northwest Territories,0
Northwest Territories,2020-06-22,Northwest Territories,0
Northwest Territories,2020-06-23,Northwest Territories,0
Northwest Territories,2020-06-24,Northwest Territories,0
Northwest Territories,2020-06-25,Northwest Territories,0
Northwest Territories,2020-06-26,Northwest Territories,0
Northwest Territories,2020-06-27,Northwest Territories,0
Northwest Territories,2020-06-28,Northwest Territories,0
Northwest Territories,2020-06-29,Northwest Territories,0
Northwest Territories,2020-06-30,Northwest Territories,0
Northwest Territories,2020-07-01,Northwest Territories,0
Northwest Territories,2020-07-02,Northwest Territories,0
Northwest Territories,2020-07-03,Northwest Territories,0
Northwest Territories,2020-07-04,Northwest Territories,0
Northwest Territories,2020-07-05,Northwest Territories,0
Northwest Territories,2020-07-06,Northwest Territories,0
Northwest Territories,2020-07-07,Northwest Territories,0
Northwest Territories,2020-07-08,Northwest Territories,0
Northwest Territories,2020-07-09,Northwest Territories,0
Northwest Territories,2020-07-10,Northwest Territories,0
Northwest Territories,2020-07-11,Northwest Territories,0
Northwest Territories,2020-07-12,Northwest Territories,0
Northwest Territories,2020-07-13,Northwest Territories,0
Northwest Territories,2020-07-14,Northwest Territories,0
Northwest Territories,2020-07-15,Northwest Territories,0
Northwest Territories,2020-07-16,Northwest Territories,0
Northwest Territories,2020-07-17,Northwest Territories,0
Northwest Territories,2020-07-18,Northwest Territories,0
Northwest Territories,2020-07-19,Northwest Territories,0
Northwest Territories,2020-07-20,Northwest Territories,0
Northwest Territories,2020-07-21,Northwest Territories,0
Northwest Territories,2020-07-22,Northwest Territories,0
Northwest Territories,2020-07-23,Northwest Territories,0
Northwest Territories,2020-07-24,Northwest Territories,0
Northwest Territories,2020-07-25,Northwest Territories,0
Northwest Territories,2020-07-26,Northwest Territories,0
Northwest Territories,2020-07-27,Northwest Territories,0
Northwest Territories,2020-07-28,Northwest Territories,0
Northwest Territories,2020-07-29,Northwest Territories,0
Northwest Territories,2020-07-30,Northwest Territories,0
Northwest Territories,2020-07-31,Northwest Territories,0
Northwest Territories,2020-08-01,Northwest Territories,0
Northwest Territories,2020-08-02,Northwest Territories,0
Northwest Territories,2020-08-03,Northwest Territories,0
Northwest Territories,2020-08-04,Northwest Territories,0
Northwest Territories,2020-08-05,Northwest Territories,0
Northwest Territories,2020-08-06,Northwest Territories,0
Northwest Territories,2020-08-07,Northwest Territories,0
Northwest Territories,2020-08-08,Northwest Territories,0
Northwest Territories,2020-08-09,Northwest Territories,0
Northwest Territories,2020-08-10,Northwest Territories,0
Northwest Territories,2020-08-11,Northwest Territories,0
Northwest Territories,2020-08-12,Northwest Territories,0
Northwest Territories,2020-08-13,Northwest Territories,0
Northwest Territories,2020-08-14,Northwest Territories,0
Northwest Territories,2020-08-15,Northwest Territories,0
Northwest Territories,2020-08-16,Northwest Territories,0
Northwest Territories,2020-08-17,Northwest Territories,0
Northwest Territories,2020-08-18,Northwest Territories,0
Northwest Territories,2020-08-19,Northwest Territories,0
Northwest Territories,2020-08-20,Northwest Territories,0
Northwest Territories,2020-08-21,Northwest Territories,0
Northwest Territories,2020-08-22,Northwest Territories,0
Northwest Territories,2020-08-23,Northwest Territories,0
Northwest Territories,2020-08-24,Northwest Territories,0
Northwest Territories,2020-08-25,Northwest Territories,0
Northwest Territories,2020-08-26,Northwest Territories,0
Northwest Territories,2020-08-27,Northwest Territories,0
Northwest Territories,2020-08-28,Northwest Territories,0
Northwest Territories,2020-08-29,Northwest Territories,0
Northwest Territories,2020-08-30,Northwest Territories,0
Northwest Territories,2020-08-31,Northwest Territories,0
Northwest Territories,2020-09-01,Northwest Territories,0
Northwest Territories,2020-09-02,Northwest Territories,0
Northwest Territories,2020-09-03,Northwest Territories,0
Northwest Territories,2020-09-04,Northwest Territories,0
Northwest Territories,2020-09-05,Northwest Territories,0
Northwest Territories,2020-09-06,Northwest Territories,0
Northwest Territories,2020-09-07,Northwest Territories,0
Northwest Territories,2020-09-08,Northwest Territories,0
Northwest Territories,2020-09-09,Northwest Territories,0
Northwest Territories,2020-09-10,Northwest Territories,0
Northwest Territories,2020-09-11,Northwest Territories,0
Northwest Territories,2020-09-12,Northwest Territories,0
Northwest Territories,2020-09-13,Northwest Territories,0
Northwest Territories,2020-09-14,Northwest Territories,0
Northwest Territories,2020-09-15,Northwest Territories,0
Northwest Territories,2020-09-16,Northwest Territories,0
Northwest Territories,2020-09-17,Northwest Territories,0
Northwest Territories,2020-09-18,Northwest Territories,0
Northwest Territories,2020-09-19,Northwest Territories,0
Northwest Territories,2020-09-20,Northwest Territories,0
Northwest Territories,2020-09-21,Northwest Territories,0
Northwest Territories,2020-09-22,Northwest Territories,0
Northwest Territories,2020-09-23,Northwest Territories,0
Northwest Territories,2020-09-24,Northwest Territories,0
Northwest Territories,2020-09-25,Northwest Territories,0
Northwest Territories,2020-09-26,Northwest Territories,0
Northwest Territories,2020-09-27,Northwest Territories,0
Northwest Territories,2020-09-28,Northwest Territories,0
Northwest Territories,2020-09-29,Northwest Territories,0
Northwest Territories,2020-09-30,Northwest Territories,0
Northwest Territories,2020-10-01,Northwest Territories,0
Northwest Territories,2020-10-02,Northwest Territories,0
Northwest Territories,2020-10-03,Northwest Territories,0
Northwest Territories,2020-10-04,Northwest Territories,0
Northwest Territories,2020-10-05,Northwest Territories,0
Northwest Territories,2020-10-06,Northwest Territories,0
Northwest Territories,2020-10-07,Northwest Territories,0
Northwest Territories,2020-10-08,Northwest Territories,0
Northwest Territories,2020-10-09,Northwest Territories,0
