province,date,HR,cases
Nunavut,2020-01-25,Nunavut,0
Nunavut,2020-01-26,Nunavut,0
Nunavut,2020-01-27,Nunavut,0
Nunavut,2020-01-28,Nunavut,0
Nunavut,2020-01-29,Nunavut,0
Nunavut,2020-01-30,Nunavut,0
Nunavut,2020-01-31,Nunavut,0
Nunavut,2020-02-01,Nunavut,0
Nunavut,2020-02-02,Nunavut,0
Nunavut,2020-02-03,Nunavut,0
Nunavut,2020-02-04,Nunavut,0
Nunavut,2020-02-05,Nunavut,0
Nunavut,2020-02-06,Nunavut,0
Nunavut,2020-02-07,Nunavut,0
Nunavut,2020-02-08,Nunavut,0
Nunavut,2020-02-09,Nunavut,0
Nunavut,2020-02-10,Nunavut,0
Nunavut,2020-02-11,Nunavut,0
Nunavut,2020-02-12,Nunavut,0
Nunavut,2020-02-13,Nunavut,0
Nunavut,2020-02-14,Nunavut,0
Nunavut,2020-02-15,Nunavut,0
Nunavut,2020-02-16,Nunavut,0
Nunavut,2020-02-17,Nunavut,0
Nunavut,2020-02-18,Nunavut,0
Nunavut,2020-02-19,Nunavut,0
Nunavut,2020-02-20,Nunavut,0
Nunavut,2020-02-21,Nunavut,0
Nunavut,2020-02-22,Nunavut,0
Nunavut,2020-02-23,Nunavut,0
Nunavut,2020-02-24,Nunavut,0
Nunavut,2020-02-25,Nunavut,0
Nunavut,2020-02-26,Nunavut,0
Nunavut,2020-02-27,Nunavut,0
Nunavut,2020-02-28,Nunavut,0
Nunavut,2020-02-29,Nunavut,0
Nunavut,2020-03-01,Nunavut,0
Nunavut,2020-03-02,Nunavut,0
Nunavut,2020-03-03,Nunavut,0
Nunavut,2020-03-04,Nunavut,0
Nunavut,2020-03-05,Nunavut,0
Nunavut,2020-03-06,Nunavut,0
Nunavut,2020-03-07,Nunavut,0
Nunavut,2020-03-08,Nunavut,0
Nunavut,2020-03-09,Nunavut,0
Nunavut,2020-03-10,Nunavut,0
Nunavut,2020-03-11,Nunavut,0
Nunavut,2020-03-12,Nunavut,0
Nunavut,2020-03-13,Nunavut,0
Nunavut,2020-03-14,Nunavut,0
Nunavut,2020-03-15,Nunavut,0
Nunavut,2020-03-16,Nunavut,0
Nunavut,2020-03-17,Nunavut,0
Nunavut,2020-03-18,Nunavut,0
Nunavut,2020-03-19,Nunavut,0
Nunavut,2020-03-20,Nunavut,0
Nunavut,2020-03-21,Nunavut,0
Nunavut,2020-03-22,Nunavut,0
Nunavut,2020-03-23,Nunavut,0
Nunavut,2020-03-24,Nunavut,0
Nunavut,2020-03-25,Nunavut,0
Nunavut,2020-03-26,Nunavut,0
Nunavut,2020-03-27,Nunavut,0
Nunavut,2020-03-28,Nunavut,0
Nunavut,2020-03-29,Nunavut,0
Nunavut,2020-03-30,Nunavut,0
Nunavut,2020-03-31,Nunavut,0
Nunavut,2020-04-01,Nunavut,0
Nunavut,2020-04-02,Nunavut,0
Nunavut,2020-04-03,Nunavut,0
Nunavut,2020-04-04,Nunavut,0
Nunavut,2020-04-05,Nunavut,0
Nunavut,2020-04-06,Nunavut,0
Nunavut,2020-04-07,Nunavut,0
Nunavut,2020-04-08,Nunavut,0
Nunavut,2020-04-09,Nunavut,0
Nunavut,2020-04-10,Nunavut,0
Nunavut,2020-04-11,Nunavut,0
Nunavut,2020-04-12,Nunavut,0
Nunavut,2020-04-13,Nunavut,0
Nunavut,2020-04-14,Nunavut,0
Nunavut,2020-04-15,Nunavut,0
Nunavut,2020-04-16,Nunavut,0
Nunavut,2020-04-17,Nunavut,0
Nunavut,2020-04-18,Nunavut,0
Nunavut,2020-04-19,Nunavut,0
