avaccine,cumulative_avaccine,date_vaccine_administered,province
0,0,2020-12-14,Nunavut
0,0,2020-12-15,Nunavut
0,0,2020-12-16,Nunavut
0,0,2020-12-17,Nunavut
0,0,2020-12-18,Nunavut
0,0,2020-12-19,Nunavut
0,0,2020-12-20,Nunavut
0,0,2020-12-21,Nunavut
0,0,2020-12-22,Nunavut
0,0,2020-12-23,Nunavut
0,0,2020-12-24,Nunavut
0,0,2020-12-25,Nunavut
0,0,2020-12-26,Nunavut
0,0,2020-12-27,Nunavut
0,0,2020-12-28,Nunavut
0,0,2020-12-29,Nunavut
0,0,2020-12-30,Nunavut
0,0,2020-12-31,Nunavut
0,0,2021-01-01,Nunavut
0,0,2021-01-02,Nunavut
0,0,2021-01-03,Nunavut
0,0,2021-01-04,Nunavut
0,0,2021-01-05,Nunavut
29,29,2021-01-06,Nunavut
0,29,2021-01-07,Nunavut
0,29,2021-01-08,Nunavut
0,29,2021-01-09,Nunavut
0,29,2021-01-10,Nunavut
0,29,2021-01-11,Nunavut
0,29,2021-01-12,Nunavut
371,400,2021-01-13,Nunavut
121,521,2021-01-14,Nunavut
462,983,2021-01-15,Nunavut
0,983,2021-01-16,Nunavut
0,983,2021-01-17,Nunavut
1158,2141,2021-01-18,Nunavut
404,2545,2021-01-19,Nunavut
0,2545,2021-01-20,Nunavut
830,3375,2021-01-21,Nunavut
447,3822,2021-01-22,Nunavut
0,3822,2021-01-23,Nunavut
0,3822,2021-01-24,Nunavut
636,4458,2021-01-25,Nunavut
265,4723,2021-01-26,Nunavut
207,4930,2021-01-27,Nunavut
294,5224,2021-01-28,Nunavut
92,5316,2021-01-29,Nunavut
0,5316,2021-01-30,Nunavut
0,5316,2021-01-31,Nunavut
148,5464,2021-02-01,Nunavut
42,5506,2021-02-02,Nunavut
13,5519,2021-02-03,Nunavut
49,5568,2021-02-04,Nunavut
81,5649,2021-02-05,Nunavut
0,5649,2021-02-06,Nunavut
0,5649,2021-02-07,Nunavut
203,5852,2021-02-08,Nunavut
87,5939,2021-02-09,Nunavut
187,6126,2021-02-10,Nunavut
59,6185,2021-02-11,Nunavut
20,6205,2021-02-12,Nunavut
0,6205,2021-02-13,Nunavut
0,6205,2021-02-14,Nunavut
0,6205,2021-02-15,Nunavut
440,6645,2021-02-16,Nunavut
160,6805,2021-02-17,Nunavut
45,6850,2021-02-18,Nunavut
65,6915,2021-02-19,Nunavut
0,6915,2021-02-20,Nunavut
0,6915,2021-02-21,Nunavut
62,6977,2021-02-22,Nunavut
34,7011,2021-02-23,Nunavut
62,7073,2021-02-24,Nunavut
184,7257,2021-02-25,Nunavut
19,7276,2021-02-26,Nunavut
0,7276,2021-02-27,Nunavut
0,7276,2021-02-28,Nunavut
126,7402,2021-03-01,Nunavut
664,8066,2021-03-02,Nunavut
5327,13393,2021-03-03,Nunavut
360,13753,2021-03-04,Nunavut
158,13911,2021-03-05,Nunavut
0,13911,2021-03-06,Nunavut
0,13911,2021-03-07,Nunavut
753,14664,2021-03-08,Nunavut
279,14943,2021-03-09,Nunavut
476,15419,2021-03-10,Nunavut
253,15672,2021-03-11,Nunavut
217,15889,2021-03-12,Nunavut
0,15889,2021-03-13,Nunavut
0,15889,2021-03-14,Nunavut
429,16318,2021-03-15,Nunavut
555,16873,2021-03-16,Nunavut
569,17442,2021-03-17,Nunavut
369,17811,2021-03-18,Nunavut
186,17997,2021-03-19,Nunavut
0,17997,2021-03-20,Nunavut
0,17997,2021-03-21,Nunavut
240,18237,2021-03-22,Nunavut
482,18719,2021-03-23,Nunavut
394,19113,2021-03-24,Nunavut
381,19494,2021-03-25,Nunavut
175,19669,2021-03-26,Nunavut
0,19669,2021-03-27,Nunavut
0,19669,2021-03-28,Nunavut
332,20001,2021-03-29,Nunavut
568,20569,2021-03-30,Nunavut
246,20815,2021-03-31,Nunavut
197,21012,2021-04-01,Nunavut
0,21012,2021-04-02,Nunavut
0,21012,2021-04-03,Nunavut
0,21012,2021-04-04,Nunavut
0,21012,2021-04-05,Nunavut
751,21763,2021-04-06,Nunavut
535,22298,2021-04-07,Nunavut
0,22298,2021-04-08,Nunavut
567,22865,2021-04-09,Nunavut
0,22865,2021-04-10,Nunavut
0,22865,2021-04-11,Nunavut
331,23196,2021-04-12,Nunavut
373,23569,2021-04-13,Nunavut
323,23892,2021-04-14,Nunavut
173,24065,2021-04-15,Nunavut
404,24469,2021-04-16,Nunavut
0,24469,2021-04-17,Nunavut
0,24469,2021-04-18,Nunavut
719,25188,2021-04-19,Nunavut
487,25675,2021-04-20,Nunavut
489,26164,2021-04-21,Nunavut
408,26572,2021-04-22,Nunavut
283,26855,2021-04-23,Nunavut
0,26855,2021-04-24,Nunavut
0,26855,2021-04-25,Nunavut
489,27344,2021-04-26,Nunavut
0,27344,2021-04-27,Nunavut
469,27813,2021-04-28,Nunavut
249,28062,2021-04-29,Nunavut
189,28251,2021-04-30,Nunavut
0,28251,2021-05-01,Nunavut
0,28251,2021-05-02,Nunavut
333,28584,2021-05-03,Nunavut
128,28712,2021-05-04,Nunavut
125,28837,2021-05-05,Nunavut
126,28963,2021-05-06,Nunavut
133,29096,2021-05-07,Nunavut
0,29096,2021-05-08,Nunavut
0,29096,2021-05-09,Nunavut
201,29297,2021-05-10,Nunavut
105,29402,2021-05-11,Nunavut
-97,29305,2021-05-12,Nunavut
0,29305,2021-05-13,Nunavut
0,29305,2021-05-14,Nunavut
0,29305,2021-05-15,Nunavut
0,29305,2021-05-16,Nunavut
0,29305,2021-05-17,Nunavut
720,30025,2021-05-18,Nunavut
0,30025,2021-05-19,Nunavut
0,30025,2021-05-20,Nunavut
0,30025,2021-05-21,Nunavut
0,30025,2021-05-22,Nunavut
0,30025,2021-05-23,Nunavut
0,30025,2021-05-24,Nunavut
1132,31157,2021-05-25,Nunavut
0,31157,2021-05-26,Nunavut
0,31157,2021-05-27,Nunavut
0,31157,2021-05-28,Nunavut
0,31157,2021-05-29,Nunavut
0,31157,2021-05-30,Nunavut
0,31157,2021-05-31,Nunavut
1039,32196,2021-06-01,Nunavut
0,32196,2021-06-02,Nunavut
0,32196,2021-06-03,Nunavut
0,32196,2021-06-04,Nunavut
0,32196,2021-06-05,Nunavut
0,32196,2021-06-06,Nunavut
0,32196,2021-06-07,Nunavut
0,32196,2021-06-08,Nunavut
0,32196,2021-06-09,Nunavut
0,32196,2021-06-10,Nunavut
0,32196,2021-06-11,Nunavut
0,32196,2021-06-12,Nunavut
0,32196,2021-06-13,Nunavut
0,32196,2021-06-14,Nunavut
0,32196,2021-06-15,Nunavut
0,32196,2021-06-16,Nunavut
998,33194,2021-06-17,Nunavut
0,33194,2021-06-18,Nunavut
0,33194,2021-06-19,Nunavut
0,33194,2021-06-20,Nunavut
0,33194,2021-06-21,Nunavut
0,33194,2021-06-22,Nunavut
2497,35691,2021-06-23,Nunavut
0,35691,2021-06-24,Nunavut
0,35691,2021-06-25,Nunavut
0,35691,2021-06-26,Nunavut
0,35691,2021-06-27,Nunavut
0,35691,2021-06-28,Nunavut
1453,37144,2021-06-29,Nunavut
0,37144,2021-06-30,Nunavut
0,37144,2021-07-01,Nunavut
0,37144,2021-07-02,Nunavut
0,37144,2021-07-03,Nunavut
0,37144,2021-07-04,Nunavut
0,37144,2021-07-05,Nunavut
818,37962,2021-07-06,Nunavut
0,37962,2021-07-07,Nunavut
0,37962,2021-07-08,Nunavut
0,37962,2021-07-09,Nunavut
0,37962,2021-07-10,Nunavut
0,37962,2021-07-11,Nunavut
0,37962,2021-07-12,Nunavut
1282,39244,2021-07-13,Nunavut
0,39244,2021-07-14,Nunavut
0,39244,2021-07-15,Nunavut
0,39244,2021-07-16,Nunavut
0,39244,2021-07-17,Nunavut
0,39244,2021-07-18,Nunavut
0,39244,2021-07-19,Nunavut
2006,41250,2021-07-20,Nunavut
0,41250,2021-07-21,Nunavut
0,41250,2021-07-22,Nunavut
0,41250,2021-07-23,Nunavut
0,41250,2021-07-24,Nunavut
0,41250,2021-07-25,Nunavut
0,41250,2021-07-26,Nunavut
782,42032,2021-07-27,Nunavut
0,42032,2021-07-28,Nunavut
0,42032,2021-07-29,Nunavut
0,42032,2021-07-30,Nunavut
0,42032,2021-07-31,Nunavut
0,42032,2021-08-01,Nunavut
0,42032,2021-08-02,Nunavut
0,42032,2021-08-03,Nunavut
683,42715,2021-08-04,Nunavut
0,42715,2021-08-05,Nunavut
0,42715,2021-08-06,Nunavut
0,42715,2021-08-07,Nunavut
0,42715,2021-08-08,Nunavut
0,42715,2021-08-09,Nunavut
423,43138,2021-08-10,Nunavut
0,43138,2021-08-11,Nunavut
0,43138,2021-08-12,Nunavut
0,43138,2021-08-13,Nunavut
0,43138,2021-08-14,Nunavut
0,43138,2021-08-15,Nunavut
0,43138,2021-08-16,Nunavut
490,43628,2021-08-17,Nunavut
0,43628,2021-08-18,Nunavut
0,43628,2021-08-19,Nunavut
0,43628,2021-08-20,Nunavut
0,43628,2021-08-21,Nunavut
0,43628,2021-08-22,Nunavut
0,43628,2021-08-23,Nunavut
494,44122,2021-08-24,Nunavut
0,44122,2021-08-25,Nunavut
0,44122,2021-08-26,Nunavut
0,44122,2021-08-27,Nunavut
0,44122,2021-08-28,Nunavut
0,44122,2021-08-29,Nunavut
0,44122,2021-08-30,Nunavut
442,44564,2021-08-31,Nunavut
0,44564,2021-09-01,Nunavut
0,44564,2021-09-02,Nunavut
0,44564,2021-09-03,Nunavut
0,44564,2021-09-04,Nunavut
0,44564,2021-09-05,Nunavut
0,44564,2021-09-06,Nunavut
0,44564,2021-09-07,Nunavut
359,44923,2021-09-08,Nunavut
0,44923,2021-09-09,Nunavut
0,44923,2021-09-10,Nunavut
0,44923,2021-09-11,Nunavut
0,44923,2021-09-12,Nunavut
0,44923,2021-09-13,Nunavut
424,45347,2021-09-14,Nunavut
0,45347,2021-09-15,Nunavut
0,45347,2021-09-16,Nunavut
0,45347,2021-09-17,Nunavut
0,45347,2021-09-18,Nunavut
0,45347,2021-09-19,Nunavut
0,45347,2021-09-20,Nunavut
0,45347,2021-09-21,Nunavut
458,45805,2021-09-22,Nunavut
0,45805,2021-09-23,Nunavut
0,45805,2021-09-24,Nunavut
0,45805,2021-09-25,Nunavut
0,45805,2021-09-26,Nunavut
0,45805,2021-09-27,Nunavut
625,46430,2021-09-28,Nunavut
0,46430,2021-09-29,Nunavut
0,46430,2021-09-30,Nunavut
0,46430,2021-10-01,Nunavut
0,46430,2021-10-02,Nunavut
0,46430,2021-10-03,Nunavut
