date,HR,cases,province
2020-03-24,Algoma_District,,Ontario
2020-03-25,Algoma_District,0,Ontario
2020-03-26,Algoma_District,0,Ontario
2020-03-27,Algoma_District,0,Ontario
2020-03-28,Algoma_District,,Ontario
2020-03-29,Algoma_District,,Ontario
2020-03-30,Algoma_District,3,Ontario
2020-03-31,Algoma_District,0,Ontario
2020-04-01,Algoma_District,1,Ontario
2020-04-02,Algoma_District,0,Ontario
2020-04-03,Algoma_District,1,Ontario
2020-04-04,Algoma_District,1,Ontario
2020-04-05,Algoma_District,1,Ontario
2020-04-06,Algoma_District,0,Ontario
2020-04-07,Algoma_District,0,Ontario
2020-04-08,Algoma_District,1,Ontario
2020-04-09,Algoma_District,0,Ontario
2020-04-10,Algoma_District,0,Ontario
2020-04-11,Algoma_District,1,Ontario
2020-04-12,Algoma_District,0,Ontario
2020-04-13,Algoma_District,0,Ontario
2020-04-14,Algoma_District,0,Ontario
2020-04-15,Algoma_District,0,Ontario
2020-04-16,Algoma_District,0,Ontario
2020-04-17,Algoma_District,1,Ontario
2020-04-18,Algoma_District,1,Ontario
2020-04-19,Algoma_District,0,Ontario
2020-04-20,Algoma_District,0,Ontario
2020-04-21,Algoma_District,0,Ontario
2020-04-22,Algoma_District,0,Ontario
2020-04-23,Algoma_District,0,Ontario
2020-04-24,Algoma_District,0,Ontario
2020-04-25,Algoma_District,0,Ontario
2020-04-26,Algoma_District,1,Ontario
2020-04-27,Algoma_District,0,Ontario
2020-04-28,Algoma_District,0,Ontario
2020-04-29,Algoma_District,0,Ontario
2020-04-30,Algoma_District,0,Ontario
2020-05-01,Algoma_District,0,Ontario
2020-05-02,Algoma_District,0,Ontario
2020-05-03,Algoma_District,0,Ontario
2020-05-04,Algoma_District,0,Ontario
2020-05-05,Algoma_District,0,Ontario
2020-05-06,Algoma_District,0,Ontario
2020-05-07,Algoma_District,0,Ontario
2020-05-08,Algoma_District,3,Ontario
2020-05-09,Algoma_District,0,Ontario
2020-05-10,Algoma_District,0,Ontario
2020-05-11,Algoma_District,0,Ontario
2020-05-12,Algoma_District,0,Ontario
2020-05-13,Algoma_District,0,Ontario
2020-05-14,Algoma_District,0,Ontario
2020-05-15,Algoma_District,1,Ontario
2020-05-16,Algoma_District,0,Ontario
2020-05-17,Algoma_District,1,Ontario
2020-05-18,Algoma_District,2,Ontario
2020-05-19,Algoma_District,0,Ontario
2020-05-20,Algoma_District,0,Ontario
2020-05-21,Algoma_District,0,Ontario
2020-05-22,Algoma_District,0,Ontario
2020-05-23,Algoma_District,0,Ontario
2020-05-24,Algoma_District,0,Ontario
2020-05-25,Algoma_District,0,Ontario
2020-05-26,Algoma_District,0,Ontario
2020-05-27,Algoma_District,1,Ontario
2020-05-28,Algoma_District,0,Ontario
2020-05-29,Algoma_District,0,Ontario
2020-05-30,Algoma_District,0,Ontario
2020-05-31,Algoma_District,0,Ontario
2020-06-01,Algoma_District,0,Ontario
2020-06-02,Algoma_District,0,Ontario
2020-06-03,Algoma_District,0,Ontario
2020-06-04,Algoma_District,0,Ontario
2020-06-05,Algoma_District,0,Ontario
2020-06-06,Algoma_District,0,Ontario
2020-06-07,Algoma_District,0,Ontario
2020-06-08,Algoma_District,0,Ontario
2020-06-09,Algoma_District,0,Ontario
2020-06-10,Algoma_District,0,Ontario
2020-06-11,Algoma_District,0,Ontario
2020-06-12,Algoma_District,1,Ontario
2020-06-13,Algoma_District,1,Ontario
2020-06-14,Algoma_District,0,Ontario
2020-06-15,Algoma_District,0,Ontario
2020-06-16,Algoma_District,0,Ontario
2020-06-17,Algoma_District,0,Ontario
2020-06-18,Algoma_District,0,Ontario
2020-06-19,Algoma_District,0,Ontario
2020-06-20,Algoma_District,1,Ontario
2020-06-21,Algoma_District,0,Ontario
2020-06-22,Algoma_District,0,Ontario
2020-06-23,Algoma_District,0,Ontario
2020-06-24,Algoma_District,0,Ontario
2020-06-25,Algoma_District,0,Ontario
2020-06-26,Algoma_District,0,Ontario
2020-06-27,Algoma_District,0,Ontario
2020-06-28,Algoma_District,0,Ontario
2020-06-29,Algoma_District,0,Ontario
2020-06-30,Algoma_District,0,Ontario
2020-07-01,Algoma_District,0,Ontario
2020-07-02,Algoma_District,0,Ontario
2020-07-03,Algoma_District,0,Ontario
2020-07-04,Algoma_District,0,Ontario
2020-07-05,Algoma_District,0,Ontario
2020-07-06,Algoma_District,0,Ontario
