Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-07-26,2226,ALGOMA DISTRICT,12-17yrs,3843,1890,,6504,0.5909,0.2906
2021-07-26,2227,BRANT COUNTY,12-17yrs,6306,3567,,10734,0.5875,0.3323
2021-07-26,2240,CHATHAM-KENT,12-17yrs,3229,1923,,7233,0.4464,0.2659
2021-07-26,2237,CITY OF HAMILTON,12-17yrs,21710,14055,,37018,0.5865,0.3797
2021-07-26,2251,CITY OF OTTAWA,12-17yrs,50734,31410,,66222,0.7661,0.4743
2021-07-26,2230,DURHAM REGION,12-17yrs,34025,16953,,51038,0.6667,0.3322
2021-07-26,2258,EASTERN ONTARIO,12-17yrs,7808,3557,,13423,0.5817,0.265
2021-07-26,2233,GREY BRUCE,12-17yrs,5533,3627,,10179,0.5436,0.3563
2021-07-26,2234,HALDIMAND-NORFOLK,12-17yrs,3125,1711,,7138,0.4378,0.2397
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",12-17yrs,5821,3155,,10093,0.5767,0.3126
2021-07-26,2236,HALTON REGION,12-17yrs,36557,26873,,49248,0.7423,0.5457
2021-07-26,2238,HASTINGS & PRINCE EDWARD COUNTIES,12-17yrs,5703,3668,,9953,0.573,0.3685
2021-07-26,5183,HURON PERTH,12-17yrs,5265,1704,,9790,0.5378,0.1741
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",12-17yrs,8637,5141,,11803,0.7318,0.4356
2021-07-26,2242,LAMBTON COUNTY,12-17yrs,4455,2460,,8280,0.538,0.2971
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",12-17yrs,6941,3806,,10477,0.6625,0.3633
2021-07-26,2244,MIDDLESEX-LONDON,12-17yrs,22283,11106,,31735,0.7022,0.35
2021-07-26,2246,NIAGARA REGION,12-17yrs,16673,10501,,28353,0.5881,0.3704
2021-07-26,2247,NORTH BAY PARRY SOUND DISTRICT,12-17yrs,4147,2637,,7244,0.5725,0.364
2021-07-26,2249,NORTHWESTERN,12-17yrs,4132,2197,,6670,0.6195,0.3294
2021-07-26,2253,PEEL REGION,12-17yrs,73919,49808,,118974,0.6213,0.4186
2021-07-26,2255,PETERBOROUGH COUNTY-CITY,12-17yrs,4925,2879,,8041,0.6125,0.358
2021-07-26,2256,PORCUPINE,12-17yrs,3156,2066,,5754,0.5485,0.3591
2021-07-26,2257,RENFREW COUNTY AND DISTRICT,12-17yrs,3757,2553,,6329,0.5936,0.4034
2021-07-26,2260,SIMCOE MUSKOKA DISTRICT,12-17yrs,22717,12559,,37614,0.604,0.3339
2021-07-26,4913,SOUTHWESTERN,12-17yrs,8290,3198,,15337,0.5405,0.2085
