Date,Agegroup,Percent_at_least_one_dose
2020-12-16,12-17yrs,0
2020-12-16,18-29yrs,0
2020-12-16,30-39yrs,0
2020-12-16,40-49yrs,0
2020-12-16,50-59yrs,0
2020-12-16,60-69yrs,0
2020-12-16,70-79yrs,0
2020-12-16,80+,0
2020-12-16,Ontario_12plus,0
2020-12-17,12-17yrs,0
2020-12-17,18-29yrs,0
2020-12-17,30-39yrs,0
2020-12-17,40-49yrs,0
2020-12-17,50-59yrs,0
2020-12-17,60-69yrs,0
2020-12-17,70-79yrs,0
2020-12-17,80+,0
2020-12-17,Ontario_12plus,1e-04
2020-12-18,12-17yrs,0
2020-12-18,18-29yrs,0
2020-12-18,30-39yrs,0
2020-12-18,40-49yrs,0
2020-12-18,50-59yrs,0
2020-12-18,60-69yrs,0
2020-12-18,70-79yrs,0
2020-12-18,80+,0
2020-12-18,Ontario_12plus,2e-04
2020-12-19,12-17yrs,0
2020-12-19,18-29yrs,0
2020-12-19,30-39yrs,0
2020-12-19,40-49yrs,0
2020-12-19,50-59yrs,0
2020-12-19,60-69yrs,0
2020-12-19,70-79yrs,0
2020-12-19,80+,0
2020-12-19,Ontario_12plus,2e-04
2020-12-20,12-17yrs,0
2020-12-20,18-29yrs,0
2020-12-20,30-39yrs,0
2020-12-20,40-49yrs,0
2020-12-20,50-59yrs,0
2020-12-20,60-69yrs,0
2020-12-20,70-79yrs,0
2020-12-20,80+,0
2020-12-20,Ontario_12plus,2e-04
2020-12-21,12-17yrs,0
2020-12-21,18-29yrs,0
2020-12-21,30-39yrs,0
2020-12-21,40-49yrs,0
2020-12-21,50-59yrs,0
2020-12-21,60-69yrs,0
2020-12-21,70-79yrs,0
2020-12-21,80+,0
2020-12-21,Ontario_12plus,2e-04
2020-12-22,12-17yrs,0
2020-12-22,18-29yrs,0
2020-12-22,30-39yrs,0
2020-12-22,40-49yrs,0
2020-12-22,50-59yrs,0.001
2020-12-22,60-69yrs,0
2020-12-22,70-79yrs,0
2020-12-22,80+,0
2020-12-22,Ontario_12plus,3e-04
2020-12-23,12-17yrs,0
2020-12-23,18-29yrs,0
2020-12-23,30-39yrs,0
2020-12-23,40-49yrs,0.001
2020-12-23,50-59yrs,0.001
2020-12-23,60-69yrs,0
2020-12-23,70-79yrs,0
2020-12-23,80+,0
2020-12-23,Ontario_12plus,4e-04
2020-12-24,12-17yrs,0
2020-12-24,18-29yrs,0
2020-12-24,30-39yrs,0.001
2020-12-24,40-49yrs,0.001
2020-12-24,50-59yrs,0.001
2020-12-24,60-69yrs,0.001
2020-12-24,70-79yrs,0
2020-12-24,80+,0
2020-12-24,Ontario_12plus,7e-04
2020-12-25,12-17yrs,0
2020-12-25,18-29yrs,0.001
2020-12-25,30-39yrs,0.001
2020-12-25,40-49yrs,0.001
2020-12-25,50-59yrs,0.001
2020-12-25,60-69yrs,0.001
2020-12-25,70-79yrs,0
2020-12-25,80+,0
2020-12-25,Ontario_12plus,8e-04
2020-12-26,12-17yrs,0
2020-12-26,18-29yrs,0.001
2020-12-26,30-39yrs,0.001
2020-12-26,40-49yrs,0.001
2020-12-26,50-59yrs,0.001
2020-12-26,60-69yrs,0.001
2020-12-26,70-79yrs,0
2020-12-26,80+,0
2020-12-26,Ontario_12plus,8e-04
2020-12-27,12-17yrs,0
2020-12-27,18-29yrs,0.001
2020-12-27,30-39yrs,0.001
2020-12-27,40-49yrs,0.001
2020-12-27,50-59yrs,0.001
2020-12-27,60-69yrs,0.001
2020-12-27,70-79yrs,0
2020-12-27,80+,0
2020-12-27,Ontario_12plus,8e-04
2020-12-28,12-17yrs,0
2020-12-28,18-29yrs,0.001
2020-12-28,30-39yrs,0.001
2020-12-28,40-49yrs,0.001
2020-12-28,50-59yrs,0.001
2020-12-28,60-69yrs,0.001
2020-12-28,70-79yrs,0
2020-12-28,80+,0
2020-12-28,Ontario_12plus,9e-04
2020-12-29,12-17yrs,0
2020-12-29,18-29yrs,0.001
2020-12-29,30-39yrs,0.001
2020-12-29,40-49yrs,0.002
2020-12-29,50-59yrs,0.002
2020-12-29,60-69yrs,0.001
2020-12-29,70-79yrs,0
2020-12-29,80+,0
2020-12-29,Ontario_12plus,0.001
2020-12-30,12-17yrs,0
2020-12-30,18-29yrs,0.001
2020-12-30,30-39yrs,0.001
2020-12-30,40-49yrs,0.002
2020-12-30,50-59yrs,0.002
2020-12-30,60-69yrs,0.002
2020-12-30,70-79yrs,0
