avaccine,cumulative_avaccine,date_vaccine_administered,province
0,0,2020-12-14,PEI
0,0,2020-12-15,PEI
140,140,2020-12-16,PEI
204,344,2020-12-17,PEI
0,344,2020-12-18,PEI
0,344,2020-12-19,PEI
0,344,2020-12-20,PEI
0,344,2020-12-21,PEI
1156,1500,2020-12-22,PEI
0,1500,2020-12-23,PEI
0,1500,2020-12-24,PEI
0,1500,2020-12-25,PEI
0,1500,2020-12-26,PEI
0,1500,2020-12-27,PEI
0,1500,2020-12-28,PEI
0,1500,2020-12-29,PEI
0,1500,2020-12-30,PEI
450,1950,2020-12-31,PEI
0,1950,2021-01-01,PEI
0,1950,2021-01-02,PEI
0,1950,2021-01-03,PEI
0,1950,2021-01-04,PEI
170,2120,2021-01-05,PEI
0,2120,2021-01-06,PEI
0,2120,2021-01-07,PEI
1480,3600,2021-01-08,PEI
0,3600,2021-01-09,PEI
0,3600,2021-01-10,PEI
0,3600,2021-01-11,PEI
626,4226,2021-01-12,PEI
0,4226,2021-01-13,PEI
876,5102,2021-01-14,PEI
0,5102,2021-01-15,PEI
0,5102,2021-01-16,PEI
0,5102,2021-01-17,PEI
0,5102,2021-01-18,PEI
808,5910,2021-01-19,PEI
0,5910,2021-01-20,PEI
615,6525,2021-01-21,PEI
0,6525,2021-01-22,PEI
0,6525,2021-01-23,PEI
0,6525,2021-01-24,PEI
0,6525,2021-01-25,PEI
592,7117,2021-01-26,PEI
0,7117,2021-01-27,PEI
393,7510,2021-01-28,PEI
0,7510,2021-01-29,PEI
0,7510,2021-01-30,PEI
0,7510,2021-01-31,PEI
0,7510,2021-02-01,PEI
346,7856,2021-02-02,PEI
0,7856,2021-02-03,PEI
481,8337,2021-02-04,PEI
0,8337,2021-02-05,PEI
0,8337,2021-02-06,PEI
0,8337,2021-02-07,PEI
0,8337,2021-02-08,PEI
491,8828,2021-02-09,PEI
0,8828,2021-02-10,PEI
0,8828,2021-02-11,PEI
311,9139,2021-02-12,PEI
0,9139,2021-02-13,PEI
0,9139,2021-02-14,PEI
0,9139,2021-02-15,PEI
1471,10610,2021-02-16,PEI
0,10610,2021-02-17,PEI
81,10691,2021-02-18,PEI
0,10691,2021-02-19,PEI
0,10691,2021-02-20,PEI
0,10691,2021-02-21,PEI
0,10691,2021-02-22,PEI
939,11630,2021-02-23,PEI
0,11630,2021-02-24,PEI
546,12176,2021-02-25,PEI
0,12176,2021-02-26,PEI
0,12176,2021-02-27,PEI
0,12176,2021-02-28,PEI
0,12176,2021-03-01,PEI
420,12596,2021-03-02,PEI
0,12596,2021-03-03,PEI
685,13281,2021-03-04,PEI
0,13281,2021-03-05,PEI
0,13281,2021-03-06,PEI
0,13281,2021-03-07,PEI
0,13281,2021-03-08,PEI
908,14189,2021-03-09,PEI
0,14189,2021-03-10,PEI
1037,15226,2021-03-11,PEI
0,15226,2021-03-12,PEI
422,15648,2021-03-13,PEI
0,15648,2021-03-14,PEI
0,15648,2021-03-15,PEI
351,15999,2021-03-16,PEI
0,15999,2021-03-17,PEI
780,16779,2021-03-18,PEI
0,16779,2021-03-19,PEI
0,16779,2021-03-20,PEI
0,16779,2021-03-21,PEI
0,16779,2021-03-22,PEI
1853,18632,2021-03-23,PEI
0,18632,2021-03-24,PEI
1626,20258,2021-03-25,PEI
0,20258,2021-03-26,PEI
0,20258,2021-03-27,PEI
0,20258,2021-03-28,PEI
0,20258,2021-03-29,PEI
1454,21712,2021-03-30,PEI
0,21712,2021-03-31,PEI
0,21712,2021-04-01,PEI
3441,25153,2021-04-02,PEI
0,25153,2021-04-03,PEI
0,25153,2021-04-04,PEI
0,25153,2021-04-05,PEI
2295,27448,2021-04-06,PEI
0,27448,2021-04-07,PEI
3489,30937,2021-04-08,PEI
0,30937,2021-04-09,PEI
0,30937,2021-04-10,PEI
0,30937,2021-04-11,PEI
0,30937,2021-04-12,PEI
4156,35093,2021-04-13,PEI
0,35093,2021-04-14,PEI
4411,39504,2021-04-15,PEI
0,39504,2021-04-16,PEI
0,39504,2021-04-17,PEI
0,39504,2021-04-18,PEI
0,39504,2021-04-19,PEI
3514,43018,2021-04-20,PEI
0,43018,2021-04-21,PEI
3260,46278,2021-04-22,PEI
0,46278,2021-04-23,PEI
0,46278,2021-04-24,PEI
0,46278,2021-04-25,PEI
0,46278,2021-04-26,PEI
3618,49896,2021-04-27,PEI
0,49896,2021-04-28,PEI
3306,53202,2021-04-29,PEI
0,53202,2021-04-30,PEI
0,53202,2021-05-01,PEI
0,53202,2021-05-02,PEI
0,53202,2021-05-03,PEI
2902,56104,2021-05-04,PEI
0,56104,2021-05-05,PEI
654,56758,2021-05-06,PEI
3000,59758,2021-05-07,PEI
0,59758,2021-05-08,PEI
0,59758,2021-05-09,PEI
0,59758,2021-05-10,PEI
3859,63617,2021-05-11,PEI
0,63617,2021-05-12,PEI
4141,67758,2021-05-13,PEI
0,67758,2021-05-14,PEI
0,67758,2021-05-15,PEI
0,67758,2021-05-16,PEI
0,67758,2021-05-17,PEI
6220,73978,2021-05-18,PEI
0,73978,2021-05-19,PEI
4839,78817,2021-05-20,PEI
0,78817,2021-05-21,PEI
0,78817,2021-05-22,PEI
0,78817,2021-05-23,PEI
0,78817,2021-05-24,PEI
4924,83741,2021-05-25,PEI
0,83741,2021-05-26,PEI
4120,87861,2021-05-27,PEI
0,87861,2021-05-28,PEI
0,87861,2021-05-29,PEI
0,87861,2021-05-30,PEI
0,87861,2021-05-31,PEI
5485,93346,2021-06-01,PEI
0,93346,2021-06-02,PEI
5282,98628,2021-06-03,PEI
