date,HR,cases,province
2020-08-04,Far North West,0,Saskatchewan
2020-08-04,Far North West,0,Saskatchewan
2020-08-04,Far North Central,0,Saskatchewan
2020-08-04,Far North East,0,Saskatchewan
2020-08-04,Far North East,0,Saskatchewan
2020-08-04,North West,0,Saskatchewan
2020-08-04,North West,0,Saskatchewan
2020-08-04,North West,0,Saskatchewan
2020-08-04,North West,1,Saskatchewan
2020-08-04,North Central,1,Saskatchewan
2020-08-04,North Central,0,Saskatchewan
2020-08-04,North Central,0,Saskatchewan
2020-08-04,North East,0,Saskatchewan
2020-08-04,North East,0,Saskatchewan
2020-08-04,North East,0,Saskatchewan
2020-08-04,Saskatoon,2,Saskatchewan
2020-08-04,Central West,0,Saskatchewan
2020-08-04,Central West,0,Saskatchewan
2020-08-04,Central East,0,Saskatchewan
2020-08-04,Central East,0,Saskatchewan
2020-08-04,Central East,0,Saskatchewan
2020-08-04,Central East,0,Saskatchewan
2020-08-04,Central East,0,Saskatchewan
2020-08-04,Regina,4,Saskatchewan
2020-08-04,South West,1,Saskatchewan
2020-08-04,South West,0,Saskatchewan
2020-08-04,South Central,0,Saskatchewan
2020-08-04,South Central,0,Saskatchewan
2020-08-04,South East,0,Saskatchewan
2020-08-04,South East,0,Saskatchewan
2020-08-04,South East,0,Saskatchewan
2020-08-04,South East,0,Saskatchewan
2020-08-05,Far North West,0,Saskatchewan
2020-08-05,Far North West,0,Saskatchewan
2020-08-05,Far North Central,0,Saskatchewan
2020-08-05,Far North East,0,Saskatchewan
2020-08-05,Far North East,0,Saskatchewan
2020-08-05,North West,0,Saskatchewan
2020-08-05,North West,0,Saskatchewan
2020-08-05,North West,0,Saskatchewan
2020-08-05,North West,0,Saskatchewan
2020-08-05,North Central,0,Saskatchewan
2020-08-05,North Central,0,Saskatchewan
2020-08-05,North Central,0,Saskatchewan
2020-08-05,North East,0,Saskatchewan
2020-08-05,North East,3,Saskatchewan
2020-08-05,North East,0,Saskatchewan
2020-08-05,Saskatoon,2,Saskatchewan
2020-08-05,Central West,1,Saskatchewan
2020-08-05,Central West,0,Saskatchewan
2020-08-05,Central East,0,Saskatchewan
2020-08-05,Central East,0,Saskatchewan
2020-08-05,Central East,0,Saskatchewan
2020-08-05,Central East,0,Saskatchewan
2020-08-05,Central East,0,Saskatchewan
2020-08-05,Regina,2,Saskatchewan
