date,HR,cases,province,HRUID2018
2020-01-29,Fraser East,0,British Columbia,5921
2020-01-29,Fraser North,0,British Columbia,5922
2020-01-29,Fraser South,0,British Columbia,5923
2020-01-29,East Kootenay,0,British Columbia,5911
2020-01-29,Kootenay-Boundary,0,British Columbia,5912
2020-01-29,Okanagan,0,British Columbia,5913
2020-01-29,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-01-29,Northeast,0,British Columbia,5953
2020-01-29,Northern Interior,0,British Columbia,5952
2020-01-29,Northwest,0,British Columbia,5951
2020-01-29,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-01-29,Richmond,0,British Columbia,5931
2020-01-29,Vancouver,0,British Columbia,5932
2020-01-29,Central Vancouver Island,0,British Columbia,5942
2020-01-29,North Vancouver Island,0,British Columbia,5943
2020-01-29,South Vancouver Island,0,British Columbia,5941
2020-01-30,Fraser East,0,British Columbia,5921
2020-01-30,Fraser North,0,British Columbia,5922
2020-01-30,Fraser South,0,British Columbia,5923
2020-01-30,East Kootenay,0,British Columbia,5911
2020-01-30,Kootenay-Boundary,0,British Columbia,5912
2020-01-30,Okanagan,0,British Columbia,5913
2020-01-30,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-01-30,Northeast,0,British Columbia,5953
2020-01-30,Northern Interior,0,British Columbia,5952
2020-01-30,Northwest,0,British Columbia,5951
2020-01-30,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-01-30,Richmond,0,British Columbia,5931
2020-01-30,Vancouver,0,British Columbia,5932
2020-01-30,Central Vancouver Island,0,British Columbia,5942
2020-01-30,North Vancouver Island,0,British Columbia,5943
2020-01-30,South Vancouver Island,0,British Columbia,5941
2020-01-31,Fraser East,0,British Columbia,5921
2020-01-31,Fraser North,0,British Columbia,5922
2020-01-31,Fraser South,0,British Columbia,5923
2020-01-31,East Kootenay,0,British Columbia,5911
2020-01-31,Kootenay-Boundary,0,British Columbia,5912
2020-01-31,Okanagan,0,British Columbia,5913
2020-01-31,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-01-31,Northeast,0,British Columbia,5953
2020-01-31,Northern Interior,0,British Columbia,5952
2020-01-31,Northwest,0,British Columbia,5951
2020-01-31,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-01-31,Richmond,0,British Columbia,5931
2020-01-31,Vancouver,0,British Columbia,5932
2020-01-31,Central Vancouver Island,0,British Columbia,5942
2020-01-31,North Vancouver Island,0,British Columbia,5943
2020-01-31,South Vancouver Island,0,British Columbia,5941
2020-02-01,Fraser East,0,British Columbia,5921
2020-02-01,Fraser North,0,British Columbia,5922
2020-02-01,Fraser South,0,British Columbia,5923
2020-02-01,East Kootenay,0,British Columbia,5911
2020-02-01,Kootenay-Boundary,0,British Columbia,5912
2020-02-01,Okanagan,0,British Columbia,5913
2020-02-01,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-01,Northeast,0,British Columbia,5953
2020-02-01,Northern Interior,0,British Columbia,5952
2020-02-01,Northwest,0,British Columbia,5951
2020-02-01,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-01,Richmond,0,British Columbia,5931
2020-02-01,Vancouver,0,British Columbia,5932
2020-02-01,Central Vancouver Island,0,British Columbia,5942
2020-02-01,North Vancouver Island,0,British Columbia,5943
2020-02-01,South Vancouver Island,0,British Columbia,5941
2020-02-02,Fraser East,0,British Columbia,5921
2020-02-02,Fraser North,0,British Columbia,5922
2020-02-02,Fraser South,0,British Columbia,5923
2020-02-02,East Kootenay,0,British Columbia,5911
2020-02-02,Kootenay-Boundary,0,British Columbia,5912
2020-02-02,Okanagan,0,British Columbia,5913
2020-02-02,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-02,Northeast,0,British Columbia,5953
2020-02-02,Northern Interior,0,British Columbia,5952
2020-02-02,Northwest,0,British Columbia,5951
2020-02-02,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-02,Richmond,0,British Columbia,5931
2020-02-02,Vancouver,0,British Columbia,5932
2020-02-02,Central Vancouver Island,0,British Columbia,5942
2020-02-02,North Vancouver Island,0,British Columbia,5943
2020-02-02,South Vancouver Island,0,British Columbia,5941
2020-02-03,Fraser East,0,British Columbia,5921
2020-02-03,Fraser North,0,British Columbia,5922
2020-02-03,Fraser South,0,British Columbia,5923
2020-02-03,East Kootenay,0,British Columbia,5911
2020-02-03,Kootenay-Boundary,0,British Columbia,5912
2020-02-03,Okanagan,0,British Columbia,5913
2020-02-03,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-03,Northeast,0,British Columbia,5953
2020-02-03,Northern Interior,0,British Columbia,5952
2020-02-03,Northwest,0,British Columbia,5951
2020-02-03,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-03,Richmond,0,British Columbia,5931
2020-02-03,Vancouver,0,British Columbia,5932
2020-02-03,Central Vancouver Island,0,British Columbia,5942
2020-02-03,North Vancouver Island,0,British Columbia,5943
2020-02-03,South Vancouver Island,0,British Columbia,5941
2020-02-04,Fraser East,0,British Columbia,5921
2020-02-04,Fraser North,0,British Columbia,5922
2020-02-04,Fraser South,0,British Columbia,5923
2020-02-04,East Kootenay,0,British Columbia,5911
2020-02-04,Kootenay-Boundary,0,British Columbia,5912
2020-02-04,Okanagan,0,British Columbia,5913
2020-02-04,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-04,Northeast,0,British Columbia,5953
2020-02-04,Northern Interior,0,British Columbia,5952
2020-02-04,Northwest,0,British Columbia,5951
2020-02-04,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-04,Richmond,0,British Columbia,5931
2020-02-04,Vancouver,0,British Columbia,5932
2020-02-04,Central Vancouver Island,0,British Columbia,5942
2020-02-04,North Vancouver Island,0,British Columbia,5943
2020-02-04,South Vancouver Island,0,British Columbia,5941
2020-02-05,Fraser East,0,British Columbia,5921
2020-02-05,Fraser North,0,British Columbia,5922
2020-02-05,Fraser South,0,British Columbia,5923
2020-02-05,East Kootenay,0,British Columbia,5911
2020-02-05,Kootenay-Boundary,0,British Columbia,5912
2020-02-05,Okanagan,0,British Columbia,5913
2020-02-05,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-05,Northeast,0,British Columbia,5953
2020-02-05,Northern Interior,0,British Columbia,5952
2020-02-05,Northwest,0,British Columbia,5951
2020-02-05,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-05,Richmond,0,British Columbia,5931
2020-02-05,Vancouver,0,British Columbia,5932
2020-02-05,Central Vancouver Island,0,British Columbia,5942
2020-02-05,North Vancouver Island,0,British Columbia,5943
2020-02-05,South Vancouver Island,0,British Columbia,5941
2020-02-06,Fraser East,0,British Columbia,5921
2020-02-06,Fraser North,0,British Columbia,5922
2020-02-06,Fraser South,0,British Columbia,5923
2020-02-06,East Kootenay,0,British Columbia,5911
2020-02-06,Kootenay-Boundary,0,British Columbia,5912
2020-02-06,Okanagan,0,British Columbia,5913
2020-02-06,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-06,Northeast,0,British Columbia,5953
2020-02-06,Northern Interior,0,British Columbia,5952
2020-02-06,Northwest,0,British Columbia,5951
2020-02-06,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-06,Richmond,0,British Columbia,5931
2020-02-06,Vancouver,1,British Columbia,5932
2020-02-06,Central Vancouver Island,0,British Columbia,5942
2020-02-06,North Vancouver Island,0,British Columbia,5943
2020-02-06,South Vancouver Island,0,British Columbia,5941
2020-02-07,Fraser East,0,British Columbia,5921
2020-02-07,Fraser North,0,British Columbia,5922
2020-02-07,Fraser South,0,British Columbia,5923
2020-02-07,East Kootenay,0,British Columbia,5911
2020-02-07,Kootenay-Boundary,0,British Columbia,5912
2020-02-07,Okanagan,0,British Columbia,5913
2020-02-07,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-07,Northeast,0,British Columbia,5953
2020-02-07,Northern Interior,0,British Columbia,5952
2020-02-07,Northwest,0,British Columbia,5951
2020-02-07,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-07,Richmond,0,British Columbia,5931
2020-02-07,Vancouver,0,British Columbia,5932
2020-02-07,Central Vancouver Island,0,British Columbia,5942
2020-02-07,North Vancouver Island,0,British Columbia,5943
2020-02-07,South Vancouver Island,0,British Columbia,5941
2020-02-08,Fraser East,0,British Columbia,5921
2020-02-08,Fraser North,0,British Columbia,5922
2020-02-08,Fraser South,0,British Columbia,5923
2020-02-08,East Kootenay,0,British Columbia,5911
2020-02-08,Kootenay-Boundary,0,British Columbia,5912
2020-02-08,Okanagan,0,British Columbia,5913
2020-02-08,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-08,Northeast,0,British Columbia,5953
2020-02-08,Northern Interior,0,British Columbia,5952
2020-02-08,Northwest,0,British Columbia,5951
2020-02-08,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-08,Richmond,0,British Columbia,5931
2020-02-08,Vancouver,0,British Columbia,5932
2020-02-08,Central Vancouver Island,0,British Columbia,5942
2020-02-08,North Vancouver Island,0,British Columbia,5943
2020-02-08,South Vancouver Island,0,British Columbia,5941
2020-02-09,Fraser East,0,British Columbia,5921
2020-02-09,Fraser North,0,British Columbia,5922
2020-02-09,Fraser South,0,British Columbia,5923
2020-02-09,East Kootenay,0,British Columbia,5911
2020-02-09,Kootenay-Boundary,0,British Columbia,5912
2020-02-09,Okanagan,0,British Columbia,5913
2020-02-09,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-09,Northeast,0,British Columbia,5953
2020-02-09,Northern Interior,0,British Columbia,5952
2020-02-09,Northwest,0,British Columbia,5951
2020-02-09,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-09,Richmond,0,British Columbia,5931
2020-02-09,Vancouver,0,British Columbia,5932
2020-02-09,Central Vancouver Island,0,British Columbia,5942
2020-02-09,North Vancouver Island,0,British Columbia,5943
2020-02-09,South Vancouver Island,0,British Columbia,5941
2020-02-10,Fraser East,0,British Columbia,5921
2020-02-10,Fraser North,0,British Columbia,5922
2020-02-10,Fraser South,0,British Columbia,5923
2020-02-10,East Kootenay,0,British Columbia,5911
2020-02-10,Kootenay-Boundary,0,British Columbia,5912
2020-02-10,Okanagan,0,British Columbia,5913
2020-02-10,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-10,Northeast,0,British Columbia,5953
2020-02-10,Northern Interior,0,British Columbia,5952
2020-02-10,Northwest,0,British Columbia,5951
2020-02-10,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-10,Richmond,0,British Columbia,5931
2020-02-10,Vancouver,0,British Columbia,5932
2020-02-10,Central Vancouver Island,0,British Columbia,5942
2020-02-10,North Vancouver Island,0,British Columbia,5943
2020-02-10,South Vancouver Island,0,British Columbia,5941
2020-02-11,Fraser East,0,British Columbia,5921
2020-02-11,Fraser North,0,British Columbia,5922
2020-02-11,Fraser South,0,British Columbia,5923
2020-02-11,East Kootenay,0,British Columbia,5911
2020-02-11,Kootenay-Boundary,0,British Columbia,5912
2020-02-11,Okanagan,0,British Columbia,5913
2020-02-11,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-11,Northeast,0,British Columbia,5953
2020-02-11,Northern Interior,0,British Columbia,5952
2020-02-11,Northwest,0,British Columbia,5951
2020-02-11,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-11,Richmond,0,British Columbia,5931
2020-02-11,Vancouver,0,British Columbia,5932
2020-02-11,Central Vancouver Island,0,British Columbia,5942
2020-02-11,North Vancouver Island,0,British Columbia,5943
2020-02-11,South Vancouver Island,0,British Columbia,5941
2020-02-12,Fraser East,0,British Columbia,5921
2020-02-12,Fraser North,0,British Columbia,5922
2020-02-12,Fraser South,0,British Columbia,5923
2020-02-12,East Kootenay,0,British Columbia,5911
2020-02-12,Kootenay-Boundary,0,British Columbia,5912
2020-02-12,Okanagan,0,British Columbia,5913
2020-02-12,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-12,Northeast,0,British Columbia,5953
2020-02-12,Northern Interior,0,British Columbia,5952
2020-02-12,Northwest,0,British Columbia,5951
2020-02-12,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-12,Richmond,0,British Columbia,5931
2020-02-12,Vancouver,0,British Columbia,5932
2020-02-12,Central Vancouver Island,0,British Columbia,5942
2020-02-12,North Vancouver Island,0,British Columbia,5943
2020-02-12,South Vancouver Island,0,British Columbia,5941
2020-02-13,Fraser East,0,British Columbia,5921
2020-02-13,Fraser North,0,British Columbia,5922
2020-02-13,Fraser South,0,British Columbia,5923
2020-02-13,East Kootenay,0,British Columbia,5911
2020-02-13,Kootenay-Boundary,0,British Columbia,5912
2020-02-13,Okanagan,0,British Columbia,5913
2020-02-13,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-13,Northeast,0,British Columbia,5953
2020-02-13,Northern Interior,0,British Columbia,5952
2020-02-13,Northwest,0,British Columbia,5951
2020-02-13,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-13,Richmond,0,British Columbia,5931
2020-02-13,Vancouver,0,British Columbia,5932
2020-02-13,Central Vancouver Island,0,British Columbia,5942
2020-02-13,North Vancouver Island,0,British Columbia,5943
2020-02-13,South Vancouver Island,0,British Columbia,5941
2020-02-14,Fraser East,0,British Columbia,5921
2020-02-14,Fraser North,0,British Columbia,5922
2020-02-14,Fraser South,0,British Columbia,5923
2020-02-14,East Kootenay,0,British Columbia,5911
2020-02-14,Kootenay-Boundary,0,British Columbia,5912
2020-02-14,Okanagan,0,British Columbia,5913
2020-02-14,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-14,Northeast,0,British Columbia,5953
2020-02-14,Northern Interior,0,British Columbia,5952
2020-02-14,Northwest,0,British Columbia,5951
2020-02-14,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-14,Richmond,0,British Columbia,5931
2020-02-14,Vancouver,0,British Columbia,5932
2020-02-14,Central Vancouver Island,0,British Columbia,5942
2020-02-14,North Vancouver Island,0,British Columbia,5943
2020-02-14,South Vancouver Island,0,British Columbia,5941
2020-02-15,Fraser East,0,British Columbia,5921
2020-02-15,Fraser North,0,British Columbia,5922
2020-02-15,Fraser South,0,British Columbia,5923
2020-02-15,East Kootenay,0,British Columbia,5911
2020-02-15,Kootenay-Boundary,0,British Columbia,5912
2020-02-15,Okanagan,0,British Columbia,5913
2020-02-15,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-15,Northeast,0,British Columbia,5953
2020-02-15,Northern Interior,0,British Columbia,5952
2020-02-15,Northwest,0,British Columbia,5951
