HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Abitibi-Temiscamingue,Quebec,24,35.0254,64638.40348,146717,71211,64575,41850,23975,7770,6860,3315,20300,15500,6010,6355,3095,6040,3665,1760,645,26925,40510,10830,6980,690,82,147,270,4.02985074626866,170,606,369,51,1196,2.95669213519906,2408,59010,47225,47225,3665,17865,11435,10095,2.26981163056412,11.8962608401711,11435,10095,0.686859137517272,0.166315177078031,0.146825685404698,0.00115869326662895,0.00413040070339497,0.00251504597285931,0.819696845919758,10.7626786923697,9.34443410645688,9.21979553074694,-0.379083949595413,-0.444702432462742,-0.438176169337855,0.522241436664889,-0.287171708827044
Algoma,Ontario,35,12.689,99283.97995,118853,65299,53209,35465,21470,6910,5185,1895,17490,11910,5405,4770,1765,6090,3970,1560,575,22175,32390,7415,1395,200,32,49,87,3.22222222222222,24,168,207,20,419,2.36290207230781,3526,41400,39665,39665,3970,14075,10935,7110,1.19710148666336,11.6856427143713,10935,7110,0.687315889793797,0.189481892219719,0.123202217986484,0.000201930115352578,0.00141351080746805,0.00174164724491599,0.179903207161775,10.5882244657361,9.29972393311087,8.86925752279729,-0.440642610672794,-0.457655879424232,-0.524574954622954,-0.0258682819314105,-0.28896597172277
Bas-Saint-Laurent,Quebec,24,46.7863,22673.15767,197385,103220,89833,56300,34100,10210,8370,3660,29440,19560,8155,7860,3535,7310,4670,1985,610,38220,41805,18740,11325,470,128,203,377,3.55660377358491,61,1416,2514,28,4019,2.8549788484434,2401,72340,67660,67660,4670,22145,14810,12005,8.70566874155205,12.1929114152524,14810,12005,0.716168298491664,0.156761047896269,0.127070653612067,0.000309040707247258,0.00717379740101831,0.012736530131469,2.16397439296353,11.1222504423347,9.60305790726184,9.39307850865535,-0.212688283045639,-0.357266665472684,-0.382892524482063,0.428352965864798,-0.276406806787014
Brant,Ontario,35,0.4966,1142.24311,134943,54683,52772,38810,19570,8570,7330,3345,15320,16315,6425,6740,3145,7175,4250,2140,785,19640,28220,8590,17815,95,6,7,11,2.2,143,1444,2281,155,4023,1.01244970098486,3527,54720,34960,34960,4250,19235,12815,10670,118.138598358453,11.8126077460374,12815,10670,0.598169218923775,0.219265976559158,0.182564804517067,0.00105970669097323,0.0107008144179394,0.016903433301468,4.77185849756673,10.4619598297695,9.45837163879817,9.2751913442958,-0.478953920245424,-0.408950918849029,-0.421533187247761,-1.27243018230981,-0.0933644012512929
Calgary,Alberta,48,8.8458,46680.42338,1573645,617202,585061,433105,202455,94490,95150,41010,166785,207920,77730,90740,39460,58400,35645,16810,5955,258240,527750,93000,17815,4700,46,65,110,2.82051282051282,5671,43889,45195,4141,98896,1.22184228336124,4832,643265,425025,425025,35645,230695,130185,136155,33.7110267229114,14.2689051424961,130185,136155,0.614762101060945,0.188301403744766,0.19693649519429,0.0036037352770161,0.0278900260223875,0.0287199463665566,3.51782498629955,12.9599032697059,11.7767117947465,11.8215492216288,2.69722056826632,2.63174122089116,3.21054439114442,-1.07914619765767,-0.234581728246094
Capitale-Nationale,Quebec,24,14.2891,19459.28313,729997,361151,334265,201560,115110,39480,34580,12395,96545,75935,31070,32835,11955,29090,18590,8420,2155,156905,228350,32230,58830,610,69,100,157,2.70689655172414,1917,20089,10821,392,33219,1.33168492473257,2403,320020,253450,253450,18590,86435,58080,46945,37.5140746513204,13.5007957035271,58080,46945,0.707022804937583,0.16201966664342,0.130957528418997,0.00262603818919804,0.0275192911751692,0.0148233485891038,3.62471618659513,12.4429218439005,10.9695766494987,10.7567319826926,1.30014024097112,0.76372463457467,0.628421900262111,-0.977753764515957,-0.228220580430527
Central,Alberta,48,32.9642,127540.40762,487511,210767,188132,136480,72940,25360,24090,14105,61775,56045,20230,22320,13440,18725,11185,5125,2400,75845,87760,63450,16685,3310,140,221,388,3.76699029126214,154,9445,11276,839,21714,3.16346092703549,4833,171205,137620,137620,11185,63515,36540,38160,3.82240428031651,13.097068133268,36540,38160,0.648172569706104,0.172098718914846,0.179728711379051,0.000315890308116125,0.0193739218192,0.0231297345085547,1.34087961738695,11.8322515427565,10.506162829932,10.5495431255622,0.356973612321239,0.205690139473676,0.374146078242146,0.71310347931366,-0.284574773019672
Central,Newfoundland and Labrador,10,58.9296,47061.07228,92690,52574,39790,30630,19200,6290,4015,1160,16805,10265,5385,3775,1050,3520,2405,935,270,11945,16105,5215,3360,860,110,136,250,3.84615384615385,8,34,120,1,163,2.99159564138526,1012,25540,28750,28750,2405,11415,8725,5095,1.96956838230376,11.4370158708699,8725,5095,0.675358233497768,0.204956542165845,0.119685224336387,8.63092027187399e-05,0.000366814111554645,0.0012946380407811,0.677814423467743,10.2663930462255,9.07394774707063,8.53601494565683,-0.529519963273273,-0.514910114994018,-0.582897752729981,0.554459811725924,-0.287673909093452
Central East,Saskatchewan,47,75.1008000000001,50572.2152,94168,48991,40392,26910,15940,4400,3985,2625,13925,9665,3560,3690,2395,3425,2025,855,525,16250,16865,10615,3890,360,202,231,411,4.19387755102041,0,1027,1323,127,2477,3.41118001869,7,31730,30175,30175,2025,11025,6440,6610,1.86205013222359,11.4528357000923,6440,6610,0.698091382301909,0.148987854251012,0.152920763447079,0,0.0109060402684564,0.0140493585931527,0.621678102350433,10.3147690459657,8.7702838190984,8.79633893284573,-0.517916644220989,-0.574107367608028,-0.539047112962166,0.941765510059955,-0.287853748920482
Central Vancouver Island,British Columbia,59,24.4634,12607.16407,270817,127438,118070,80740,51645,14140,10835,4100,43950,24660,10905,9955,3780,12120,7730,3255,1160,52590,45560,27755,11715,1185,71,74,134,2.62745098039216,26,1096,1370,243,2735,2.27877865865141,5942,86215,96540,96540,7730,29055,21890,14895,21.4811989830795,12.509198595007,21890,14895,0.724095255953497,0.164185261578849,0.111719482467654,9.60057898876363e-05,0.0040470132968019,0.00505876662100237,3.06717808666198,11.4777127092145,9.99378519051691,9.60878086514738,0.0224723164139868,-0.173845856497984,-0.299243449281414,-0.103520070784285,-0.255037884328391
