cases,cumulative_cases,date_report,health_region,province
0,0,2020-01-25,Calgary,Alberta
0,0,2020-01-26,Calgary,Alberta
0,0,2020-01-27,Calgary,Alberta
0,0,2020-01-28,Calgary,Alberta
0,0,2020-01-29,Calgary,Alberta
0,0,2020-01-30,Calgary,Alberta
0,0,2020-01-31,Calgary,Alberta
0,0,2020-02-01,Calgary,Alberta
0,0,2020-02-02,Calgary,Alberta
0,0,2020-02-03,Calgary,Alberta
0,0,2020-02-04,Calgary,Alberta
0,0,2020-02-05,Calgary,Alberta
0,0,2020-02-06,Calgary,Alberta
0,0,2020-02-07,Calgary,Alberta
0,0,2020-02-08,Calgary,Alberta
0,0,2020-02-09,Calgary,Alberta
0,0,2020-02-10,Calgary,Alberta
0,0,2020-02-11,Calgary,Alberta
0,0,2020-02-12,Calgary,Alberta
0,0,2020-02-13,Calgary,Alberta
0,0,2020-02-14,Calgary,Alberta
0,0,2020-02-15,Calgary,Alberta
0,0,2020-02-16,Calgary,Alberta
0,0,2020-02-17,Calgary,Alberta
0,0,2020-02-18,Calgary,Alberta
0,0,2020-02-19,Calgary,Alberta
0,0,2020-02-20,Calgary,Alberta
0,0,2020-02-21,Calgary,Alberta
0,0,2020-02-22,Calgary,Alberta
0,0,2020-02-23,Calgary,Alberta
0,0,2020-02-24,Calgary,Alberta
0,0,2020-02-25,Calgary,Alberta
0,0,2020-02-26,Calgary,Alberta
0,0,2020-02-27,Calgary,Alberta
0,0,2020-02-28,Calgary,Alberta
0,0,2020-02-29,Calgary,Alberta
0,0,2020-03-01,Calgary,Alberta
0,0,2020-03-02,Calgary,Alberta
0,0,2020-03-03,Calgary,Alberta
0,0,2020-03-04,Calgary,Alberta
1,1,2020-03-05,Calgary,Alberta
0,1,2020-03-06,Calgary,Alberta
0,1,2020-03-07,Calgary,Alberta
1,2,2020-03-08,Calgary,Alberta
6,8,2020-03-09,Calgary,Alberta
0,8,2020-03-10,Calgary,Alberta
3,11,2020-03-11,Calgary,Alberta
4,15,2020-03-12,Calgary,Alberta
5,20,2020-03-13,Calgary,Alberta
6,26,2020-03-14,Calgary,Alberta
14,40,2020-03-15,Calgary,Alberta
12,52,2020-03-16,Calgary,Alberta
18,70,2020-03-17,Calgary,Alberta
13,83,2020-03-18,Calgary,Alberta
18,101,2020-03-19,Calgary,Alberta
25,126,2020-03-20,Calgary,Alberta
13,139,2020-03-21,Calgary,Alberta
25,164,2020-03-22,Calgary,Alberta
25,189,2020-03-23,Calgary,Alberta
27,216,2020-03-24,Calgary,Alberta
35,251,2020-03-25,Calgary,Alberta
49,300,2020-03-26,Calgary,Alberta
37,337,2020-03-27,Calgary,Alberta
42,379,2020-03-28,Calgary,Alberta
30,409,2020-03-29,Calgary,Alberta
14,423,2020-03-30,Calgary,Alberta
31,454,2020-03-31,Calgary,Alberta
76,530,2020-04-01,Calgary,Alberta
61,591,2020-04-02,Calgary,Alberta
84,675,2020-04-03,Calgary,Alberta
62,737,2020-04-04,Calgary,Alberta
38,775,2020-04-05,Calgary,Alberta
43,818,2020-04-06,Calgary,Alberta
17,835,2020-04-07,Calgary,Alberta
25,860,2020-04-08,Calgary,Alberta
18,878,2020-04-09,Calgary,Alberta
39,917,2020-04-10,Calgary,Alberta
59,976,2020-04-11,Calgary,Alberta
70,1046,2020-04-12,Calgary,Alberta
68,1114,2020-04-13,Calgary,Alberta
128,1242,2020-04-14,Calgary,Alberta
94,1336,2020-04-15,Calgary,Alberta
133,1469,2020-04-16,Calgary,Alberta
