avaccine,cumulative_avaccine,date_vaccine_administered,province
0,0,2020-12-14,Alberta
20,20,2020-12-15,Alberta
0,20,2020-12-16,Alberta
374,394,2020-12-17,Alberta
0,394,2020-12-18,Alberta
0,394,2020-12-19,Alberta
1754,2148,2020-12-20,Alberta
0,2148,2020-12-21,Alberta
926,3074,2020-12-22,Alberta
562,3636,2020-12-23,Alberta
1075,4711,2020-12-24,Alberta
0,4711,2020-12-25,Alberta
0,4711,2020-12-26,Alberta
0,4711,2020-12-27,Alberta
1305,6016,2020-12-28,Alberta
486,6502,2020-12-29,Alberta
2042,8544,2020-12-30,Alberta
2558,11102,2020-12-31,Alberta
3142,14244,2021-01-01,Alberta
3000,17244,2021-01-02,Alberta
0,17244,2021-01-03,Alberta
5617,22861,2021-01-04,Alberta
3408,26269,2021-01-05,Alberta
3764,30033,2021-01-06,Alberta
3831,33864,2021-01-07,Alberta
3822,37686,2021-01-08,Alberta
4647,42333,2021-01-09,Alberta
2661,44994,2021-01-10,Alberta
1797,46791,2021-01-11,Alberta
5527,52318,2021-01-12,Alberta
5826,58144,2021-01-13,Alberta
8809,66953,2021-01-14,Alberta
7157,74110,2021-01-15,Alberta
7451,81561,2021-01-16,Alberta
4374,85935,2021-01-17,Alberta
3879,89814,2021-01-18,Alberta
2501,92315,2021-01-19,Alberta
2928,95243,2021-01-20,Alberta
1263,96506,2021-01-21,Alberta
1279,97785,2021-01-22,Alberta
1022,98807,2021-01-23,Alberta
240,99047,2021-01-24,Alberta
406,99453,2021-01-25,Alberta
361,99814,2021-01-26,Alberta
1309,101123,2021-01-27,Alberta
1401,102524,2021-01-28,Alberta
1803,104327,2021-01-29,Alberta
1425,105752,2021-01-30,Alberta
502,106254,2021-01-31,Alberta
93,106347,2021-02-01,Alberta
1091,107438,2021-02-02,Alberta
1903,109341,2021-02-03,Alberta
3047,112388,2021-02-04,Alberta
1678,114066,2021-02-05,Alberta
2650,116716,2021-02-06,Alberta
1668,118384,2021-02-07,Alberta
1973,120357,2021-02-08,Alberta
3968,124325,2021-02-09,Alberta
5127,129452,2021-02-10,Alberta
6123,135575,2021-02-11,Alberta
4814,140389,2021-02-12,Alberta
3725,144114,2021-02-13,Alberta
1727,145841,2021-02-14,Alberta
762,146603,2021-02-15,Alberta
2535,149138,2021-02-16,Alberta
2918,152056,2021-02-17,Alberta
3476,155532,2021-02-18,Alberta
4891,160423,2021-02-19,Alberta
5104,165527,2021-02-20,Alberta
3914,169441,2021-02-21,Alberta
4098,173539,2021-02-22,Alberta
