province,HRUID2018,HR,pruid,wave,incidence,VIs,PROV_vaxx_AL1D,EIs,LIs,PHU_population,is_cma,is_ca,is_miz_strong,is_miz_moderate,is_miz_weak,is_miz_none,LTCHs,PROV_population,PHU_pop_density,group_0_to_4,group_5_to_19,group_20_to_49,group_50_to_64,group_65_plus,interaction_children_school_closures,interaction_popdensity_cma,interaction_popdensity_ca,interaction_popdensity_strong,interaction_popdensity_moderate,interaction_popdensity_weak,interaction_popdensity_none,interaction_lockdown_0_to_4,interaction_lockdown_5_to_19,interaction_lockdown_20_to_49,interaction_lockdown_50_to_64,interaction_lockdown_65_plus,previous_wave_incidence,interaction_vaccination_0_to_4,interaction_vaccination_5_to_19,interaction_vaccination_20_to_49,interaction_vaccination_50_to_64,interaction_vaccination_65_plus,log_previous_wave_incidence
Alberta,4831,South,48,1,1617,0,0,1,1,302340,7,8,3,19,11,0,0,4173595,4.12413859742368,20475,60275,114125,59765,47700,60275,28.8689701819658,32.9931087793895,12.372415792271,78.35863335105,45.3655245716605,0,20475,60275,114125,59765,47700,0,0,0,0,0,0,0
Alberta,4832,Calgary,48,1,6442,0,0,1,1,1572545,9,4,11,15,0,0,1,4173595,37.2124328602847,99500,287320,701295,304250,180180,287320,334.911895742563,148.849731441139,409.336761463132,558.186492904271,0,0,99500,287320,701295,304250,180180,0,0,0,0,0,0,0
Alberta,4833,Central,48,1,355,0,0,1,1,487410,1,8,29,41,24,0,4,4173595,4.01477614797428,31095,93745,186855,102410,73305,93745,4.01477614797428,32.1182091837942,116.428508291254,164.605822066945,96.3546275513827,0,31095,93745,186855,102410,73305,0,0,0,0,0,0,0
Alberta,4834,Edmonton,48,1,1589,0,0,1,1,1349490,34,0,0,0,1,0,1,4173595,42.9099433891306,86795,239615,599135,257600,166345,239615,1458.93807523044,0,0,0,42.9099433891306,0,86795,239615,599135,257600,166345,0,0,0,0,0,0,0
Alberta,4835,North,48,1,534,0,0,1,1,461810,2,12,10,35,39,0,0,4173595,1.10911829608401,35055,93535,197445,88395,47380,93535,2.21823659216803,13.3094195530082,11.0911829608401,38.8191403629405,43.2556135472766,0,35055,93535,197445,88395,47380,0,0,0,0,0,0,0
British Columbia,5911,East Kootenay,59,1,21,0,0,1,1,80865,0,4,1,7,11,0,18,4744900,1.77462753219727,3950,12610,27240,19895,17170,12610,0,7.09851012878907,1.77462753219727,12.4223927253809,19.5209028541699,0,3950,12610,27240,19895,17170,0,0,0,0,0,0,0
British Columbia,5912,Kootenay-Boundary,59,1,14,0,0,1,1,86280,1,3,0,15,14,0,25,4744900,2.15973073299527,3590,12540,27355,22805,19990,12540,2.15973073299527,6.4791921989858,0,32.395960994929,30.2362302619337,0,3590,12540,27355,22805,19990,0,0,0,0,0,0,0
British Columbia,5913,Okanagan,59,1,250,0,0,1,1,369510,10,10,6,12,4,0,80,4744900,14.6405159513166,15430,53900,120820,89605,89755,53900,146.405159513166,146.405159513166,87.8430957078998,175.6861914158,58.5620638052665,0,15430,53900,120820,89605,89755,0,0,0,0,0,0,0
British Columbia,5914,Thompson Cariboo Shuswap,59,1,78,0,0,1,1,228195,0,25,7,29,11,0,53,4744900,1.69440287551274,10560,34505,76510,57040,49580,34505,0,42.3600718878185,11.8608201285892,49.1376833898694,18.6384316306401,0,10560,34505,76510,57040,49580,0,0,0,0,0,0,0
British Columbia,5921,Fraser East,59,1,620,0,0,1,1,297650,4,23,7,4,0,0,60,4744900,18.3922972880627,17180,54640,109970,62175,53685,54640,73.5691891522508,423.022837625442,128.746081016439,73.5691891522508,0,0,17180,54640,109970,62175,53685,0,0,0,0,0,0,0
British Columbia,5922,Fraser North,59,1,480,0,0,1,1,656605,15,0,1,0,0,0,106,4744900,177.653261417294,32420,105655,281000,141925,95605,105655,2664.79892125941,0,177.653261417294,0,0,0,32420,105655,281000,141925,95605,0,0,0,0,0,0,0
British Columbia,5923,Fraser South,59,1,752,0,0,1,1,800945,13,0,0,0,0,0,116,4744900,463.897453819586,43000,148635,319735,164910,124665,148635,6030.66689965461,0,0,0,0,0,43000,148635,319735,164910,124665,0,0,0,0,0,0,0
British Columbia,5931,Richmond,59,1,101,0,0,1,1,198310,1,0,0,0,0,0,36,4744900,1308.52913629609,8905,29865,79350,46545,33645,29865,1308.52913629609,0,0,0,0,0,8905,29865,79350,46545,33645,0,0,0,0,0,0,0
British Columbia,5932,Vancouver,59,1,699,0,0,1,1,649295,3,0,0,0,0,0,99,4744900,658.917897114147,25490,78050,317750,128585,99420,78050,1976.75369134244,0,0,0,0,0,25490,78050,317750,128585,99420,0,0,0,0,0,0,0
British Columbia,5933,North Shore/Coast Garibaldi,59,1,271,0,0,1,1,300655,10,10,2,13,6,0,76,4744900,4.29680418468271,13330,50190,111660,67820,57655,50190,42.9680418468271,42.9680418468271,8.59360836936543,55.8584544008753,25.7808251080963,0,13330,50190,111660,67820,57655,0,0,0,0,0,0,0
British Columbia,5941,South Vancouver Island,59,1,50,0,0,1,1,383375,22,0,0,2,0,0,112,4744900,161.397407019424,16125,52765,144660,86720,83105,52765,3550.74295442734,0,0,322.794814038849,0,0,16125,52765,144660,86720,83105,0,0,0,0,0,0,0
British Columbia,5942,Central Vancouver Island,59,1,33,0,0,1,1,270225,0,30,12,7,2,0,64,4744900,21.4499383523179,11510,39015,83665,67100,68935,39015,0,643.498150569536,257.399260227814,150.149568466225,42.8998767046357,0,11510,39015,83665,67100,68935,0,0,0,0,0,0,0
British Columbia,5943,North Vancouver Island,59,1,60,0,0,1,1,122160,0,10,2,8,7,0,23,4744900,3.00326886537169,5435,18770,37955,31465,28535,18770,0,30.0326886537169,6.00653773074338,24.0261509229735,21.0228820576018,0,5435,18770,37955,31465,28535,0,0,0,0,0,0,0
British Columbia,5951,Northwest,59,1,35,0,0,1,1,74925,0,5,2,9,16,0,11,4744900,0.288950723945003,4315,14105,27820,17460,11225,14105,0,1.44475361972501,0.577901447890006,2.60055651550503,4.62321158312005,0,4315,14105,27820,17460,11225,0,0,0,0,0,0,0
British Columbia,5952,Northern Interior,59,1,36,0,0,1,1,151875,0,22,0,9,12,0,22,4744900,0.627214498232551,8585,28060,57535,34780,22915,28060,0,13.7987189611161,0,5.64493048409296,7.52657397879061,0,8585,28060,57535,34780,22915,0,0,0,0,0,0,0
British Columbia,5953,Northeast,59,1,15,0,0,1,1,74030,0,4,2,6,4,0,11,4744900,0.237321297428783,5745,15180,31585,14020,7500,15180,0,0.949285189715131,0.474642594857566,1.4239277845727,0.949285189715131,0,5745,15180,31585,14020,7500,0,0,0,0,0,0,0
Manitoba,4601,Winnipeg,46,1,249,0,0,1,1,720885,3,0,0,0,1,0,2,1292920,1100.99722608453,39885,125800,298005,144270,112925,125800,3302.9916782536,0,0,0,1100.99722608453,0,39885,125800,298005,144270,112925,0,0,0,0,0,0,0
Manitoba,4602,Prairie Mountain,46,1,39,0,0,1,1,174440,0,5,1,23,37,0,1,1292920,1.16915547737125,11345,32620,61210,35505,33760,32620,0,5.84577738685624,1.16915547737125,26.8905759795387,43.2587526627362,0,11345,32620,61210,35505,33760,0,0,0,0,0,0,0
Manitoba,4603,Interlake-Eastern,46,1,55,0,0,1,1,130615,4,0,10,14,12,0,1,1292920,1.11186823985243,7540,24240,43100,31590,24145,24240,4.44747295940974,0,11.1186823985243,15.5661553579341,13.3424188782292,0,7540,24240,43100,31590,24145,0,0,0,0,0,0,0
