Geo Code,Geo Name,Line Number
"5901003","Elkford",2
"5901006","Sparwood",2249
"5901012","Fernie",4496
"5901017","East Kootenay A",6743
"5901019","East Kootenay B",8990
"5901022","Cranbrook",11237
"5901028","Kimberley",13484
"5901035","East Kootenay C",15731
"5901037","East Kootenay E",17978
"5901039","Invermere",20225
"5901040","Radium Hot Springs",22472
"5901043","Canal Flats",24719
"5901046","East Kootenay F",26966
"5901048","East Kootenay G",29213
"5901801","Tobacco Plains 2",31460
"5901802","Isidore's Ranch 4",33707
"5901803","Kootenay 1",35954
"5901804","Columbia Lake 3",38201
"5901805","Cassimayooks (Mayook) 5",40448
"5901806","Shuswap",42695
"5903004","Creston",44942
"5903010","Central Kootenay A",47189
"5903011","Salmo",49436
"5903013","Central Kootenay B",51683
"5903015","Nelson",53930
"5903017","Central Kootenay C",56177
"5903019","Slocan",58424
"5903023","Kaslo",60671
"5903027","Silverton",62918
"5903032","New Denver",65165
"5903039","Central Kootenay D",67412
"5903041","Central Kootenay E",69659
"5903043","Central Kootenay F",71906
"5903045","Castlegar",74153
"5903047","Central Kootenay G",76400
"5903050","Nakusp",78647
"5903052","Central Kootenay H",80894
"5903056","Central Kootenay I",83141
"5903058","Central Kootenay J",85388
"5903060","Central Kootenay K",87635
"5903807","Creston 1",89882
"5905005","Fruitvale",92129
"5905009","Montrose",94376
"5905014","Trail",96623
"5905018","Warfield",98870
"5905023","Rossland",101117
"5905026","Kootenay Boundary A",103364
"5905030","Kootenay Boundary B / Lower Columbia-Old-Glory",105611
"5905032","Grand Forks",107858
"5905037","Midway",110105
"5905042","Greenwood",112352
"5905050","Kootenay Boundary C / Christina Lake",114599
"5905052","Kootenay Boundary D / Rural Grand Forks",116846
"5905054","Kootenay Boundary E / West Boundary",119093
"5907005","Osoyoos",121340
"5907009","Keremeos",123587
"5907014","Oliver",125834
"5907022","Okanagan-Similkameen A",128081
"5907024","Princeton",130328
"5907026","Okanagan-Similkameen B",132575
"5907028","Okanagan-Similkameen C",134822
"5907035","Summerland",137069
"5907041","Penticton",139316
"5907047","Okanagan-Similkameen D",141563
"5907049","Okanagan-Similkameen E",143810
"5907051","Okanagan-Similkameen F",146057
"5907053","Okanagan-Similkameen G",148304
"5907055","Okanagan-Similkameen H",150551
"5907801","Lower Similkameen 2",152798
"5907802","Osoyoos 1",155045
"5907803","Penticton 1",157292
"5907805","Chopaka 7 & 8",159539
"5907806","Blind Creek 6",161786
"5907807","Chuchuwayha 2",164033
"5907808","Alexis 9",166280
"5907809","Ashnola 10",168527
"5909009","Hope",170774
"5909014","Fraser Valley A",173021
"5909016","Fraser Valley B",175268
"5909020","Chilliwack",177515
"5909027","Harrison Hot Springs",179762
"5909032","Kent",182009
"5909034","Fraser Valley D",184256
"5909035","Fraser Valley H",186503
"5909036","Fraser Valley E",188750
"5909048","Fraser Valley C",190997
"5909052","Abbotsford",193244
"5909056","Mission",195491
"5909060","Fraser Valley F",197738
"5909062","Fraser Valley G",199985
"5909804","Chawathil 4",202232
"5909805","Inkahtsaph 6",204479
"5909806","Kopchitchin 2",206726
"5909807","Ohamil 1",208973
"5909808","Puckatholetchin 11",211220
"5909809","Saddle Rock 9",213467
"5909810","Lukseetsissum 9",215714
"5909812","Schkam 2",217961
"5909814","Skawahlook 1",220208
"5909815","Speyum 3",222455
"5909816","Spuzzum 1",224702
"5909817","Tuckkwiowhum 1",226949
"5909818","Yale Town 1",229196
"5909819","Kahmoose 4",231443
"5909821","Kwawkwawapilt 6",233690
"5909824","Skwah 4",235937
"5909825","Skwali 3",238184
"5909826","Skway 5",240431
"5909827","Soowahlie 14",242678
"5909830","Tzeachten 13",244925
"5909831","Yakweakwioose 12",247172
"5909832","Seabird Island",249419
"5909833","Scowlitz 1",251666
"5909834","Tseatah 2",253913
"5909835","Aitchelitch 9",256160
"5909836","Boston Bar 1A",258407
"5909837","Cheam 1",260654
"5909838","Schelowat 1",262901
"5909839","Chehalis 5",265148
"5909841","Stullawheets 8",267395
"5909842","Douglas 8",269642
"5909843","Peters 1",271889
"5909844","Popkum 1",274136
"5909845","Skookumchuck 4",276383
"5909847","Bucktum 4",278630
"5909848","Tipella 7",280877
"5909849","Skwahla 2",283124
"5909850","Boothroyd 13",285371
"5909852","Paqulh",287618
"5909875","Q'alatkú7em",289865
"5909876","Albert Flat 5",292112
"5909877","Upper Sumas 6",294359
"5909878","Matsqui Main 2",296606
"5909879","Holachten 8",298853
"5909880","Lakahahmen 11",301100
"5909881","Skweahm 10",303347
"5909882","Squawkum Creek 3",305594
"5909883","Sachteen",307841
"5909884","Skowkale",310088
"5909885","Squiaala",312335
"5915001","Langley",314582
"5915002","Langley",316829
"5915004","Surrey",319076
"5915007","White Rock",321323
"5915011","Delta",323570
"5915015","Richmond",325817
"5915020","Greater Vancouver A",328064
"5915022","Vancouver",330311
"5915025","Burnaby",332558
"5915029","New Westminster",334805
"5915034","Coquitlam",337052
"5915036","Belcarra",339299
"5915038","Anmore",341546
"5915039","Port Coquitlam",343793
"5915043","Port Moody",346040
"5915046","North Vancouver",348287
"5915051","North Vancouver",350534
"5915055","West Vancouver",352781
"5915062","Bowen Island",355028
"5915065","Lions Bay",357275
"5915070","Pitt Meadows",359522
"5915075","Maple Ridge",361769
"5915801","Semiahmoo",364016
"5915802","Tsawwassen",366263
"5915803","Musqueam 2",368510
"5915804","Coquitlam 2",370757
"5915805","Coquitlam 1",373004
"5915806","Burrard Inlet 3",375251
"5915807","Mission 1",377498
"5915808","Capilano 5",379745
"5915809","Barnston Island 3",381992
"5915810","Musqueam 4",384239
"5915811","Seymour Creek 2",386486
"5915813","Katzie 2",388733
"5915816","McMillan Island 6",390980
"5915825","Matsqui 4",393227
"5915830","Katzie 1",395474
"5915835","Langley 5",397721
"5915840","Whonnock 1",399968
"5917005","North Saanich",402215
"5917010","Sidney",404462
"5917015","Central Saanich",406709
"5917021","Saanich",408956
"5917027","Saltspring Island",411203
"5917029","Southern Gulf Islands",413450
"5917030","Oak Bay",415697
"5917034","Victoria",417944
"5917040","Esquimalt",420191
"5917041","Colwood",422438
"5917042","Metchosin",424685
"5917044","Langford",426932
"5917047","View Royal",429179
"5917049","Highlands",431426
"5917052","Sooke",433673
"5917054","Juan de Fuca (Part 1)",435920
"5917056","Juan de Fuca (Part 2)",438167
"5917801","Cole Bay 3",440414
"5917802","Union Bay 4",442661
"5917803","East Saanich 2",444908
"5917804","South Saanich 1",447155
"5917805","Galiano Island 9",449402
"5917809","Becher Bay 1",451649
"5917811","Esquimalt",453896
"5917812","New Songhees 1A",456143
"5917815","Gordon River 2",458390
"5917819","T'Sou-ke",460637
"5919008","North Cowichan",462884
"5919012","Duncan",465131
"5919013","Cowichan Valley D",467378
"5919015","Cowichan Valley G",469625
"5919016","Lake Cowichan",471872
"5919017","Cowichan Valley H",474119
"5919021","Ladysmith",476366
"5919033","Cowichan Valley F",478613
"5919035","Cowichan Valley I",480860
"5919043","Cowichan Valley A",483107
"5919046","Cowichan Valley B",485354
"5919049","Cowichan Valley C",487601
"5919051","Cowichan Valley E",489848
"5919801","Halalt 2",492095
"5919802","Squaw-hay-one 11",494342
"5919803","Tsussie 6",496589
"5919804","Chemainus 13",498836
"5919808","Kil-pah-las 3",501083
"5919809","Penelakut Island 7",503330
"5919811","Shingle Point 4",505577
"5919812","Cowichan Lake",507824
"5919814","Malachan 11",510071
"5919815","Malahat 11",512318
"5919816","Oyster Bay 12",514565
"5919817","Portier Pass 5",516812
"5919818","Theik 2",519059
"5919820","Est-Patrolas 4",521306
"5919821","Tzart-Lam 5",523553
"5919822","Cowichan",525800
"5921007","Nanaimo",528047
"5921008","Lantzville",530294
"5921010","Nanaimo A",532541
"5921014","Nanaimo B",534788
"5921016","Nanaimo C",537035
"5921018","Parksville",539282
"5921023","Qualicum Beach",541529
"5921030","Nanaimo E",543776
"5921032","Nanaimo F",546023
"5921034","Nanaimo G",548270
"5921036","Nanaimo H",550517
"5921804","Nanaimo Town 1",552764
"5921805","Nanoose",555011
"5921806","Qualicum",557258
"5921807","Nanaimo River",559505
"5923008","Port Alberni",561752
"5923019","Ucluelet",563999
"5923025","Tofino",566246
"5923033","Alberni-Clayoquot B",568493
"5923035","Alberni-Clayoquot D",570740
"5923037","Alberni-Clayoquot E",572987
"5923039","Alberni-Clayoquot F",575234
"5923047","Alberni-Clayoquot A",577481
"5923049","Alberni-Clayoquot C",579728
"5923801","Ahahswinis 1",581975
"5923802","Alberni 2",584222
"5923803","Anacla 12",586469
"5923804","Clakamucus 2",588716
"5923805","Elhlateese 2",590963
"5923806","Hesquiat 1",593210
"5923807","Ittatsoo 1",595457
"5923808","Marktosis 15",597704
"5923809","Numukamis 1",599951
"5923810","Macoah 1",602198
"5923813","Opitsat 1",604445
"5923814","Sachsa 4",606692
"5923816","Tsahaheh 1",608939
