Geo Code,Geo Name,Line Number
"1101001","Lot 64",2
"1101002","Murray Harbour",2249
"1101004","Murray River",4496
"1101006","Lot 63",6743
"1101008","Lot 61",8990
"1101009","Lot 59",11237
"1101011","Lot 66",13484
"1101014","Lot 51",15731
"1101016","Lot 52",17978
"1101018","Montague",20225
"1101019","Lot 53",22472
"1101021","Cardigan",24719
"1101022","Kings, Royalty",26966
"1101024","Georgetown",29213
"1101026","Lot 54",31460
"1101028","Lot 55",33707
"1101029","Lot 56",35954
"1101031","Lot 43",38201
"1101032","Lot 44",40448
"1101034","Lot 45",42695
"1101036","Souris",44942
"1101038","Lot 46",47189
"1101039","Lot 47",49436
"1101041","Lot 42",51683
"1101042","Lot 41",53930
"1101044","St. Peters Bay",56177
"1101046","Lot 40",58424
"1101048","Morell",60671
"1101049","Lot 39",62918
"1101050","Morell 2",65165
"1101051","Lot 38",67412
"1102001","Lot 62",69659
"1102004","Lot 60",71906
"1102006","Lot 58",74153
"1102008","Lot 57",76400
"1102009","Lot 50",78647
"1102012","Lot 49",80894
"1102014","Lot 48",83141
"1102026","Lot 31",85388
"1102028","Lot 65",87635
"1102029","Lot 30",89882
"1102030","Rocky Point 3",92129
"1102031","Lot 29",94376
"1102032","Victoria",96623
"1102033","Meadowbank",98870
"1102034","Crapaud",101117
"1102036","Lot 67",103364
"1102037","Clyde River",105611
"1102038","Lot 20",107858
"1102039","Lot 21",110105
"1102040","Miltonvale Park",112352
"1102041","Lot 22",114599
"1102042","Lot 23",116846
"1102043","Hunter River",119093
"1102044","Lot 24",121340
"1102045","Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.",123587
"1102046","North Rustico",125834
"1102048","Brackley",128081
"1102049","Lot 33",130328
"1102050","Union Road",132575
"1102051","Breadalbane",134822
"1102052","Lot 34",137069
"1102054","Lot 35",139316
"1102056","Lot 36",141563
"1102057","Scotchfort 4",143810
"1102058","Lot 37",146057
"1102059","Mount Stewart",148304
"1102065","Winsloe South",150551
"1102070","Warren Grove",152798
"1102075","Charlottetown",155045
"1102080","Stratford",157292
"1102085","Cornwall",159539
"1103001","Lot 28",161786
"1103005","Borden-Carleton",164033
"1103006","Lot 27",166280
"1103008","Kinkora",168527
"1103009","Lot 26",170774
"1103011","Lot 25",173021
"1103012","Lot 19",175268
"1103014","Kensington",177515
"1103015","Bedeque and Area",179762
"1103016","Lot 18",182009
"1103018","Sherbrooke",184256
"1103019","Lot 17",186503
"1103023","Linkletter",188750
"1103024","Miscouche",190997
"1103025","Summerside",193244
"1103026","Lot 15",195491
"1103027","Abrams Village",197738
"1103028","Lot 16",199985
"1103029","Wellington",202232
"1103031","Lot 14",204479
"1103032","Lot 13",206726
"1103033","Tyne Valley",208973
"1103034","Lot 12",211220
"1103035","Lennox Island 1",213467
"1103036","Lot 11",215714
"1103038","Lot 10",217961
"1103041","Lot 6",220208
"1103042","O'Leary",222455
"1103044","Lot 9",224702
"1103046","Lot 8",226949
"1103048","Lot 7",229196
"1103049","Lot 5",231443
"1103051","Lot 4",233690
"1103052","Alberton",235937
"1103054","Lot 3",238184
"1103056","Lot 2",240431
"1103057","St. Louis",242678
"1103058","Lot 1",244925
"1103059","Tignish",247172
"1103062","Miminegash",249419
