alpha,province,geo_code,geo_name,cohort_0_to_4,cohort_5_to_9,cohort_10_to_14,cohort_15_to_19,cohort_20_to_24,cohort_25_to_29,cohort_30_to_34,cohort_35_to_39,cohort_40_to_44,cohort_45_to_49,cohort_50_to_54,cohort_55_to_59,cohort_60_to_64,cohort_65_to_69,cohort_70_to_74,cohort_75_to_79,cohort_80_to_84,cohort_85_to_89,cohort_90_to_94,cohort_95_to_99,cohort_100_plus,CSD_population,CSD_dwellings,HR,HRUID2018
NL,Newfoundland and Labrador,1001101,"Division No. 1, Subd. V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Eastern,1011
NL,Newfoundland and Labrador,1001105,Portugal Cove South,0,0,0,10,10,5,0,0,0,10,15,30,25,10,10,5,5,0,0,0,0,135,91,Eastern,1011
NL,Newfoundland and Labrador,1001113,Trepassey,10,5,5,15,15,15,15,10,15,30,35,65,70,85,40,15,15,10,0,0,0,470,356,Eastern,1011
NL,Newfoundland and Labrador,1001120,St. Shott's,0,0,0,0,0,0,0,0,0,0,5,10,15,15,10,0,0,0,0,0,0,55,52,Eastern,1011
NL,Newfoundland and Labrador,1001124,"Division No. 1, Subd. U",50,85,70,65,80,70,75,90,75,110,160,205,140,150,85,55,30,15,5,0,0,1615,1630,Eastern,1011
NL,Newfoundland and Labrador,1001126,Cape Broyle,10,30,35,35,15,20,10,35,35,30,40,45,40,50,25,20,5,5,0,0,0,485,291,Eastern,1011
NL,Newfoundland and Labrador,1001131,Renews-Cappahayden,5,5,5,10,15,5,5,10,5,20,30,50,40,45,15,10,5,10,5,0,0,295,346,Eastern,1011
NL,Newfoundland and Labrador,1001136,Fermeuse,10,15,20,10,5,5,5,15,15,10,35,40,30,30,15,15,20,20,15,0,0,330,178,Eastern,1011
NL,Newfoundland and Labrador,1001140,Port Kirwan,0,0,0,0,5,5,5,0,0,0,0,10,5,10,10,0,0,0,0,0,0,50,64,Eastern,1011
NL,Newfoundland and Labrador,1001144,Aquaforte,5,5,0,5,0,0,0,5,5,5,5,5,15,20,10,5,0,0,0,0,0,90,71,Eastern,1011
NL,Newfoundland and Labrador,1001149,Ferryland,10,10,15,20,25,5,10,5,20,25,40,45,65,40,20,15,20,5,0,0,0,395,254,Eastern,1011
NL,Newfoundland and Labrador,1001155,"Division No. 1, Subd. W",5,10,10,10,20,5,15,20,20,30,55,55,65,50,40,10,10,5,5,0,0,440,893,Eastern,1011
NL,Newfoundland and Labrador,1001169,St. Vincent's-St. Stephen's-Peter's River,0,10,15,15,10,5,5,10,15,20,35,40,50,40,15,15,15,5,0,0,0,320,221,Eastern,1011
NL,Newfoundland and Labrador,1001174,Gaskiers-Point La Haye,10,5,5,10,10,5,5,10,10,10,20,25,30,35,25,10,10,5,5,0,0,245,145,Eastern,1011
NL,Newfoundland and Labrador,1001178,St. Mary's,5,5,15,15,10,5,5,10,10,20,40,50,40,60,30,15,10,10,0,0,0,355,216,Eastern,1011
NL,Newfoundland and Labrador,1001181,Riverhead,5,5,5,10,5,5,5,5,10,15,25,20,30,20,10,5,5,0,0,0,0,185,153,Eastern,1011
NL,Newfoundland and Labrador,1001186,Admirals Beach,0,10,5,0,5,5,5,0,5,10,10,10,10,20,20,10,0,0,0,0,0,125,80,Eastern,1011
NL,Newfoundland and Labrador,1001192,St. Joseph's,0,5,5,5,5,5,5,5,5,5,10,10,20,25,10,10,0,5,0,0,0,135,114,Eastern,1011
NL,Newfoundland and Labrador,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,5,5,10,10,10,5,5,5,25,20,30,50,50,50,35,15,5,5,5,0,0,345,302,Eastern,1011
NL,Newfoundland and Labrador,1001203,"Division No. 1, Subd. X",10,5,20,25,10,15,15,20,30,45,55,50,60,60,45,20,10,5,0,0,0,500,754,Eastern,1011
NL,Newfoundland and Labrador,1001207,Colinet,0,0,0,5,0,0,0,0,5,10,5,10,10,10,10,0,0,0,0,0,0,65,73,Eastern,1011
NL,Newfoundland and Labrador,1001214,"Division No. 1, Subd. C",0,0,0,5,0,0,0,0,0,5,10,15,15,15,15,5,5,0,0,0,0,90,140,Eastern,1011
NL,Newfoundland and Labrador,1001219,Branch,5,10,5,15,10,5,10,5,10,15,15,35,30,25,15,10,5,5,0,0,0,230,174,Eastern,1011
NL,Newfoundland and Labrador,1001225,Point Lance,0,0,5,10,5,0,0,5,5,15,15,10,10,5,0,0,0,0,0,0,0,85,48,Eastern,1011
NL,Newfoundland and Labrador,1001228,St. Bride's,5,5,10,10,10,5,5,5,15,15,30,35,40,25,25,10,5,5,0,0,0,260,169,Eastern,1011
NL,Newfoundland and Labrador,1001234,"Division No. 1, Subd. B",10,10,15,20,15,10,10,10,20,25,35,45,45,40,25,15,5,5,0,0,0,360,380,Eastern,1011
NL,Newfoundland and Labrador,1001240,Placentia,110,150,150,165,165,130,170,145,175,215,275,370,370,345,220,150,105,55,35,5,0,3505,1852,Eastern,1011
NL,Newfoundland and Labrador,1001254,Fox Harbour,10,10,15,15,15,15,10,5,10,15,20,40,25,25,20,10,0,0,0,0,0,260,133,Eastern,1011
NL,Newfoundland and Labrador,1001259,"Division No. 1, Subd. A",10,10,20,20,15,20,25,20,25,45,80,90,120,85,65,35,25,10,5,0,0,725,726,Eastern,1011
NL,Newfoundland and Labrador,1001263,Long Harbour-Mount Arlington Heights,5,5,10,5,5,5,5,5,15,15,15,25,25,25,10,5,5,5,0,0,0,190,163,Eastern,1011
NL,Newfoundland and Labrador,1001267,Southern Harbour,5,10,15,20,20,10,10,5,20,30,45,45,45,40,20,10,10,5,0,0,0,365,213,Eastern,1011
NL,Newfoundland and Labrador,1001270,Arnold's Cove,30,40,40,50,35,40,30,50,60,70,85,75,95,75,55,45,40,15,5,0,0,935,537,Eastern,1011
NL,Newfoundland and Labrador,1001274,Come By Chance,0,5,10,15,15,10,5,15,15,35,30,25,10,10,10,10,10,0,0,0,0,230,125,Eastern,1011
NL,Newfoundland and Labrador,1001277,Sunnyside,10,20,15,25,10,10,15,15,30,40,35,30,45,40,35,10,5,5,0,0,0,395,286,Eastern,1011
NL,Newfoundland and Labrador,1001281,Chance Cove,0,0,10,5,5,10,0,5,10,25,20,35,30,30,30,20,5,0,0,0,0,240,150,Eastern,1011
NL,Newfoundland and Labrador,1001285,Norman's Cove-Long Cove,20,25,30,35,30,20,20,30,30,45,55,65,75,65,65,30,15,10,5,0,0,670,339,Eastern,1011
NL,Newfoundland and Labrador,1001289,Chapel Arm,20,25,25,20,20,15,20,30,20,30,40,45,45,50,30,15,10,5,0,0,0,465,244,Eastern,1011
NL,Newfoundland and Labrador,1001293,"Division No. 1, Subd. Y",50,55,45,60,55,55,55,65,65,65,90,85,120,110,80,40,15,5,5,0,0,1120,857,Eastern,1011
NL,Newfoundland and Labrador,1001298,Whitbourne,30,55,50,55,40,35,20,40,55,90,60,70,65,80,60,35,20,15,0,0,0,875,527,Eastern,1011
NL,Newfoundland and Labrador,1001304,"Division No. 1, Subd. E",115,150,135,155,110,95,120,160,185,225,230,275,275,265,210,125,75,30,15,0,0,2950,1575,Eastern,1011
NL,Newfoundland and Labrador,1001308,Whiteway,20,10,10,15,25,20,5,15,15,25,35,25,40,35,20,20,15,10,5,0,0,365,165,Eastern,1011
NL,Newfoundland and Labrador,1001312,Heart's Delight-Islington,20,20,30,30,25,20,30,20,30,50,55,70,65,85,65,25,20,10,0,0,0,670,388,Eastern,1011
NL,Newfoundland and Labrador,1001316,Heart's Desire,10,10,10,10,0,10,10,5,15,20,20,25,25,20,15,5,0,5,0,0,0,215,124,Eastern,1011
NL,Newfoundland and Labrador,1001321,"Division No. 1, Subd. F",10,20,35,30,15,10,30,30,35,30,50,40,55,55,40,25,25,10,5,5,0,555,352,Eastern,1011
NL,Newfoundland and Labrador,1001325,Heart's Content,0,10,10,15,10,0,15,5,10,25,35,40,50,40,30,20,15,0,0,0,0,330,217,Eastern,1011
NL,Newfoundland and Labrador,1001328,New Perlican,5,5,5,5,5,10,0,5,0,15,20,25,30,25,10,10,5,0,0,0,0,180,163,Eastern,1011
NL,Newfoundland and Labrador,1001332,Winterton,5,10,20,20,15,5,10,15,25,35,40,30,40,50,45,35,30,10,0,0,0,440,277,Eastern,1011
NL,Newfoundland and Labrador,1001335,Hant's Harbour,5,10,10,10,10,15,10,10,15,25,25,35,45,35,25,25,15,5,5,0,0,335,210,Eastern,1011
