"CSDUID2016","HRUID2018","HR","Province"
1001131,1011,"Eastern","Newfoundland and Labrador"
1007047,1012,"Central","Newfoundland and Labrador"
1002033,1011,"Eastern","Newfoundland and Labrador"
1001352,1011,"Eastern","Newfoundland and Labrador"
1003010,1012,"Central","Newfoundland and Labrador"
1010801,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001181,1011,"Eastern","Newfoundland and Labrador"
1001113,1011,"Eastern","Newfoundland and Labrador"
1011020,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1007028,1011,"Eastern","Newfoundland and Labrador"
1009021,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1007024,1011,"Eastern","Newfoundland and Labrador"
1001519,1011,"Eastern","Newfoundland and Labrador"
1001494,1011,"Eastern","Newfoundland and Labrador"
1008099,1012,"Central","Newfoundland and Labrador"
1008059,1012,"Central","Newfoundland and Labrador"
1007051,1012,"Central","Newfoundland and Labrador"
1001507,1011,"Eastern","Newfoundland and Labrador"
1007048,1012,"Central","Newfoundland and Labrador"
1001304,1011,"Eastern","Newfoundland and Labrador"
1005010,1013,"Western","Newfoundland and Labrador"
1001124,1011,"Eastern","Newfoundland and Labrador"
1005012,1013,"Western","Newfoundland and Labrador"
1008038,1012,"Central","Newfoundland and Labrador"
1001155,1011,"Eastern","Newfoundland and Labrador"
1009037,1013,"Western","Newfoundland and Labrador"
1004019,1013,"Western","Newfoundland and Labrador"
1006009,1012,"Central","Newfoundland and Labrador"
1008036,1012,"Central","Newfoundland and Labrador"
1009028,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1008046,1012,"Central","Newfoundland and Labrador"
1007050,1012,"Central","Newfoundland and Labrador"
1006026,1012,"Central","Newfoundland and Labrador"
1006017,1012,"Central","Newfoundland and Labrador"
1001240,1011,"Eastern","Newfoundland and Labrador"
1008074,1012,"Central","Newfoundland and Labrador"
1001469,1011,"Eastern","Newfoundland and Labrador"
1007031,1011,"Eastern","Newfoundland and Labrador"
1005018,1013,"Western","Newfoundland and Labrador"
1001174,1011,"Eastern","Newfoundland and Labrador"
1001396,1011,"Eastern","Newfoundland and Labrador"
1009029,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1006019,1012,"Central","Newfoundland and Labrador"
1001517,1011,"Eastern","Newfoundland and Labrador"
1001339,1011,"Eastern","Newfoundland and Labrador"
1005008,1013,"Western","Newfoundland and Labrador"
1002005,1011,"Eastern","Newfoundland and Labrador"
1001421,1011,"Eastern","Newfoundland and Labrador"
1008058,1012,"Central","Newfoundland and Labrador"
1010034,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001375,1011,"Eastern","Newfoundland and Labrador"
1005004,1013,"Western","Newfoundland and Labrador"
1001485,1011,"Eastern","Newfoundland and Labrador"
1007013,1011,"Eastern","Newfoundland and Labrador"
1007009,1011,"Eastern","Newfoundland and Labrador"
1010025,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001270,1011,"Eastern","Newfoundland and Labrador"
1002022,1011,"Eastern","Newfoundland and Labrador"
1002023,1011,"Eastern","Newfoundland and Labrador"
1001347,1011,"Eastern","Newfoundland and Labrador"
1001321,1011,"Eastern","Newfoundland and Labrador"
1003031,1013,"Western","Newfoundland and Labrador"
1008006,1012,"Central","Newfoundland and Labrador"
1001259,1011,"Eastern","Newfoundland and Labrador"
1002048,1011,"Eastern","Newfoundland and Labrador"
1001504,1011,"Eastern","Newfoundland and Labrador"
1007016,1011,"Eastern","Newfoundland and Labrador"
1003045,1013,"Western","Newfoundland and Labrador"
1001551,1011,"Eastern","Newfoundland and Labrador"
1001426,1011,"Eastern","Newfoundland and Labrador"
1001409,1011,"Eastern","Newfoundland and Labrador"
1001379,1011,"Eastern","Newfoundland and Labrador"
1010029,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001509,1011,"Eastern","Newfoundland and Labrador"
1010008,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1005024,1013,"Western","Newfoundland and Labrador"
1008031,1012,"Central","Newfoundland and Labrador"
1008079,1012,"Central","Newfoundland and Labrador"
1001452,1011,"Eastern","Newfoundland and Labrador"
1001374,1011,"Eastern","Newfoundland and Labrador"
1001370,1011,"Eastern","Newfoundland and Labrador"
1007015,1011,"Eastern","Newfoundland and Labrador"
1007044,1012,"Central","Newfoundland and Labrador"
1002018,1011,"Eastern","Newfoundland and Labrador"
1008044,1012,"Central","Newfoundland and Labrador"
1007001,1011,"Eastern","Newfoundland and Labrador"
1009031,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1008008,1012,"Central","Newfoundland and Labrador"
1004006,1013,"Western","Newfoundland and Labrador"
1001415,1011,"Eastern","Newfoundland and Labrador"
1007038,1012,"Central","Newfoundland and Labrador"
1001429,1011,"Eastern","Newfoundland and Labrador"
1003014,1012,"Central","Newfoundland and Labrador"
1003019,1012,"Central","Newfoundland and Labrador"
1002024,1011,"Eastern","Newfoundland and Labrador"
1008064,1012,"Central","Newfoundland and Labrador"
1002012,1011,"Eastern","Newfoundland and Labrador"
1002008,1011,"Eastern","Newfoundland and Labrador"
1004020,1013,"Western","Newfoundland and Labrador"
1001335,1011,"Eastern","Newfoundland and Labrador"
1003028,1013,"Western","Newfoundland and Labrador"
1003020,1012,"Central","Newfoundland and Labrador"
1003801,1012,"Central","Newfoundland and Labrador"
1008037,1012,"Central","Newfoundland and Labrador"
1006022,1012,"Central","Newfoundland and Labrador"
1006014,1012,"Central","Newfoundland and Labrador"
1002001,1011,"Eastern","Newfoundland and Labrador"
1004016,1013,"Western","Newfoundland and Labrador"
1003018,1012,"Central","Newfoundland and Labrador"
1001228,1011,"Eastern","Newfoundland and Labrador"
1004042,1013,"Western","Newfoundland and Labrador"
1008035,1012,"Central","Newfoundland and Labrador"
1003024,1013,"Western","Newfoundland and Labrador"
1008040,1012,"Central","Newfoundland and Labrador"
1008039,1012,"Central","Newfoundland and Labrador"
1006029,1012,"Central","Newfoundland and Labrador"
1008033,1012,"Central","Newfoundland and Labrador"
1006003,1012,"Central","Newfoundland and Labrador"
1003032,1013,"Western","Newfoundland and Labrador"
1002019,1011,"Eastern","Newfoundland and Labrador"
1002016,1011,"Eastern","Newfoundland and Labrador"
1008032,1012,"Central","Newfoundland and Labrador"
1002036,1011,"Eastern","Newfoundland and Labrador"
1008043,1012,"Central","Newfoundland and Labrador"
1003034,1013,"Western","Newfoundland and Labrador"
1003002,1012,"Central","Newfoundland and Labrador"
1003011,1012,"Central","Newfoundland and Labrador"
1003009,1012,"Central","Newfoundland and Labrador"
1004001,1013,"Western","Newfoundland and Labrador"
1003008,1012,"Central","Newfoundland and Labrador"
1008060,1012,"Central","Newfoundland and Labrador"
1007045,1012,"Central","Newfoundland and Labrador"
1006001,1012,"Central","Newfoundland and Labrador"
1007049,1012,"Central","Newfoundland and Labrador"
1002037,1011,"Eastern","Newfoundland and Labrador"
1002009,1011,"Eastern","Newfoundland and Labrador"
1002002,1011,"Eastern","Newfoundland and Labrador"
1006031,1012,"Central","Newfoundland and Labrador"
1004013,1013,"Western","Newfoundland and Labrador"
1006015,1012,"Central","Newfoundland and Labrador"
1007067,1012,"Central","Newfoundland and Labrador"
1006011,1012,"Central","Newfoundland and Labrador"
1006028,1012,"Central","Newfoundland and Labrador"
1001464,1011,"Eastern","Newfoundland and Labrador"
1001472,1011,"Eastern","Newfoundland and Labrador"
1009004,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1009007,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001565,1011,"Eastern","Newfoundland and Labrador"
1001557,1011,"Eastern","Newfoundland and Labrador"
1005033,1013,"Western","Newfoundland and Labrador"
1008063,1012,"Central","Newfoundland and Labrador"
1005028,1013,"Western","Newfoundland and Labrador"
1005030,1013,"Western","Newfoundland and Labrador"
1005020,1013,"Western","Newfoundland and Labrador"
1001293,1011,"Eastern","Newfoundland and Labrador"
1009009,1013,"Western","Newfoundland and Labrador"
1009032,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001197,1011,"Eastern","Newfoundland and Labrador"
1001126,1011,"Eastern","Newfoundland and Labrador"
1001298,1011,"Eastern","Newfoundland and Labrador"
1005016,1013,"Western","Newfoundland and Labrador"
1007023,1011,"Eastern","Newfoundland and Labrador"
1001542,1011,"Eastern","Newfoundland and Labrador"
1007020,1011,"Eastern","Newfoundland and Labrador"
1004011,1013,"Western","Newfoundland and Labrador"
1001490,1011,"Eastern","Newfoundland and Labrador"
1001263,1011,"Eastern","Newfoundland and Labrador"
1001203,1011,"Eastern","Newfoundland and Labrador"
1001234,1011,"Eastern","Newfoundland and Labrador"
1004018,1013,"Western","Newfoundland and Labrador"
1008067,1012,"Central","Newfoundland and Labrador"
1007018,1011,"Eastern","Newfoundland and Labrador"
1001169,1011,"Eastern","Newfoundland and Labrador"
1001219,1011,"Eastern","Newfoundland and Labrador"
1010032,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010022,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1008061,1012,"Central","Newfoundland and Labrador"
1010020,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1009035,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001136,1011,"Eastern","Newfoundland and Labrador"
1005007,1013,"Western","Newfoundland and Labrador"
1008069,1012,"Central","Newfoundland and Labrador"
1008095,1012,"Central","Newfoundland and Labrador"
1009008,1014,"Labrador-Grenfell","Newfoundland and Labrador"
