province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital,notes
Saskatchewan,Central East,Alice Beach,none,51,,,,,,,,Commute_1 = commute within census subdivision (CSD) of residence
Saskatchewan,Central East,Annaheim,none,210,100,55,40,10,0,,,Commute_2 = commute to a different CSD within cesus division (CD) of residence
Saskatchewan,Central East,Arran,none,25,,,,,,,,Commute_3 = commute to a different CSD and SD within province or territory of residence
Saskatchewan,Central East,Atwater,none,30,,,,,,,,Commute_4 = commute to a different province or territory
Saskatchewan,Central East,Bangor,none,38,,,,,,,,
Saskatchewan,Central East,Bird's Point,moderate,112,40,0,45,0,0,,,
Saskatchewan,Central East,Bredenbury,strong,372,145,10,70,70,0,,,
Saskatchewan,Central East,Bruno,moderate,611,175,55,60,50,0,,,
Saskatchewan,Central East,Buchanan,weak,519,100,15,70,10,0,,,
Saskatchewan,Central East,Bulyea,none,113,20,10,8,0,0,,,
Saskatchewan,Central East,Calder,strong,460,75,0,55,10,0,,,
Saskatchewan,Far North West,Canoe Narrows,moderate,,,,,,,,,
Saskatchewan,Central East,Chamberlain,none,90,60,25,25,15,0,,,
Saskatchewan,Central East,Chorney Beach,none,24,,,,,,,,
Saskatchewan,Central East,Churchbridge,weak,1515,585,90,400,55,35,,,
Saskatchewan,Central East,Cote First Nation,weak,748,120,80,40,0,10,,,
Saskatchewan,Central East,Dafoe,none,15,,,,,,,,
Saskatchewan,Central East,Dilke,none,98,25,0,25,0,0,,,
Saskatchewan,Central East,Drake,none,197,60,20,35,10,0,,,
Saskatchewan,Central East,Dubuc,none,61,20,0,20,0,0,,,
Saskatchewan,Central East,Duff,none,30,,,,,,,,
Saskatchewan,Central East,Duval,none,83,25,10,0,25,0,,,
Saskatchewan,Central East,Ebenezer,ca (yorkton),185,70,0,65,0,0,,,
Saskatchewan,Central East,Elfros,none,441,120,0,100,25,0,,,
Saskatchewan,Central East,Endeavour,none,65,15,0,15,0,0,,,
Saskatchewan,Central East,Englefeld,none,285,115,35,30,50,0,,,
Saskatchewan,Central East,Esterhazy,weak,2502,1075,910,125,35,10,,,
Saskatchewan,Central East,Etters Beach,moderate,30,,,,,,,,
Saskatchewan,Central East,Fenwood,none,30,,,,,,,,
Saskatchewan,Central East,Foam Lake,moderate,1727,515,325,140,55,0,,,
Saskatchewan,Central East,Fosston,none,45,0,0,0,0,0,,,
Saskatchewan,Central East,Gerald,none,136,65,0,60,10,0,,,
Saskatchewan,Central East,Glen Harbour,none,67,35,0,35,0,0,,,
Saskatchewan,Central East,Goodeve,none,40,10,0,10,0,0,,,
Saskatchewan,Central East,Govan,none,194,80,35,25,20,0,,,
Saskatchewan,Central East,Grandview Beach,none,35,,,,,,,,
Saskatchewan,Central East,Grayson,moderate,723,230,20,195,20,0,,,
Saskatchewan,Central East,Holdfast,strong,247,70,35,25,10,0,,,
Saskatchewan,Central East,Hubbard,none,35,,,,,,,,
Saskatchewan,Central East,Humboldt,weak,6804,2735,1855,775,390,20,,,
Saskatchewan,Central East,Hyas,none,70,35,0,35,0,0,,,
Saskatchewan,Central East,Imperial,moderate,360,65,35,30,0,0,,,
Saskatchewan,Central East,Invermay,moderate,273,90,30,30,20,10,,,
Saskatchewan,Central East,Island View,none,74,,,,,,,,
Saskatchewan,Central East,Ituna,moderate,1075,245,115,95,40,0,,,
Saskatchewan,Central East,Jansen,none,96,30,0,15,10,0,,,
Saskatchewan,Central East,Kamsack,weak,1898,680,530,130,25,0,,,
Saskatchewan,Central East,Kelliher,none,217,90,55,25,10,0,,,
Saskatchewan,Central East,Kelvington,moderate,1232,375,230,125,30,0,,,
Saskatchewan,Central East,Killaly,none,65,10,0,10,0,0,,,
Saskatchewan,Central East,Lake Lenore,moderate,871,380,65,245,55,0,,,
Saskatchewan,Central East,Langenburg,weak,1722,680,290,335,35,25,,,
Saskatchewan,Central East,Lanigan,weak,1377,535,320,110,95,10,,1,
Saskatchewan,Central East,Lemberg,moderate,313,60,20,15,15,0,,,
Saskatchewan,Central East,Leross,none,46,,,,,,,,
Saskatchewan,Central East,LeRoy,weak,952,345,100,60,185,0,,,
Saskatchewan,Central East,Leslie Beach,none,10,,,,,,,,
Saskatchewan,Central East,Lestock,none,95,10,10,0,0,0,,,
Saskatchewan,Central East,Lintlaw,weak,172,40,0,20,20,10,,,
Saskatchewan,Central East,MacNutt,none,65,25,10,10,0,10,,,
Saskatchewan,Central East,Manitou Beach,moderate,314,130,45,75,10,0,,,
Saskatchewan,Central East,Margo,none,83,10,0,0,0,0,,,
Saskatchewan,Central East,Melville,moderate,4562,1700,1280,80,335,10,,,
Saskatchewan,Central East,Melville Beach,moderate,19,,,,,,,,
Saskatchewan,Central East,Middle Lake,moderate,241,85,50,35,0,0,,,
Saskatchewan,Central East,Muenster,weak,430,195,45,115,40,0,,,
