HA_code,province,HA,source,
1001,Newfoundland and Labrador,Eastern Regional Integrated Health Authority,all_cas.csv,
1002,Newfoundland and Labrador,Eastern Regional Integrated Health Authority,online,
1003,Newfoundland and Labrador,Western Regional Integrated Health authority,online,
1004,Newfoundland and Labrador,Western Regional Integrated Health authority,online,
1005,Newfoundland and Labrador,Western Regional Integrated Health authority,all_cas.csv,
1006,Newfoundland and Labrador,Central Regional Integrated Health Authority,all_cas.csv,
1007,Newfoundland and Labrador,Central Regional Integrated Health Authority,online,
1008,Newfoundland and Labrador,Central Regional Integrated Health Authority,online,
1009,Newfoundland and Labrador,Western Regional Integrated Health authority,online,
1010,Newfoundland and Labrador,Labrador-Grenfell Regional Integrated Health Authority,online,
1011,Newfoundland and Labrador,Labrador-Grenfell Regional Integrated Health Authority,online,
1101,Prince Edward Island,Prince Edward Island,online,
1102,Prince Edward Island,Prince Edward Island,all_cas.csv,
1103,Prince Edward Island,Prince Edward Island,all_cas.csv,
1201,Nova Scotia,Zone 1 – Western,online,
1202,Nova Scotia,Zone 1 – Western,online,
1203,Nova Scotia,Zone 1 – Western,online,
1204,Nova Scotia,Zone 1 – Western,online,
1205,Nova Scotia,Zone 1 – Western,online,
1206,Nova Scotia,Zone 1 – Western,online,
1207,Nova Scotia,Zone 1  - Western,all_cas.csv,
1208,Nova Scotia,Zone 4 – Central,online,
1209,Nova Scotia,Zone 4 – Central,all_cmas.csv,
1210,Nova Scotia,Zone 2 – Northern,all_cas.csv,
1211,Nova Scotia,Zone 2 – Northern,online,
1212,Nova Scotia,Zone 2 – Northern,all_cas.csv,
1213,Nova Scotia,Zone 3 – Eastern,online,
1214,Nova Scotia,Zone 3 – Eastern,online,
1215,Nova Scotia,Zone 3 – Eastern,online,
1216,Nova Scotia,Zone 3 – Eastern,online,
1217,Nova Scotia,Zone 3 – Eastern,all_cas.csv,
1218,Nova Scotia,Zone 3 – Eastern,online,
1302,New Brunswick,Zone 2 (Saint John area),online,
1303,New Brunswick,Zone 3 (Fredericton area),online,
1304,New Brunswick,Zone 3 (Fredericton area),online,
1305,New Brunswick,Zone 2 (Saint John area),online,
1306,New Brunswick,Zone 1 (Moncton area),all_cmas.csv,
1307,New Brunswick,Zone 1 (Moncton area),all_cmas.csv,
