HA_code,province,HA,notes
1001,Newfoundland and Labrador,Eastern,
1002,Newfoundland and Labrador,Eastern,
1003,Newfoundland and Labrador,Western,
1004,Newfoundland and Labrador,Western,
1005,Newfoundland and Labrador,Western,
1006,Newfoundland and Labrador,Central,
1007,Newfoundland and Labrador,Central,
1008,Newfoundland and Labrador,Central,
1009,Newfoundland and Labrador,Western,
1010,Newfoundland and Labrador,Labrador-Grenfell,
1011,Newfoundland and Labrador,Labrador-Grenfell,
1101,Prince Edward Island,Prince Edward Island,
1102,Prince Edward Island,Prince Edward Island,
1103,Prince Edward Island,Prince Edward Island,
1201,Nova Scotia,Zone 1 - Western,
1202,Nova Scotia,Zone 1 - Western,
1203,Nova Scotia,Zone 1 - Western,
1204,Nova Scotia,Zone 1 - Western,
1205,Nova Scotia,Zone 1 - Western,
1206,Nova Scotia,Zone 1 - Western,
1207,Nova Scotia,Zone 1 - Western,
1208,Nova Scotia,Zone 4 - Central,
1209,Nova Scotia,Zone 4 - Central,
1210,Nova Scotia,Zone 2 - Northern,
1211,Nova Scotia,Zone 2 - Northern,
1212,Nova Scotia,Zone 2 - Northern,
1213,Nova Scotia,Zone 3 - Eastern,
1214,Nova Scotia,Zone 3 - Eastern,
1215,Nova Scotia,Zone 3 - Eastern,
1216,Nova Scotia,Zone 3 - Eastern,
1217,Nova Scotia,Zone 3 - Eastern,
1218,Nova Scotia,Zone 3 - Eastern,
1301,New Brunswick,Zone 2 (Saint John area),
1302,New Brunswick,Zone 2 (Saint John area),
1303,New Brunswick,Zone 3 (Fredericton area),
1304,New Brunswick,Zone 3 (Fredericton area),
1305,New Brunswick,Zone 2 (Saint John area),
1306,New Brunswick,Zone 1 (Moncton area),
1307,New Brunswick,Zone 1 (Moncton area),
1308,New Brunswick,Zone 1 (Moncton area),
1309,New Brunswick,Zone 7 (Miramichi area),
1310,New Brunswick,Zone 3 (Fredericton area),
1311,New Brunswick,Zone 3 (Fredericton area),
1312,New Brunswick,Zone 3 (Fredericton area),
1313,New Brunswick,Zone 4 (Edmundston area),
1314,New Brunswick,Zone 5 (Campbellton area),
1315,New Brunswick,Zone 6 (Bathurst area),
2360,Quebec,Lanaudiere,
2401,Quebec,Gaspesie-Iles-de-la-Madeleine,
2402,Quebec,Gaspesie-Iles-de-la-Madeleine,
2403,Quebec,Gaspesie-Iles-de-la-Madeleine,
2404,Quebec,Gaspesie-Iles-de-la-Madeleine,
2405,Quebec,Gaspesie-Iles-de-la-Madeleine,
2406,Quebec,Gaspesie-Iles-de-la-Madeleine,
2407,Quebec,Bas-Saint-Laurent,
2408,Quebec,Bas-Saint-Laurent,
2409,Quebec,Bas-Saint-Laurent,
2410,Quebec,Bas-Saint-Laurent,
2411,Quebec,Bas-Saint-Laurent,
2412,Quebec,Bas-Saint-Laurent,
2413,Quebec,Bas-Saint-Laurent,
2414,Quebec,Bas-Saint-Laurent,
2415,Quebec,Capitale-Nationale,
2416,Quebec,Capitale-Nationale,
2417,Quebec,Chaudiere-Appalaches,
2418,Quebec,Chaudiere-Appalaches,
