index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,geometry
1000,Kimbelee Place,"",Nursing and residential care facilities,Province of British Columbia,"",12935,96 ave,V3V 7K6,surrey,British Columbia,12935 96th ave surrey bc v3v 7k6,Surrey,5915004,59,-122.864118|49.177418
1001,Kimberley Special Care Home,"",Nursing and residential care facilities,Province of British Columbia,"",386,2 ave,V1A 2Z6,kimberley,British Columbia,386 2 ave kimberley bc v1a 2z6,Kimberley,5901028,59,-115.9896466|49.6899979
1003,King Edward House,"",Nursing and residential care facilities,Province of British Columbia,"",820,e king edward ave,V5V 2E4,vancouver,British Columbia,820 e king edward ave vancouver bc v5v 2e4,Vancouver,5915022,59,-123.0870448|49.2483529
1004,Kingfisher Place,"",Nursing and residential care facilities,Province of British Columbia,"",4328,crystal drive,V1T 8V5,vernon,British Columbia,4328 crystal drive vernon bc v1t 8v5,Vernon,5937014,59,-119.2445371|50.2761527
1005,Kinghaven Treatment Centre,"",Nursing and residential care facilities,Province of British Columbia,"",31250,king rd,V2T 6C2,abbotsford,British Columbia,31250 king rd abbotsford bc v2t 6c2,Abbotsford,5909052,59,-122.358792|49.0307485
1006,Kings House,"",Nursing and residential care facilities,Province of British Columbia,"",8512,164 st,V4N 1E5,surrey,British Columbia,8512 164th st surrey bc v4n 1e5,Surrey,5915004,59,-122.767254|49.157599
1007,Kinsmen Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",9650,137a st,V3T 4H9,surrey,British Columbia,9650 137a st surrey bc v3t 4h9,Surrey,5915004,59,-122.8417995|49.1777346
1009,Kinvillage,"",Nursing and residential care facilities,Province of British Columbia,"",5410,10 ave,V4M 3X8,delta,British Columbia,5410 10th ave delta bc v4m 3x8,Delta,5915011,59,-123.073648|49.0214852
1013,Kiwanis Care Centre,"",Nursing and residential care facilities,Province of British Columbia,"",35,clute st,V3L 1Z5,new westminster,British Columbia,35 clute st new westminster bc v3l 1z5,New Westminster,5915029,59,-122.9150878|49.2232118
1017,Kiwanis Village Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",1221,kiwanis cres,V9S 5Y1,nanaimo,British Columbia,1221 kiwanis cres nanaimo bc v9s 5y1,Nanaimo,5921007,59,-123.96893|49.186109
1018,Knutsford Group Home,"",Nursing and residential care facilities,Province of British Columbia,"",3161,merritt princeton highway 5a,V0E 2A0,knutsford,British Columbia,3161 merritt princeton highway 5a knutsford bc v0e 2a0,Thompson-Nicola L (Grasslands),5933060,59,-120.3104439|50.603467
1021,Kootenay Columbia House,"",Nursing and residential care facilities,Province of British Columbia,"",114,10 ave,V1N 1Y4,castlegar,British Columbia,114 10 ave castlegar bc v1n 1y4,Castlegar,5903045,59,-117.6630835|49.3279645
1024,Kootenay Street Village,"",Nursing and residential care facilities,Province of British Columbia,"",620,kootenay st n,V1C 3T9,cranbrook,British Columbia,620 kootenay st n cranbrook bc v1c 3t9,Cranbrook,5901022,59,-115.758538|49.5183259
1025,Kopernik Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",3150,rosemont dr,V5S 2C9,vancouver,British Columbia,3150 rosemont dr vancouver bc v5s 2c9,Vancouver,5915022,59,-123.039|49.21522
1027,LA ROSA DE MATSQUI,"",Nursing and residential care facilities,Province of British Columbia,"",28711,huntingdon rd,V4X 1A8,abbotsford,British Columbia,28711 huntingdon rd abbotsford bc v4x 1a8,Abbotsford,5909052,59,-122.428874|49.017373
1028,Ladner 1,"",Nursing and residential care facilities,Province of British Columbia,"",5281,westminster ave,V4K 2J4,delta,British Columbia,5281 westminster ave delta bc v4k 2j4,Delta,5915011,59,-123.0760699|49.099275
103,Dr. Cooke Extended Care Centre,"",Nursing and residential care facilities,Saskatchewan Health Authorities,"",3915,56 avenue,T9V 1N9,lloydminster,Alberta,"3915 – 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,-110.019164|53.273049
1032,Lake Country Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",10163,konschuh road,V4V 2M2,lake country,British Columbia,10163 konschuh road lake country bc v4v 2m2,Lake Country,5935016,59,-119.3984578|50.0291435
1035,Lakes Road Home,"",Nursing and residential care facilities,Province of British Columbia,"",6284,lakes rd,V9L 4S6,duncan,British Columbia,6284 lakes rd duncan bc v9l 4s6,North Cowichan,5919008,59,-123.69182|48.798968
1037,Lakeside House,"",Nursing and residential care facilities,Province of British Columbia,"",3597,gladstone st,V5N 4Y8,vancouver,British Columbia,3597 gladstone st vancouver bc v5n 4y8,Vancouver,5915022,59,-123.0604877|49.250461
1038,Lakeview Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",2337,butt road,V4T 3L3,west kelowna,British Columbia,2337 butt road west kelowna bc v4t 3l3,Tsinstikeptum  9,5935802,59,-119.6237769|49.8370173
