"csduid2016","region","province","HR","class","index_of_remoteness","population_density","area_sq_km","population","dwellings","households","cpls_w_0_ch","cpls_w_children","cpls_w_1_ch","cpls_w_2_ch","cpls_w_3_or_more_ch","sgls_w_ch","sgls_w_1_ch","sgls_w_2_ch","sgls_w_3_or_more_ch","not_in_families","commute_wi_csd","commute_wi_cd_not_csd","commute_wi_prov_not_cd","commute_extra_prov","HRUID2018"
1001101,"Division No.  1, Subd. V","Newfoundland and Labrador","Eastern","NA","0.3768",0,946.91662,36,140,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011
1001105,"Portugal Cove South","Newfoundland and Labrador","Eastern","NA","0.3855",131.5,1.17174,150,91,69,25,20,10,5,0,5,0,0,0,20,0,30,0,0,1011
1001113,"Trepassey","Newfoundland and Labrador","Eastern","Moderate","0.39",8.6,57.70389,481,356,245,105,40,25,10,5,20,15,5,0,90,35,40,10,10,1011
1001120,"St. Shott's","Newfoundland and Labrador","Eastern","NA","0.3901",58.4,1.12978,66,52,38,20,0,0,0,0,0,0,0,0,15,10,20,0,0,1011
1001124,"Division No. 1, Subd. U","Newfoundland and Labrador","Eastern","Strong","0.3453",2.2,877.83311,1625,1630,697,210,200,105,80,20,85,50,25,15,260,55,465,0,10,1011
1001126,"Cape Broyle","Newfoundland and Labrador","Eastern","Moderate","0.335",48.6,10.73737,489,291,211,60,60,25,30,10,25,15,5,0,85,75,95,10,0,1011
1001131,"Renews-Cappahayden","Newfoundland and Labrador","Eastern","Strong","0.3668",2.4,134.90117,301,346,148,70,30,15,10,0,10,10,0,0,50,25,55,0,0,1011
1001136,"Fermeuse","Newfoundland and Labrador","Eastern","Strong","0.3593",8.4,41.34959,325,178,134,45,25,5,10,5,25,20,0,0,55,10,35,0,0,1011
1001140,"Port Kirwan","Newfoundland and Labrador","Eastern","NA","0.3668",5.7,10.06105,52,64,27,15,0,0,0,0,0,0,0,0,10,0,15,0,0,1011
1001144,"Aquaforte","Newfoundland and Labrador","Eastern","NA","0.354",11.7,7.21185,80,71,41,20,5,0,0,0,5,0,0,0,15,0,25,0,0,1011
1001149,"Ferryland","Newfoundland and Labrador","Eastern","Moderate","0.3498",30.4,14.24814,414,254,190,65,40,25,10,5,25,20,5,5,80,40,60,0,10,1011
1001155,"Division No. 1, Subd. W","Newfoundland and Labrador","Eastern","Strong","0.3521",0.5,949.77364,435,893,214,100,35,25,15,5,10,5,0,0,80,0,70,0,0,1011
1001169,"St. Vincent's-St. Stephen's-Peter's River","Newfoundland and Labrador","Eastern","Strong","0.3707",3.6,89.44276,313,221,156,65,20,10,5,5,25,15,0,0,60,0,20,0,0,1011
1001174,"Gaskiers-Point La Haye","Newfoundland and Labrador","Eastern","Moderate","0.3642",9.7,24.61394,232,145,118,35,25,20,10,0,10,5,0,0,50,0,25,0,15,1011
1001178,"St. Mary's","Newfoundland and Labrador","Eastern","Moderate","0.3604",9.4,38.53811,347,216,170,70,35,15,5,10,10,10,0,0,65,45,45,10,0,1011
1001181,"Riverhead","Newfoundland and Labrador","Eastern","NA","0.3564",1.8,107.1546,185,153,83,35,20,10,5,0,5,5,0,0,30,0,15,10,0,1011
