province,HA,CA,CSD,
,,,,
Quebec,Region du Saguenay—Lac-Saint-Jean,410 - Alma,2493042 - Alma,
Quebec,Region du Saguenay—Lac-Saint-Jean,410 - Alma,2493045 - Saint-Nazaire,
,,,,
Ontario,Renfrew County and District Health Unit,507 - Arnprior,3547002 - Arnprior,
Ontario,Renfrew County and District Health Unit,507 - Arnprior,3547003 - McNab/Braeside,
,,,,
Quebec,Region de la Cote-Nord,406 - Baie-Comeau,2496020 - Baie-Comeau,
Quebec,Region de la Cote-Nord,406 - Baie-Comeau,2496035 - Chute-aux-Outardes,
Quebec,Region de la Cote-Nord,406 - Baie-Comeau,2496030 - Pointe-aux-Outardes,
Quebec,Region de la Cote-Nord,406 - Baie-Comeau,2496025 - Pointe-Lebel,
Quebec,Region de la Cote-Nord,406 - Baie-Comeau,2496040 - Ragueneau,
,,,,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315008 - Bathurst,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315011 - Bathurst,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315012 - Beresford,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315015 - Beresford,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315037 - Nigadoo,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315010 - Pabineau 11,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315014 - Petit-Rocher,
British Columbia,Zone 6 (Bathurst area),328 - Bathurst,1315013 - Pointe-Verte,
,,,,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,005 - Bay Roberts,1001409 - Bay Roberts,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,005 - Bay Roberts,1001394 - Bishop's Cove,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,005 - Bay Roberts,1001426 - North River,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,005 - Bay Roberts,1001396 - Spaniard's Bay,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,005 - Bay Roberts,1001385 - Upper Island Cove,
,,,,
Manitoba,Prairie Mountain Health,610 - Brandon,4607062 - Brandon,
Manitoba,Prairie Mountain Health,610 - Brandon,4607060 - Cornwallis,
Manitoba,Prairie Mountain Health,610 - Brandon,4607071 - Elton,
Manitoba,Prairie Mountain Health,610 - Brandon,4607046 - Oakland-Wawanesa,
Manitoba,Prairie Mountain Health,610 - Brandon,4607057 - Whitehead,
,,,,
Ontario,"Leeds, Grenville and Lanark District Health Unit",512 - Brockville,3507006 - Augusta,
Ontario,"Leeds, Grenville and Lanark District Health Unit",512 - Brockville,3507015 - Brockville,
Ontario,"Leeds, Grenville and Lanark District Health Unit",512 - Brockville,3507014 - Elizabethtown-Kitley,
,,,,
Alberta,South Zone,806 - Brooks,4802039 - Bassano,
Alberta,South Zone,806 - Brooks,4802034 - Brooks,
Alberta,South Zone,806 - Brooks,4802036 - Duchess,
Alberta,South Zone,806 - Brooks,4802031 - Newell County,
Alberta,South Zone,806 - Brooks,4802038 - Rosemary,
,,,,
British Columbia,North Vancouver Island Health Service Delivery Area,944 - Campbell River,5924034 - Campbell River,
British Columbia,North Vancouver Island Health Service Delivery Area,944 - Campbell River,5924804 - Campbell River 11,
British Columbia,North Vancouver Island Health Service Delivery Area,944 - Campbell River,5924840 - Homalco 9,
British Columbia,North Vancouver Island Health Service Delivery Area,944 - Campbell River,5924812 - Quinsam 12,
British Columbia,North Vancouver Island Health Service Delivery Area,944 - Campbell River,5924042 - Strathcona D (Oyster Bay - Buttle Lake),
,,,,
New Brunswick,Zone 5 (Campbellton area),330 - Campbellton,1314012 - Addington,
New Brunswick,Zone 5 (Campbellton area),330 - Campbellton,1314013 - Atholville,
New Brunswick,Zone 5 (Campbellton area),330 - Campbellton,1314014 - Campbellton,
New Brunswick,Zone 5 (Campbellton area),330 - Campbellton,1314008 - Dalhousie,
New Brunswick,Zone 5 (Campbellton area),330 - Campbellton,1314015 - Tide Head,
,,,,
Quebec,Region de la Gaspesie—Iles-de-la-Madeleine,330 - Campbellton,1314014 - Campbellton,
Quebec,Region de la Gaspesie—Iles-de-la-Madeleine,330 - Campbellton,2406804 - Listuguj,
Quebec,Region de la Gaspesie—Iles-de-la-Madeleine,330 - Campbellton,2406030 - Pointe-à-la-Croix,
,,,,
,,,,
Alberta,Central Zone,833 - Camrose,4810011 - Camrose,
,,,,
Alberta,Calgary Zone,828 - Canmore,4815023 - Canmore,
,,,,
Nova Scotia,Zone 3 – Eastern,225 - Cape Breton,1217030 - Cape Breton,
Nova Scotia,Zone 3 – Eastern,225 - Cape Breton,1217020 - Eskasoni 3,
Nova Scotia,Zone 3 – Eastern,225 - Cape Breton,1217008 - Membertou 28B,
,,,,
Ontario,"Leeds, Grenville and Lanark District Health Unit",509 - Carleton Place,3509024 - Beckwith,
Ontario,"Leeds, Grenville and Lanark District Health Unit",509 - Carleton Place,3509028 - Carleton Place,
Ontario,"Leeds, Grenville and Lanark District Health Unit",509 - Carleton Place,3509030 - Mississippi Mills,
,,,,
Ontario,Wellington-Dufferin-Guelph Health Unit,531 - Centre Wellington,3523025 - Centre Wellington,
,,,,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102048 - Brackley,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102075 - Charlottetown,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102037 - Clyde River,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102085 - Cornwall,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102026 - Lot 31,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102049 - Lot 33,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102052 - Lot 34,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102054 - Lot 35,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102056 - Lot 36,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102058 - Lot 37,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102014 - Lot 48,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102012 - Lot 49,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102028 - Lot 65,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102033 - Meadowbank,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102040 - Miltonvale Park,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102059 - Mount Stewart,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102030 - Rocky Point 3,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102057 - Scotchfort 4,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102080 - Stratford,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102050 - Union Road,
