province,HA,CMA,CSD,
,,,,
British Columbia,Fraser East Health Service Delivery Area,932 - Abbotsford--Mission,5909052 - Abbotsford,
British Columbia,Fraser East Health Service Delivery Area,932 - Abbotsford--Mission,5909878 - Matsqui Main 2,
British Columbia,Fraser East Health Service Delivery Area,932 - Abbotsford--Mission,5909056 - Mission,
British Columbia,Fraser East Health Service Delivery Area,932 - Abbotsford--Mission,5909877 - Upper Sumas 6,
,,,,
British Columbia,Fraser North Health Service Delivery Area,932 - Abbotsford--Mission,5909056 - Mission,
,,,,
Ontario,Simcoe Muskoka District Health Unit,568 - Barrie,3543042 - Barrie,
Ontario,Simcoe Muskoka District Health Unit,568 - Barrie,3543017 - Innisfil,
Ontario,Simcoe Muskoka District Health Unit,568 - Barrie,3543009 - Springwater,
,,,,
Ontario,Hastings and Prince Edward Counties Health Unit,522 - Belleville,3512005 - Belleville,
Ontario,Hastings and Prince Edward Counties Health Unit,522 - Belleville,3512015 - Quinte West,
Ontario,Hastings and Prince Edward Counties Health Unit,522 - Belleville,3512020 - Stirling-Rawdon,
Ontario,Hastings and Prince Edward Counties Health Unit,522 - Belleville,3512001 - Tyendinaga,
,,,,
Ontario,Brant County Health Area,543 - Brantford,3529005 - Brant,
Ontario,Brant County Health Area,543 - Brantford,3529006 - Brantford,
Ontario,Brant County Health Area,543 - Brantford,3529020 - Six Nations (Part) 40,
,,,,
Alberta,Calgary Zone,825 - Calgary,4806021 - Airdrie,
Alberta,Calgary Zone,825 - Calgary,4806024 - Beiseker,
Alberta,Calgary Zone,825 - Calgary,4806016 - Calgary,
Alberta,Calgary Zone,825 - Calgary,4806017 - Chestermere,
Alberta,Calgary Zone,825 - Calgary,4806019 - Cochrane,
Alberta,Calgary Zone,825 - Calgary,4806026 - Crossfield,
Alberta,Calgary Zone,825 - Calgary,4806022 - Irricana,
Alberta,Calgary Zone,825 - Calgary,4806014 - Rocky View County,
Alberta,Calgary Zone,825 - Calgary,4806804 - Tsuu T'ina Nation 145 (Sarcee 145),
,,,,
Alberta,Edmonton Zone,835 - Edmonton,4811805 - Alexander 134,
Alberta,Edmonton Zone,835 - Edmonton,4811013 - Beaumont,
Alberta,Edmonton Zone,835 - Edmonton,4811039 - Betula Beach,
Alberta,Edmonton Zone,835 - Edmonton,4811066 - Bon Accord,
Alberta,Edmonton Zone,835 - Edmonton,4811019 - Calmar,
Alberta,Edmonton Zone,835 - Edmonton,4811018 - Devon,
Alberta,Edmonton Zone,835 - Edmonton,4811061 - Edmonton,
Alberta,Edmonton Zone,835 - Edmonton,4811056 - Fort Saskatchewan,
Alberta,Edmonton Zone,835 - Edmonton,4811064 - Gibbons,
Alberta,Edmonton Zone,835 - Edmonton,4811023 - Golden Days,
Alberta,Edmonton Zone,835 - Edmonton,4811022 - Itaska Beach,
Alberta,Edmonton Zone,835 - Edmonton,4811044 - Kapasiwin,
Alberta,Edmonton Zone,835 - Edmonton,4811042 - Lakeview,
