entry.id,jurisdiction,date.announced,date.implemented,category,type,primary.source.(news.release.or.specific.resource),secondary.source,action,level,indigenous.population.group,who,what,effective.until
SK157,Saskatchewan,18491,18513,closures/openings,education,https://www.saskatchewan.ca/government/news-and-media/2020/august/17/safe-schools-plan-more-resources,Not applicable,Easing,Provincial/territorial,FALSE,government of saskatchewan,opened public schools for the first day of classes,19023
SK096,Saskatchewan,18403,18421,closures/openings,daycares,https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,Not applicable,Easing,Provincial/territorial,FALSE,government of saskatchewan,"permitted all child care centres to open, and increased capacity limit to 15 children per room",19023
SK026,Saskatchewan,18339,18344,distancing,work from home,https://www.saskatchewan.ca/government/news-and-media/2020/march/18/covid-19-state-of-emergency,http://www.worksafesask.ca/covid-19/what-employers-should-do/?doing_wp_cron=1592485511.7249259948730468750000,Tightening,Provincial/territorial,FALSE,"government of saskatchewan, chief medical health officer; work safe saskatchewan","announced that all non-essential employees in government of saskatchewan ministries, agencies and crown corporations will be part of a phased-in work-from-home policy. this requires any employee able to work from home to do so immediately. all non-government workers are encouraged to work from home where possible.",19023
SK024,Saskatchewan,,18341,closures/openings,daycares,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/information-for-health-care-providers/child-care-for-health-care-provider-families,Not applicable,Tightening,Provincial/territorial,FALSE,government of saskatchewan,child care centres co-located in schools will remain operational and open spaces exclusively to workers who are associated with the pandemic responses who need child care during the covid-19 pandemic.,19023
SK021,Saskatchewan,18337,18341,closures/openings,education,https://www.saskatchewan.ca/government/news-and-media/2020/march/16/class-suspensions,Not applicable,Tightening,Provincial/territorial,FALSE,government of saskatchewan,"closure of elementary, middle and high schools; suspension of classes",19023
QC775,Quebec,18758,18764,closures/openings,education,https://www.msss.gouv.qc.ca/ministere/salle-de-presse/communique-2849/,Not applicable,Easing,Regional,FALSE,minister of health and social services,"announced that high school students for the region of chaudière-appalaches (mrc des etchemins, beauce-sartigan and robert-cliche) can return to school; students in secondary 3, 4 and 5 can attend school every other day in combination with online learning",19023
QC735,Quebec,18717,18718,closures/openings,education,https://www.newswire.ca/fr/news-releases/pandemie-de-la-covid-19-retour-en-zone-rouge-et-mesures-speciales-d-urgence-pour-freiner-la-propagation-dans-certaines-regions-du-quebec-817664209.html,Not applicable,Tightening,Regional,FALSE,minister of health and social services,"announced that the regions of the metropolitan community of quebec (including lévis), the city of gatineau and the mrc des collines-de-l'outaouais will have their primary and secondary schools closed and moved to online learning",19023
QC641,Quebec,18633,18645,closures/openings,education,https://www.newswire.ca/fr/news-releases/pandemie-de-la-covid-19-le-premier-ministre-francois-legault-annonce-de-nouvelles-mesures-sanitaires-pour-controler-la-deuxieme-vague-dont-la-mise-en-place-d-un-couvre-feu-850298639.html,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/confinement-in-quebec/ ,Easing/tightening,Provincial/territorial,FALSE,office of the premier,"announced that for all regions of quebec, with the exception of nunavik and terres-cries-de-la-baie-james, secondary schools will reopen with reinforced measures including the distribution of 2 procedural masks per day per student and per teacher; mandated masks in class without exceptions",19023
QC579,Quebec,18585,18613,closures/openings,education,https://www.msss.gouv.qc.ca/ministere/salle-de-presse/communique-2454/,Not applicable,Tightening,Provincial/territorial,FALSE,ministry of health and social services,closed secondary schools and mandated distance learning according to the established school calendar,18637
QC351,Quebec,18500,18500,closures/openings,education,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/sante-services-sociaux/publications-adm/lois-reglements/decret-913-2020-anglais.pdf?1598531589,Not applicable,Easing,Provincial/territorial,FALSE,minister of health and social services,"announced that students may remove masks in university facilities, colleges and professional schools when a distance of 1.5 metres is maintained",19023
QC138,Quebec,18379,18393,closures/openings,daycares,http://www.education.gouv.qc.ca/salle-de-presse/communiques-de-presse/detail/article/pandemie-de-la-covid-19-les-etablissements-scolaires-et-les-services-de-garde-rouvriront/,Not applicable,Easing,Regional,FALSE,office of the premier,"announced that daycares will begin reopening on may 11 outside of montréal and on may 19 in montréal (subsequently postponed). high schools, colleges and universities will not reopen until september.",19023
QC046,Quebec,18337,18337,distancing,work from home,https://www.newswire.ca/fr/news-releases/pandemie-de-covid-19-le-gouvernement-du-quebec-mobilise-plus-que-jamais-assure-francois-legault-848060500.html,Not applicable,Tightening,Provincial/territorial,FALSE,office of the premier,"encouraged employers to be flexible, where possible, to let their employees telecommute from home",19023
PE213,Prince Edward Island,18689,18690,closures/openings,education,https://www.princeedwardisland.ca/en/news/pei-move-out-modified-red-level-phase-midnight-one-new-case-covid-19,Not applicable,Easing,Provincial/territorial,FALSE,"government of prince edward island, chief public health officer",resumed full-time classroom learning for k–12 with public health measures in place,19023
PE146,Prince Edward Island,18502,18513,closures/openings,education,https://www.princeedwardisland.ca/en/news/schools-set-welcome-students-updated-back-school-plan,https://www.cbc.ca/news/canada/prince-edward-island/pei-18-psb-schools-stagger-first-day-1.5709210,Easing,Provincial/territorial,FALSE,department of health and wellness,began opening public schools for the first day of classes; some schools delayed opening until september 9 to stagger orientation and the first day of class,19023
PE119,Prince Edward Island,18478,18506,closures/openings,daycares,https://www.princeedwardisland.ca/en/news/child-care-centres-will-begin-operating-full-capacity,Not applicable,Easing,Provincial/territorial,FALSE,government of prince edward island,permitted all child care centres to operate at full capacity,19023
PE020,Prince Edward Island,18340,18340,distancing,work from home,https://www.princeedwardisland.ca/en/information/health-and-wellness/employers-covid-19-frequently-asked-questions,Not applicable,Not applicable,Provincial/territorial,FALSE,government of prince edward island,"encouraging businesses to have a plan for supporting their employees who may become ill and quarantined. also, employers should look for work-from-home options.",19023
PE012,Prince Edward Island,18336,18338,closures/openings,daycares,https://www.princeedwardisland.ca/en/news/province-announces-covid-19-related-closures,Not applicable,Tightening,Provincial/territorial,FALSE,premier,announced that licensed daycares would be closed for an indefinite period,19023
ON660,Ontario,18729,18736,closures/openings,education,https://news.ontario.ca/en/release/61106/ontario-moves-schools-to-remote-learning-following-spring-break,Not applicable,Tightening,Provincial/territorial,FALSE,"government of ontario, chief medical officer of health",moved all publicly funded and private elementary and secondary schools to teacher-led remote learning,19023
ON474,Ontario,18649,18652,closures/openings,education,https://news.ontario.ca/en/statement/60033/over-100000-ontario-students-return-to-class-beginning-next-week,Not applicable,Easing,Regional,FALSE,"minister of education, chief medical officer of health","permitted elementary and secondary schools in 7 regions to resume in-person learning with targeted asymptomatic testing, enhanced screening and mandatory masking for students in grades 1 to 3 (grey bruce health unit, haliburton, kawartha, pine ridge district health unit, hastings and prince edward counties health unit, kingston, frontenac and lennox & addington health unit, leeds, grenville and lanark district health unit, peterborough public health, renfrew county and district health unit)",19023
ON434,Ontario,18617,18631,closures/openings,education,https://news.ontario.ca/en/release/59790/ontario-announces-provincewide-shutdown-to-stop-spread-of-covid-19-and-save-lives,Not applicable,Tightening,Regional,FALSE,office of the premier,moved publicly funded and private secondary schools in the 27 public health unit regions not noted in on432 to teacher-led remote learning,18652
ON249,Ontario,18513,18513,closures/openings,education,https://news.ontario.ca/en/release/58295/ontario-takes-extraordinary-steps-to-reopen-schools-safely,https://www.ontario.ca/page/guide-reopening-ontarios-schools,Easing,Provincial/territorial,FALSE,office of the premier,"opened most public schools. no limits on class sizes for k-8 students, who will attend school 5 days per week in class cohorts, with 300 minutes of instruction per day. secondary schools will open with blended model with class cohorts of approximately 15 students and in-person attendance for at least 50% of instructional days. students in k-3 are encouraged, but not required, to wear non-medical or cloth masks. students in grades 4 to 12 must wear non-medical or cloth masks indoors in school, including in hallways. some school boards may have additional requirements for students in these grades. all staff in schools must wear masks, with reasonable exceptions for medical conditions.",19023
ON009,Ontario,18333,18335,closures/openings,education,https://news.ontario.ca/opo/en/2020/03/title.html?utm_source=ondemand&utm_medium=email&utm_campaign=o ,Not applicable,Tightening,Provincial/territorial,FALSE,ministry of education,closure of all publicly funded schools in ontario for 2 weeks following march break,18358
NU347,Nunavut,18785,18781,closures/openings,daycares,https://www.gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-june-7-2021,Not applicable,Easing,Municipal,TRUE,department of education services,"for iqaluit, permitted child care facilities to open",19023
NU262,Nunavut,18732,18732,closures/openings,daycares,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-april-15-2021,Not applicable,Tightening,Municipal,TRUE,"government of nunavut, department of education services","for iqaluit, all child care facilities closed",19023
NU249,Nunavut,18732,18732,distancing,work from home,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-april-15-2021,Not applicable,Tightening,Municipal,TRUE,"government of nunavut, chief public health officer","for iqaluit, all non-essential government employees are to work from home",19023
NU223,Nunavut,18663,18663,closures/openings,daycares,https://www.gov.nu.ca/sites/default/files/public_health_measures_for_kitikmeot_baffin_remaining_kivalliq_feb_5_eng.pdf,Not applicable,Easing,Regional,TRUE,department of health,"permitted child care facilities in baffin, kitikmeot, chesterfield inlet, baker lake, coral harbour, naujaat, rankin inlet and whale cove to open with enhanced cleaning protocols",19023
NU211,Nunavut,18652,18652,closures/openings,daycares,https://www.gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-january-25-2021,https://www.gov.nu.ca/sites/default/files/public_health_measures_for_arviat_jan_27_eng_0.pdf,Tightening,Municipal,TRUE,"government of nunavut, department of education services",all child care facilities in arviat are recommended to remain closed,19023
NU196,Nunavut,18638,18639,closures/openings,daycares,https://www.gov.nu.ca/health/news/restrictions-eased-arviat-and-whale-cove,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-january-12-2021,Easing,Regional,TRUE,government of nunavut,"for arviat and whale cove, permitted daycares to open to all children, with enhanced cleaning protocols",19023
NU189,Nunavut,18619,18620,closures/openings,daycares,https://www.gov.nu.ca/health/news/two-new-cases-covid-19-nunavut-0,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-january-12-2021,Tightening,Regional,TRUE,government of nunavut,"for whale cove, reduced capacity in daycares to care for children of essential workers only",18639
NU168,Nunavut,18596,18598,distancing,work from home,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-november-30-2020,Not applicable,Easing,Regional,TRUE,government of nunavut,"permitted business and government offices to open for in-person work for all of nunavut, except arviat",19023
NU167,Nunavut,18596,18598,closures/openings,daycares,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-november-30-2020,Not applicable,Easing,Regional,TRUE,government of nunavut,"for all nunavut, except arviat, permitted daycares to open to all children, with enhanced cleaning protocols",19023
NU114,Nunavut,18572,18572,distancing,work from home,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-november-6-2020,Not applicable,Tightening,Municipal,TRUE,government of nunavut,announced transitional procedures for government employees in sanikiluaq to work from home and encouraged others to do so where possible,19023
NU111,Nunavut,18572,18572,closures/openings,daycares,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-november-6-2020,Not applicable,Tightening,Municipal,TRUE,"government of nunavut, chief public health officer",recommended closure of child care facilities in sanikiluaq due to covid-19 cases in the community,19023
NU064,Nunavut,18414,18421,distancing,work from home,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-june-1-2020,Not applicable,Easing,Provincial/territorial,FALSE,"government of nunavut, workers’ safety and compensation commission",returned all government employees to working in office. the government of nunavut is the territory's largest employer. permitted other workplaces to open in-person.,19023
NU050,Nunavut,18407,18414,closures/openings,daycares,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-june-1-2020,https://gov.nu.ca/executive-and-intergovernmental-affairs/news/covid-19-gn-update-may-25-2020,Easing,Provincial/territorial,FALSE,"government of nunavut, department of education services","opened daycares using newly developed guidelines for child care facility reopening, including information on enhanced cleaning and hygiene, and physical distancing during drop-off and pickup",19023
NU012,Nunavut,18339,18339,distancing,work from home,https://www.gov.nu.ca/executive-and-intergovernmental-affairs/news/government-nunavut-transitioning-work-home-procedures,https://www.gov.nu.ca/sites/default/files/2020-03_nr11_premier_gn_transitioning_to_work-from-home_procedures_-eng.pdf,Tightening,Provincial/territorial,FALSE,government of nunavut,announced transitional procedures for government employees to work from home and encouraged others to do so where possible,19023
NU004,Nunavut,18337,18337,closures/openings,daycares,https://www.gov.nu.ca/health/news/temporary-nunavut-wide-school-and-daycare-closures-precaution-covid-19,Not applicable,Tightening,Provincial/territorial,FALSE,"government of nunavut, premier",schools and daycares are closed for minimum 3 weeks.,18358
NT175,Northwest Territories,18759,18764,closures/openings,education,https://www.gov.nt.ca/en/newsroom/public-health-order-school-closures-yellowknife-ndilo-dettah-and-behchoko-be-lifted-Monday,https://www.gov.nt.ca/covid-19/sites/covid/files/resources/revocation-yellowknife-ndilo-dettah-behchoko-covid-19-restrictio._.pdf,Easing,Regional,FALSE,chief public health officer,"reopened all schools in yellowknife, ndilǫ̨, dettah and behchokǫ̀, including after-school and other extracurricular programs",19023
NT170,Northwest Territories,18750,18750,closures/openings,education,https://www.gov.nt.ca/en/newsroom/dr-kami-kandola-covid-19-update,https://www.gov.nt.ca/covid-19/sites/covid/files/resources/public-health-order-yellowknife-ndilo-dettah-behchoko-covid-19-restrictions-2021-05-05_0.pdf,Tightening,Regional,FALSE,chief public health officer,"closed all schools in yellowknife, dettah and ndilǫ̨ to in-class learning as well as after-school care programs; all extracurricular, club and sports activities for those under the age of 18 are also suspended",19023
NT116,Northwest Territories,18502,18502,closures/openings,education,https://www.ssdec.net/,https://www.yk1.nt.ca/documents/general/2020-2021%20YK1%20Calendars.pdf,Easing,Provincial/territorial,FALSE,northwest territories school boards,"first known elementary, middle or high school opening in territory; date varied by school board with the majority returning to school august 31",19023
NT016,Northwest Territories,18340,18340,distancing,work from home,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19/information-employers-and-businesses,https://www.wscc.nt.ca/news/coronavirus-covid-19-%E2%80%93-update-employers-and-workers,Tightening,Provincial/territorial,FALSE,chief public health officer,all government employees transitioned to working from home. other employers encouraged to facilitate where possible.,19023
NS303,Nova Scotia,18778,18781,closures/openings,education,https://novascotia.ca/news/release/?id=20210531006,Not applicable,Easing,Regional,FALSE,department of education and early childhood development,announced that in-person classes will resume at all public and private schools in halifax regional municipality and sydney,19023
NS257,Nova Scotia,18744,18745,closures/openings,education,https://novascotia.ca/news/release/?id=20210427003,Not applicable,Tightening,Provincial/territorial,FALSE,"premier, department of health and wellness","for all of n.s., closed all public and private schools",19023
NS132,Nova Scotia,18507,18513,closures/openings,education,https://novascotia.ca/news/release/?id=20200902004,Not applicable,Easing,Provincial/territorial,FALSE,"department of health and wellness, department of education and early childhood development",opened public schools for first day of classes,19023
NS082,Nova Scotia,18415,18428,closures/openings,daycares,https://novascotia.ca/news/release/?id=20200602005,https://novascotia.ca/news/release/?id=20200614002,Easing,Provincial/territorial,FALSE,department of education and early childhood development,"permitted licensed child care centres to open at 50% capacity, with a possibility to operate at full capacity if able to follow guidelines; opened family daycare homes at full operating capacity",19023
NS009,Nova Scotia,18336,18338,closures/openings,daycares,https://novascotia.ca/news/release/?id=20200315002,Not applicable,Tightening,Provincial/territorial,FALSE,department of education and early childhood development,"regulated child care centres to close, to be reassessed after 2 weeks",19023
NL235,Newfoundland and Labrador,18724,18731,closures/openings,education,https://www.gov.nl.ca/releases/2021/education/0407n04/,https://www.cbc.ca/news/canada/newfoundland-labrador/high-school-hybrid-model-nl-1.5978013,Easing,Provincial/territorial,FALSE,department of education,"announced that high school students who are currently attending online classes will move into a blended learning model; under this modified scenario 2 approach, high school classes will be split into 2 groups, and students will alternate between in-class instruction and online attendance, with access 5 days each week",19023
