entry.id,jurisdiction,date.announced,date.implemented,category,type,primary.source.(news.release.or.specific.resource),secondary.source,action,level,indigenous.population.group,who,what,effective.until
AB001,Alberta,,18262,case management,case definition,https://open.alberta.ca/dataset/a86d7a85-ce89-4e1c-9ec6-d1179674988f/resource/62fe3e6f-25f5-48b0-bbed-e900d8d83fd4/download/health-guidelines-coronavirus-novel-2020-01.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,"ministry of health, government of alberta",published case definition based on alta. notifiable disease guidelines where a confirmed case is defined as person with laboratory confirmation of infection based on testing guidelines.,18988
AB002,Alberta,,18298,case management,self-isolation,https://open.alberta.ca/publications/self-isolation-information-sheet ,https://open.alberta.ca/dataset/44e7c639-7bb6-4bb4-9138-1abf5c56a7b8/resource/91cd86ac-7eaf-4376-9f9a-0b600a9af2fa/download/health-self-isolation-information-sheet.pdf,Not applicable,Provincial/territorial,FALSE,government of alberta,published infosheet with guidance on self-isolation,18988
AB003,Alberta,18334,18334,case management,online assessment,https://myhealth.alberta.ca/Journey/COVID-19/Pages/COVID-Self-Assessment.aspx ,https://globalnews.ca/news/6675698/coronavirus-alberta-online-assessment-tool/,Not applicable,Provincial/territorial,FALSE,alberta health services,launched a self-assessment online tool,18988
AB005,Alberta,18336,18336,travel,self-isolation,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Tightening,Provincial/territorial,FALSE,government of alberta,travellers returning to alta. from outside canada are required to self-isolate for 14 days.,18988
AB006,Alberta,18337,18337,health services,visitors,https://www.albertahealthservices.ca/topics/Page17001.aspx,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,Tightening,Provincial/territorial,FALSE,alberta health services,"restricted long-term care visitor access to 1 visitor only, with visitor screening in place",18988
AB007,Alberta,18336,18337,health services,visitors,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,https://www.albertahealthservices.ca/topics/Page17001.aspx,Tightening,Provincial/territorial,FALSE,"government of alberta, alberta health services, premier, chief medical officer of health",recommended restriction to only essential visitors for long-term care facilities,18988
AB008,Alberta,,18337,case management,self-isolation,https://www.albertahealthservices.ca/topics/Page16997.aspx#social ,Not applicable,Not applicable,Provincial/territorial,FALSE,government of alberta,"published guidance on self-isolation for travellers, contacts of known cases and other suspected covid-19 cases",18988
AB009,Alberta,18348,18348,distancing,gatherings,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#p25583s4,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health",prohibited gatherings of more than 15 people.,18988
AB010,Alberta,18348,18348,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/essential-services.aspx,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health","ordered closures of ""close contact"" businesses and sit-down restaurants, cafes, coffee shops, food courts and other facilities. takeout permitted. bars continue to be closed.",18988
AB011,Alberta,18348,18348,health services,delayed medical procedures,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health",all non-urgent scheduled and elective diagnostic imaging procedures postponed. urgent and emergent care outpatient ct and mri procedures continue.,18988
