regressor,Ridge.hdi,OLS
LTCH,"$-0.9670\;(-2.6272,\;0.6933),\;p = 0.2537$","$-30.7588\;(-58.3772,\;-3.1403),\;p = 0.0296$"
$D$,"$0.8467\;(0.6467,\;1.0466),\;p < 0.001$","$1.2091\;(-0.6085,\;3.0268),\;p = 0.1887$"
daycares,"$-218.8473\;(-576.2962,\;138.6016),\;p = 0.2301$","$-1376.6694\;(-5122.1732,\;2368.8343),\;p = 0.4656$"
education,"$37.3274\;(-465.1392,\;539.7939),\;p = 0.8842$","$-1018.7803\;(-7388.2127,\;5350.6521),\;p = 0.7504$"
$C_{0-4}$,"$0.0283\;(0.0254,\;0.0311),\;p < 0.001$","$0.3762\;(0.0141,\;0.7384),\;p = 0.0419$"
$C_{20-49}$,"$0.0032\;(0.0029,\;0.0036),\;p < 0.001$","$-0.0281\;(-0.1387,\;0.0825),\;p = 0.6138$"
$C_{50-64}$,"$0.0057\;(0.0051,\;0.0063),\;p < 0.001$","$-0.0559\;(-0.4052,\;0.2934),\;p = 0.7503$"
$C_{5-19}$,"$0.0081\;(0.0072,\;0.0090),\;p < 0.001$","$0.0109\;(-0.1130,\;0.1349),\;p = 0.8608$"
$C_{\ge65}$,"$0.0067\;(0.0058,\;0.0075),\;p < 0.001$","$0.0042\;(-0.2759,\;0.2843),\;p = 0.9760$"
interaction_20_to_49_WFH,"$0.0012\;(0.0010,\;0.0014),\;p < 0.001$","$-0.0176\;(-0.0602,\;0.0249),\;p = 0.4110$"
interaction_50_to_64_WFH,"$0.0020\;(0.0017,\;0.0024),\;p < 0.001$","$0.0486\;(-0.1194,\;0.2166),\;p = 0.5651$"
interaction_65_plus_WFH,"$0.0023\;(0.0019,\;0.0028),\;p < 0.001$","$-0.0119\;(-0.1465,\;0.1227),\;p = 0.8604$"
$v_{\text{prov}}\cdot C_{20-49}$,"$0.0565\;(0.0506,\;0.0624),\;p < 0.001$","$1.3574\;(0.0265,\;2.6882),\;p = 0.0457$"
$v_{\text{prov}}\cdot C_{50-64}$,"$0.0966\;(0.0866,\;0.1066),\;p < 0.001$","$-2.4295\;(-7.0807,\;2.2217),\;p = 0.3007$"
$v_{\text{prov}}\cdot C_{\ge65}$,"$0.1128\;(0.1002,\;0.1255),\;p < 0.001$","$1.6948\;(-2.2270,\;5.6167),\;p = 0.3913$"
CA,"$-7.7372\;(-16.3315,\;0.8570),\;p = 0.0776$","$-5.2006\;(-69.7256,\;59.3244),\;p = 0.8726$"
CMA,"$15.4748\;(6.2527,\;24.6968),\;p = 0.0010$","$-58.7200\;(-146.7819,\;29.3420),\;p = 0.1876$"
Moderate,"$1.8480\;(-1.3446,\;5.0406),\;p = 0.2566$","$-41.9468\;(-81.7985,\;-2.0950),\;p = 0.0394$"
None,"$-7.1130\;(-16.0579,\;1.8318),\;p = 0.1191$","$-172.2962\;(-367.1717,\;22.5793),\;p = 0.0821$"
Strong,"$10.4921\;(5.3219,\;15.6622),\;p < 0.001$","$44.5042\;(-25.9523,\;114.9607),\;p = 0.2116$"
Weak,"$6.1825\;(-0.8765,\;13.2416),\;p = 0.0860$","$6.4225\;(-50.2366,\;63.0816),\;p = 0.8216$"
$Y_{u-1}$,"$0.3253\;(0.2756,\;0.3750),\;p < 0.001$","$0.9370\;(0.3889,\;1.4852),\;p = 0.0011$"
work_from_home,"$-32.8760\;(-105.7295,\;39.9775),\;p = 0.3764$","$-454.0100\;(-1390.4631,\;482.4431),\;p = 0.3365$"
