Code,Census subdivision,Type
2446005Abercorn,Abercorn,Village
1311026Aberdeen,Aberdeen,Parish
4706042Abernethy No. 186,Abernethy No. 186,Rural municipality
4804001Acadia No. 34,Acadia No. 34,Municipal district
1308024Acadieville,Acadieville,Parish
4805044Acme,Acme,Village
2448028Acton Vale,Acton Vale,Ville
3511035Addington Highlands,Addington Highlands,Township
3547043Admaston/Bromley,Admaston/Bromley,Township
4716860Ahtahkakoop 104,Ahtahkakoop 104,Indian reserve
5923047Alberni-Clayoquot A,Alberni-Clayoquot A,Regional district electoral area
5923049Alberni-Clayoquot C,Alberni-Clayoquot C,Regional district electoral area
1103052Alberton,Alberton,Town
3559011Alberton,Alberton,Township
2407025Albertville,Albertville,Municipalité
3514027Alderville First Nation,Alderville First Nation,Indian reserve
4601071Alexander,Alexander,Rural municipality
4813811Alexis 133,Alexis 133,Indian reserve
3546018Algonquin Highlands,Algonquin Highlands,Township
4808034Alix,Alix,Village
1306006Alma,Alma,Village
4603040Altona,Altona,Town
4715038Alvena,Alvena,Village
1211011Amherst,Amherst,Town
2478070Amherst,Amherst,Canton (municipalité de)
2488055Amos,Amos,Ville
2407047Amqui,Amqui,Ville
5941821Anahim's Flat 1,Anahim's Flat 1,Indian reserve
4810059Andrew,Andrew,Village
"1205009Annapolis, Subd. B","Annapolis, Subd. B",Subdivision of county municipality
"1205014Annapolis, Subd. C","Annapolis, Subd. C",Subdivision of county municipality
"1205001Annapolis, Subd. D","Annapolis, Subd. D",Subdivision of county municipality
4713016Antelope Park No. 322,Antelope Park No. 322,Rural municipality
1214002Antigonish,Antigonish,Town
"1214006Antigonish, Subd. B","Antigonish, Subd. B",Subdivision of county municipality
4714036Archerwill,Archerwill,Village
4604057Argyle,Argyle,Rural municipality
2419037Armagh,Armagh,Municipalité
3549019Armour,Armour,Township
4618037Armstrong,Armstrong,Rural municipality
1001270Arnold's Cove,Arnold's Cove,Town
1312002Aroostook,Aroostook,Village
3541043Arran-Elderslie,Arran-Elderslie,Municipality
2478060Arundel,Arundel,Canton (municipalité de)
2440043Asbestos,Asbestos,Ville
5933019Ashcroft,Ashcroft,Village
3540063Ashfield-Colborne-Wawanosh,Ashfield-Colborne-Wawanosh,Township
3551011Assiginack,Assiginack,Township
4706810Assiniboine 76,Assiniboine 76,Indian reserve
2450013Aston-Jonction,Aston-Jonction,Municipalité
4813044Athabasca County,Athabasca County,Municipal district
2430055Audet,Audet,Municipalité
2483090Aumond,Aumond,Canton (municipalité de)
2487050Authier,Authier,Municipalité
2487100Authier-Nord,Authier-Nord,Municipalité
5949819Babine 17,Babine 17,Indian reserve
1008079Baie Verte,Baie Verte,Town
2450100Baie-du-Febvre,Baie-du-Febvre,Municipalité
2416013Baie-Saint-Paul,Baie-Saint-Paul,Ville
4706047Balcarres,Balcarres,Town
3552028Baldwin,Baldwin,Township
3512061Bancroft,Bancroft,Town
4815035Banff,Banff,Town
2444045Barnston-Ouest,Barnston-Ouest,Municipalité
4802023Barnwell,Barnwell,Village
2488022Barraute,Barraute,Municipalité
4813019Barrhead,Barrhead,Town
4813018Barrhead County No. 11,Barrhead County No. 11,Municipal district
4714034Barrier Valley No. 397,Barrier Valley No. 397,Rural municipality
5933074Barriere,Barriere,District municipality
4810002Bashaw,Bashaw,Town
1002027Bay L'Argent,Bay L'Argent,Town
4715011Bayne No. 371,Bayne No. 371,Rural municipality
1008040Baytona,Baytona,Town
