Code,Census subdivision,Type
6101025Aklavik,Aklavik,Hamlet
6204018Arctic Bay,Arctic Bay,Hamlet
6205015Arviat,Arviat,Hamlet
"6204030Baffin, Unorganized","Baffin, Unorganized",Unorganized
6205023Baker Lake,Baker Lake,Hamlet
6208065Bathurst Inlet,Bathurst Inlet,Settlement
6001042Beaver Creek,Beaver Creek,Settlement
6103031Behchokò,Behchokò,Community government
6001039Burwash Landing,Burwash Landing,Settlement
6208073Cambridge Bay,Cambridge Bay,Hamlet
6204007Cape Dorset,Cape Dorset,Hamlet
6001048Carcross,Carcross,Settlement
6001008Carcross 4,Carcross 4,Self-government
6001012Carmacks,Carmacks,Village
6001038Champagne Landing 10,Champagne Landing 10,Indian settlement
6205019Chesterfield Inlet,Chesterfield Inlet,Hamlet
6204015Clyde River,Clyde River,Hamlet
6102012Colville Lake,Colville Lake,Settlement
6205014Coral Harbour,Coral Harbour,Hamlet
6001029Dawson,Dawson,Town
6102003Déline,Déline,Chartered community
6001049Destruction Bay,Destruction Bay,Settlement
6106021Detah,Detah,Settlement
6105003Enterprise,Enterprise,Hamlet
6001004Faro,Faro,Town
6102009Fort Good Hope,Fort Good Hope,Chartered community
6104009Fort Liard,Fort Liard,Hamlet
6101015Fort McPherson,Fort McPherson,Hamlet
6104014Fort Providence,Fort Providence,Hamlet
6105018Fort Resolution,Fort Resolution,Hamlet
6104038Fort Simpson,Fort Simpson,Village
6105001Fort Smith,Fort Smith,Town
6103049Gamètì,Gamètì,Community government
6208081Gjoa Haven,Gjoa Haven,Hamlet
6204025Grise Fiord,Grise Fiord,Hamlet
6001018Haines Junction,Haines Junction,Village
6204011Hall Beach,Hall Beach,Hamlet
6105016Hay River,Hay River,Town
6104017Hay River Dene 1,Hay River Dene 1,Indian reserve
6204012Igloolik,Igloolik,Hamlet
6101017Inuvik,Inuvik,Town
6204003Iqaluit,Iqaluit,City
6104013Jean Marie River,Jean Marie River,Settlement
6001047Johnsons Crossing,Johnsons Crossing,Settlement
6104005Kakisa,Kakisa,Settlement
"6205033Keewatin, Unorganized","Keewatin, Unorganized",Unorganized
6001052Keno Hill,Keno Hill,Settlement
6204005Kimmirut,Kimmirut,Hamlet
"6208098Kitikmeot, Unorganized","Kitikmeot, Unorganized",Unorganized
6001019Kloo Lake,Kloo Lake,Indian settlement
6001016Klukshu,Klukshu,Indian settlement
6208047Kugaaruk,Kugaaruk,Hamlet
6208059Kugluktuk,Kugluktuk,Hamlet
6105020Lutselk'e,Lutselk'e,Settlement
6001022Mayo,Mayo,Village
6001031Moosehide Creek 2,Moosehide Creek 2,Self-government
6104010Nahanni Butte,Nahanni Butte,Settlement
6204019Nanisivik,Nanisivik,Settlement
6102007Norman Wells,Norman Wells,Town
6001043Old Crow,Old Crow,Settlement
6204009Pangnirtung,Pangnirtung,Hamlet
6101014Paulatuk,Paulatuk,Hamlet
6001041Pelly Crossing,Pelly Crossing,Settlement
6204020Pond Inlet,Pond Inlet,Hamlet
6204010Qikiqtarjuaq,Qikiqtarjuaq,Hamlet
6205017Rankin Inlet,Rankin Inlet,Hamlet
"6101063Region 1, Unorganized","Region 1, Unorganized",Unorganized
"6102063Region 2, Unorganized","Region 2, Unorganized",Unorganized
"6103097Region 3, Unorganized","Region 3, Unorganized",Unorganized
"6104097Region 4, Unorganized","Region 4, Unorganized",Unorganized
"6105097Region 5, Unorganized","Region 5, Unorganized",Unorganized
"6106097Region 6, Unorganized","Region 6, Unorganized",Unorganized
6105026Reliance,Reliance,Settlement
6205027Naujaat,Naujaat,Hamlet
6204022Resolute,Resolute,Hamlet
6001037Ross River,Ross River,Settlement
6101041Sachs Harbour,Sachs Harbour,Hamlet
6105004Salt Plains 195,Salt Plains 195,Indian reserve
6104006Sambaa K'e,Sambaa K'e,Settlement
6204001Sanikiluaq,Sanikiluaq,Hamlet
6001050Stewart Crossing,Stewart Crossing,Settlement
6001046Swift River,Swift River,Settlement
6001036Tagish,Tagish,Settlement
6208087Taloyoak,Taloyoak,Hamlet
6001006Teslin,Teslin,Village
6001057Teslin,Teslin,Teslin land
6001007Teslin Post 13,Teslin Post 13,Self-government
6101010Tsiigehtchic,Tsiigehtchic,Chartered community
6101036Tuktoyaktuk,Tuktoyaktuk,Hamlet
6102005Tulita,Tulita,Hamlet
6001035Two Mile and Two and One-Half Mile Village,Two Mile and Two and One-Half Mile Village,Indian settlement
6101095Ulukhaktok,Ulukhaktok,Hamlet
6208068Umingmaktok,Umingmaktok,Settlement
6001032Upper Liard,Upper Liard,Settlement
6001003Watson Lake,Watson Lake,Town
6103052Wekweètì,Wekweètì,Community government
6205016Whale Cove,Whale Cove,Hamlet
6103034Whatì,Whatì,Community government
6104044Wrigley,Wrigley,Settlement
"6001045Yukon, Unorganized","Yukon, Unorganized",Unorganized
