Code,Census subdivision,Type
4718042Air Ronge,Air Ronge,Northern village
5943008Alert Bay,Alert Bay,Village
5943837Alert Bay,Alert Bay,Indian reserve
4617026Alonsa,Alonsa,Rural municipality
1312001Andover,Andover,Parish
"1205004Annapolis, Subd. A","Annapolis, Subd. A",Subdivision of county municipality
"1214001Antigonish, Subd. A","Antigonish, Subd. A",Subdivision of county municipality
4701059Arcola,Arcola,Town
1202001Argyle,Argyle,Municipal district
4704038Arlington No. 79,Arlington No. 79,Rural municipality
4711011Arm River No. 252,Arm River No. 252,Rural municipality
3554036Armstrong,Armstrong,Township
4703036Assiniboia,Assiniboia,Town
4813048Athabasca,Athabasca,Town
3559001Atikokan,Atikokan,Town
4703054Auvergne No. 76,Auvergne No. 76,Rural municipality
4702062Avonlea,Avonlea,Village
1201001Barrington,Barrington,Municipal district
1315027Bas-Caraquet,Bas-Caraquet,Village
1311030Bath,Bath,Village
1001347Bay de Verde,Bay de Verde,Town
2485020Béarn,Béarn,Municipalité
4718033Beauval,Beauval,Northern village
4812828Beaver Lake 131,Beaver Lake 131,Indian reserve
5945801Bella Bella 1,Bella Bella 1,Indian reserve
5945802Bella Coola 1,Bella Coola 1,Indian reserve
4702023Bengough,Bengough,Town
4702024Bengough No. 40,Bengough No. 40,Rural municipality
4619077Berens River 13,Berens River 13,Indian reserve
2488070Berry,Berry,Municipalité
2448005Béthanie,Béthanie,Municipalité
4618076Bifrost-Riverton,Bifrost-Riverton,Municipality
3559051Big Grassy River 35G,Big Grassy River 35G,Indian reserve
4817027Big Lakes County,Big Lakes County,Municipal district
4710046Big Quill No. 308,Big Quill No. 308,Rural municipality
4716858Big River 118,Big River 118,Indian reserve
4807021Big Valley,Big Valley,Village
4712042Biggar No. 347,Biggar No. 347,Rural municipality
3551021Billings,Billings,Township
1008038Birchy Bay,Birchy Bay,Town
1009026Bird Cove,Bird Cove,Town
4615042Birdtail Creek 57,Birdtail Creek 57,Indian reserve
4714038Bjorkdale No. 426,Bjorkdale No. 426,Rural municipality
4619052Bloodvein 12,Bloodvein 12,Indian reserve
2483085Bois-Franc,Bois-Franc,Municipalité
4605032Boissevain-Morton,Boissevain-Morton,Municipality
