pruid,week_end,PROV_vaxx_AL1D,PROV_vaxx_FULL,province
10,2020-12-19,1944,0,Newfoundland and Labrador
10,2020-12-26,3570,0,Newfoundland and Labrador
10,2021-01-02,3570,0,Newfoundland and Labrador
10,2021-01-09,5694,1706,Newfoundland and Labrador
10,2021-01-16,8500,3468,Newfoundland and Labrador
10,2021-01-23,14896,3474,Newfoundland and Labrador
10,2021-01-30,16706,5524,Newfoundland and Labrador
10,2021-02-06,17780,8136,Newfoundland and Labrador
10,2021-02-13,19584,10898,Newfoundland and Labrador
10,2021-02-20,20872,12224,Newfoundland and Labrador
10,2021-02-27,33246,16424,Newfoundland and Labrador
10,2021-03-06,42174,18272,Newfoundland and Labrador
10,2021-03-13,54836,18484,Newfoundland and Labrador
10,2021-03-20,77830,19122,Newfoundland and Labrador
10,2021-03-27,102488,19294,Newfoundland and Labrador
10,2021-04-03,157468,19326,Newfoundland and Labrador
10,2021-04-10,201188,19348,Newfoundland and Labrador
10,2021-04-17,245616,19348,Newfoundland and Labrador
10,2021-04-24,294846,19392,Newfoundland and Labrador
10,2021-05-01,342570,19330,Newfoundland and Labrador
10,2021-05-08,387168,19346,Newfoundland and Labrador
10,2021-05-15,451540,19762,Newfoundland and Labrador
10,2021-05-22,520380,20918,Newfoundland and Labrador
10,2021-05-29,580076,22892,Newfoundland and Labrador
10,2021-06-05,636476,34710,Newfoundland and Labrador
10,2021-06-12,686580,51740,Newfoundland and Labrador
10,2021-06-19,727662,93456,Newfoundland and Labrador
10,2021-06-26,757614,158748,Newfoundland and Labrador
10,2021-07-03,769008,217294,Newfoundland and Labrador
10,2021-07-10,784858,308200,Newfoundland and Labrador
10,2021-07-17,794854,388448,Newfoundland and Labrador
10,2021-07-24,799892,469200,Newfoundland and Labrador
10,2021-07-31,806912,536726,Newfoundland and Labrador
10,2021-08-07,814740,596890,Newfoundland and Labrador
10,2021-08-14,822520,648060,Newfoundland and Labrador
10,2021-08-21,827836,697938,Newfoundland and Labrador
10,2021-08-28,833140,725718,Newfoundland and Labrador
10,2021-09-04,837846,742740,Newfoundland and Labrador
10,2021-09-11,842444,751812,Newfoundland and Labrador
10,2021-09-18,847000,764676,Newfoundland and Labrador
10,2021-09-25,853140,774086,Newfoundland and Labrador
10,2021-10-02,861150,786922,Newfoundland and Labrador
10,2021-10-09,870334,799526,Newfoundland and Labrador
10,2021-10-16,881128,810718,Newfoundland and Labrador
10,2021-10-23,895474,827666,Newfoundland and Labrador
10,2021-10-30,902952,838200,Newfoundland and Labrador
10,2021-11-06,907264,846688,Newfoundland and Labrador
10,2021-11-13,910542,855820,Newfoundland and Labrador
10,2021-11-20,914122,867296,Newfoundland and Labrador
10,2021-11-27,922486,877012,Newfoundland and Labrador
10,2021-12-04,936998,883744,Newfoundland and Labrador
10,2021-12-11,952356,888418,Newfoundland and Labrador
10,2021-12-18,967086,892448,Newfoundland and Labrador
11,2020-12-26,2292,0,Prince Edward Island
11,2021-01-02,3338,0,Prince Edward Island
11,2021-01-09,4950,0,Prince Edward Island
11,2021-01-16,8586,2774,Prince Edward Island
11,2021-01-23,10422,3768,Prince Edward Island
11,2021-01-30,10558,5130,Prince Edward Island
11,2021-02-06,10604,7026,Prince Edward Island
11,2021-02-13,11380,9786,Prince Edward Island
11,2021-02-20,12900,10312,Prince Edward Island
11,2021-02-27,14726,10424,Prince Edward Island
11,2021-03-06,17332,11014,Prince Edward Island
11,2021-03-13,20772,11192,Prince Edward Island
11,2021-03-20,25990,11230,Prince Edward Island
11,2021-03-27,30578,12798,Prince Edward Island
11,2021-04-03,39620,15214,Prince Edward Island
11,2021-04-10,52610,17512,Prince Edward Island
11,2021-04-17,66736,19134,Prince Edward Island
11,2021-04-24,79060,20558,Prince Edward Island
11,2021-05-01,90766,21276,Prince Edward Island
11,2021-05-08,105196,21872,Prince Edward Island
11,2021-05-15,124250,23508,Prince Edward Island
11,2021-05-22,142654,24598,Prince Edward Island
11,2021-05-29,159600,26860,Prince Edward Island
11,2021-06-05,179472,28794,Prince Edward Island
11,2021-06-12,198522,34574,Prince Edward Island
11,2021-06-19,217796,40090,Prince Edward Island
11,2021-06-26,228670,56660,Prince Edward Island
11,2021-07-03,234322,74020,Prince Edward Island
11,2021-07-10,239264,96518,Prince Edward Island
11,2021-07-17,243542,117278,Prince Edward Island
11,2021-07-24,246170,139156,Prince Edward Island
11,2021-07-31,248768,160340,Prince Edward Island
11,2021-08-07,251024,181440,Prince Edward Island
11,2021-08-14,252784,201184,Prince Edward Island
11,2021-08-21,254524,217820,Prince Edward Island
11,2021-08-28,256136,226334,Prince Edward Island
11,2021-09-04,257628,231456,Prince Edward Island
11,2021-09-11,258934,235330,Prince Edward Island
11,2021-09-18,260788,239036,Prince Edward Island
11,2021-09-25,262770,242086,Prince Edward Island
11,2021-10-02,264808,245188,Prince Edward Island
11,2021-10-09,267524,248766,Prince Edward Island
11,2021-10-16,269186,251814,Prince Edward Island
11,2021-10-23,270770,254178,Prince Edward Island
11,2021-10-30,271834,256618,Prince Edward Island
11,2021-11-06,272470,258294,Prince Edward Island
11,2021-11-13,273378,260988,Prince Edward Island
11,2021-11-20,274050,262984,Prince Edward Island
11,2021-11-27,275850,264526,Prince Edward Island
11,2021-12-04,278926,265694,Prince Edward Island
11,2021-12-11,281462,266694,Prince Edward Island
11,2021-12-18,284652,267510,Prince Edward Island
12,2020-12-19,2184,0,Nova Scotia
12,2020-12-26,4436,0,Nova Scotia
12,2021-01-02,5440,0,Nova Scotia
12,2021-01-09,5510,2152,Nova Scotia
12,2021-01-16,11480,4414,Nova Scotia
12,2021-01-23,16576,5416,Nova Scotia
12,2021-01-30,24180,5458,Nova Scotia
12,2021-02-06,25698,10266,Nova Scotia
12,2021-02-13,29454,16078,Nova Scotia
12,2021-02-20,29830,16450,Nova Scotia
12,2021-02-27,39468,25236,Nova Scotia
