"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Trepassey","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.39",57.70389,481,356,245,105,40,25,10,5,20,15,5,0,90,35,40,10,10,8.6,2
"Division No. 1, Subd. U","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3453",877.83311,1625,1630,697,210,200,105,80,20,85,50,25,15,260,55,465,0,10,2.2,3
"Cape Broyle","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.335",10.73737,489,291,211,60,60,25,30,10,25,15,5,0,85,75,95,10,0,48.6,2
"Renews-Cappahayden","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3668",134.90117,301,346,148,70,30,15,10,0,10,10,0,0,50,25,55,0,0,2.4,3
"Fermeuse","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3593",41.34959,325,178,134,45,25,5,10,5,25,20,0,0,55,10,35,0,0,8.4,3
"Ferryland","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3498",14.24814,414,254,190,65,40,25,10,5,25,20,5,5,80,40,60,0,10,30.4,2
"Division No. 1, Subd. W","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3521",949.77364,435,893,214,100,35,25,15,5,10,5,0,0,80,0,70,0,0,0.5,3
"St. Vincent's-St. Stephen's-Peter's River","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3707",89.44276,313,221,156,65,20,10,5,5,25,15,0,0,60,0,20,0,0,3.6,3
"Gaskiers-Point La Haye","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3642",24.61394,232,145,118,35,25,20,10,0,10,5,0,0,50,0,25,0,15,9.7,2
"St. Mary's","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3604",38.53811,347,216,170,70,35,15,5,10,10,10,0,0,65,45,45,10,0,9.4,2
"Mount Carmel-Mitchells Brook-St. Catherine's","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3324",63.46747,349,302,163,80,30,20,5,0,10,5,0,0,60,0,45,0,0,5.7,2
"Division No. 1, Subd. X","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3354",624.71738,513,754,235,120,45,30,15,5,15,15,5,0,75,0,150,0,0,0.9,2
"Division No. 1, Subd. B","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3661",498.0075,360,380,166,55,45,20,20,5,10,10,0,0,60,0,125,0,0,0.8,1
"Placentia","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3594",60.12648,3496,1852,1559,520,355,190,130,35,180,125,45,15,620,745,320,40,25,60.2,2
