province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital
Manitoba,Interlake-Eastern,Alexander (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Alonsa (Rural municipality) ,weak,Southern,,,,,,,
Manitoba,Prairie Mountain,Altona (Town) ,weak,Southern,,,,,,,
Manitoba,Interlake-Eastern,Arborg (Town) ,none,,,,,,,,
Manitoba,Prairie Mountain,Argyle (Rural municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Armstrong (Rural municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Beausejour (Town) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Berens River 13 (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Bifrost-Riverton (Municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Birdtail Creek 57 (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Black River 9 (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Black Sturgeon (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Bloodvein 12 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Boissevain-Morton (Municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Brandon (City) ,ca (brandon),,,,,,,,
Manitoba,Prairie Mountain,Brenda-Waskada (Municipality) ,weak,,,,,,,,
Manitoba,Northern,Brochet 197 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Brokenhead (Rural municipality) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,Brokenhead 4 (Indian reserve) ,cma (winnipeg),,,,,,,,
Manitoba,Southern Health,Buffalo Point 36 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Canupawakpa Dakota First Nation (Oak Lake 59) (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Carberry (Town) ,moderate,,,,,,,,
Manitoba,Southern Health,Carman (Town) ,moderate,,,,,,,,
Manitoba,Southern Health,Cartier (Rural municipality) ,strong,,,,,,,,
Manitoba,Prairie Mountain,Cartwright-Roblin (Municipality) ,weak,,,,,,,,
Manitoba,Northern,Chemawawin 2 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Chemawawin 3 (Indian reserve) ,none,,,,,,,,
Manitoba,Winnipeg,Churchill (Town) ,weak,,,,,,,,
Manitoba,Northern,Churchill 1 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Clanwilliam-Erickson (Municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Coldwell (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Cornwallis (Rural municipality) ,ca (brandon),,,,,,,,
Manitoba,Prairie Mountain,Crane River 51 (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Cross Lake 19 (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Cross Lake 19A (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Cross Lake 19E (Indian reserve) ,weak,,,,,,,,
Manitoba,Southern Health,Dakota Plains 6A (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Dakota Tipi 1 (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Dauphin (City) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Dauphin (Rural municipality) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Dauphin River 48A (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,De Salaberry (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Deloraine-Winchester (Municipality) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Division No. 1 Unorganized (Unorganized) ,strong,Southern,,,,,,,
Manitoba,Prairie Mountain,Division No. 17 Unorganized (Unorganized) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Division No. 18 Unorganized East Part (Unorganized) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Division No. 18 Unorganized West Part (Unorganized) ,none,Southern,,,,,,,
Manitoba,Interlake-Eastern,Division No. 19 Unorganized (Unorganized) ,moderate,Northern, Prairie Mountain,,,,,,
Manitoba,Prairie Mountain,Division No. 20 Unorganized North Part (Unorganized) ,none,,,,,,,,
Manitoba,Prairie Mountain,Division No. 20 Unorganized South Part (Unorganized),none,,,,,,,,
Manitoba,Northern,Division No. 21 Unorganized (Unorganized) ,weak,,,,,,,,
Manitoba,Northern,Division No. 22 Unorganized (Unorganized) ,strong,,,,,,,,
Manitoba,Northern,Division No. 23 Unorganized (Unorganized) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Dog Creek 46 (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Dufferin (Rural municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Dunnottar (Village) ,strong,,,,,,,,
Manitoba,Winnipeg,East St. Paul (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Prairie Mountain,Ebb and Flow 52 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Ellice-Archie (Rural municipality) ,none,,,,,,,,
Manitoba,Prairie Mountain,Elton (Rural municipality) ,ca (brandon),,,,,,,,
Manitoba,Southern Health,Emerson-Franklin (Municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Ethelbert (Municipality) ,weak ,,,,,,,,
Manitoba,Interlake-Eastern,Fairford (Part) 50 (Indian reserve) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Fairford (Part) 50 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Fisher (Rural municipality) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Fisher River 44 (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Fisher River 44A (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Flin Flon (Part) (City) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Fort Alexander 3 (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Fox Lake 2 (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Gambler 63 (Part) (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Gambler 63 (Part) (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Garden Hill First Nation (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Gilbert Plains (Municipality) ,none,,,,,,,,
Manitoba,Northern,Gillam (Indian Settlement) ,none,,,,,,,,
Manitoba,Northern,Gillam (Town) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Gimli (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Glenboro-South Cypress (Municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Glenella-Lansdowne (Municipality) ,weak,,,,,,,,
Manitoba,Northern,God's Lake 23 (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,God's River 86A (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Grahamdale (Rural municipality) ,weak,,,,,,,,
Manitoba,Northern,Grand Rapids (Town) ,moderate,,,,,,,,
Manitoba,Northern,Grand Rapids 33 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Grandview (Municipality) ,weak,,,,,,,,
Manitoba,Northern,Granville Lake (Indian Settlement) ,none,,,,,,,,
Manitoba,Prairie Mountain,Grassland (Municipality) ,weak,,,,,,,,
Manitoba,Southern Health,Grey (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Hamiota (Municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Hanover (Rural municipality) ,strong,,,,,,,,
