district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
Central East,Alice Beach,51.00,,,,,
Central East,Annaheim,210.00,100.00,55.00,40.00,10.00,0.00
Central East,Arran,25.00,,,,,
Central East,Atwater,30.00,,,,,
Central East,Bangor,38.00,,,,,
Central East,Bird's Point,112.00,40.00,0.00,45.00,0.00,0.00
Central East,Bredenbury,372.00,145.00,10.00,70.00,70.00,0.00
Central East,Bruno,611.00,175.00,55.00,60.00,50.00,0.00
Central East,Buchanan,519.00,100.00,15.00,70.00,10.00,0.00
Central East,Bulyea,113.00,20.00,10.00,8.00,0.00,0.00
Central East,Calder,460.00,75.00,0.00,55.00,10.00,0.00
Central East,Canoe Narrows,,,,,,
Central East,Chamberlain,90.00,60.00,25.00,25.00,15.00,0.00
Central East,Chorney Beach,24.00,,,,,
Central East,Churchbridge,"1,515.00",585.00,90.00,400.00,55.00,35.00
Central East,Cote First Nation,748.00,120.00,80.00,40.00,0.00,10.00
Central East,Dafoe,15.00,,,,,
Central East,Dilke,98.00,25.00,0.00,25.00,0.00,0.00
Central East,Drake,197.00,60.00,20.00,35.00,10.00,0.00
Central East,Dubuc,61.00,20.00,0.00,20.00,0.00,0.00
Central East,Duff,30.00,,,,,
Central East,Duval,83.00,25.00,10.00,0.00,25.00,0.00
Central East,Ebenezer,185.00,70.00,0.00,65.00,0.00,0.00
Central East,Elfros,441.00,120.00,0.00,100.00,25.00,0.00
Central East,Endeavour,65.00,15.00,0.00,15.00,0.00,0.00
Central East,Englefeld,285.00,115.00,35.00,30.00,50.00,0.00
Central East,Esterhazy,"2,502.00","1,075.00",910.00,125.00,35.00,10.00
Central East,Etters Beach,30.00,,,,,
Central East,Fenwood,30.00,,,,,
Central East,Foam Lake,"1,727.00",515.00,325.00,140.00,55.00,0.00
Central East,Fosston,45.00,0.00,0.00,0.00,0.00,0.00
Central East,Gerald,136.00,65.00,0.00,60.00,10.00,0.00
Central East,Glen Harbour,67.00,35.00,0.00,35.00,0.00,0.00
Central East,Goodeve,40.00,10.00,0.00,10.00,0.00,0.00
Central East,Govan,194.00,80.00,35.00,25.00,20.00,0.00
