source,standard,name,agricult,census,zone,economic,health_authority,province,Notes,,
,Abitibi-Témiscamingue,Abitibi,Abitibi-Témiscamingue—Nord-du-Québec,"La Vallee-de-l'Or, MRC",Val-d’Or (CA),Abitibi-Temiscamingue,Region de l’Abitibi-Temiscamingue,Quebec,-,,
,Algoma,Algoma,Northern Ontario Region,"Algoma, DIS","Strong, Ontario",Northeast,Porcupine, District of Algoma,Ontario,"this is the information for the North region, the South region is MIZ none",
,Bas-Saint-Laurent,BSL,Bas-Saint-Laurent,Rimouski-Neigette MRC,Rimouski (CA),Bas-Saint-Laurent,Region du Bas-Saint-Laurent,Quebec,-,,
,Brant,Brant,Southern Ontario Region,"Brant, CDR",Brantford (CMA),Hamilton-Niagara Peninsula,Brant County,Ontario,-,,
,Calgary,Calgary,Census Agricultural Region 3,"Division No. 6, CDR",Calgary (CMA),Calgary,Calgary Zone,Alberta,-,,
,Capitale-Nationale,Capitale,Quebec,"La Cote-de-Beaupre, MRC","None, Quebec",Capitale-Nationale,,Quebec,-,,
,Central,RedDeer,Census Agricultural Region 5,"Division No. 8, CDR",Red Deer (CA),Red Deer,Central Zone,Alberta,"using Red Deer, biggest dot on the map as per the alberta health zones pdf",,
,Chatham-Kent,Chatham,Southern Ontario Region,"Chatham-Kent, CDR",Chatham-Kent (CA),Windsor-Sarnia,Chatham-Kent,Ontario,-,,
,Chaudière-Appalaches,Chaudiere,Chaudiere-Appalaches,"Bellechase, MRC","Moderate, Quebec",Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,Quebec,,,
,Côte-Nord,Cote,Cote-Nord-du-Golfe-du-Saint-Laurent,Saguenay-Lac-Saint-Jean-Cote-Nord,"Moderate, Quebec",Cote-Nord,Region de la Cote Nord,Quebec,"convenient choice, but others were available",,
,Durham,Durham,Western Ontario Region,"Grey, CTY","Moderate, Ontario",Stratford-Bruce Peninsula,Grey Bruce,Ontario,"the ontario one, check this",,
,Eastern,,,,,,,,,,
,Edmonton,Edmonton,Census Agricultural Region 5,"Division No. 11, CDR",Edmonton (CMA),Edmonton,Edmonton Zone,Alberta,"assuming the cits, not the population centre",,
,Estrie,Estrie,Estrie,"Le Haut-Saint-Francois, MRC","Strong, Quebec",Estrie,Region de l’Estrie,Quebec,-,,
,Far North,,,,,,,,,,
,,,,,,,,,,,
,Gaspésie-Îles-de-la-Madeleine,Gaspesie,Gaspesie-Iles-de-la-Madeleine,"La Cote-de-Gaspe, MRC","None, Quebec",Gaspesie-Iles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,Quebec,,,
,Grey Bruce,GreyBruce,Western Ontario Region,"Grey, CTY",Owen Sound (CA),Stratford-Bruce Peninsula,Grey Bruce,Ontario,using the data for Owen Sound,,
,Haldimand-Norfolk,Haldimand,Southern Ontario Region,"Haldimand-Norfolk, CDR","Strong, Ontario",Hamilton-Niagara Peninsula,Haldimand-Norfolk,Ontario,"not a perfect match, chose the one for Haldimand County",,
,Haliburton Kawartha Pineridge,Haliburton,Central Ontario Region,"Haliburton, CTY","Moderate, Ontario",Muskoka-Kawarthas,"Haliburton, Kawartha, Pine Ridge District",Ontario,"not a perfect match, weith with the Haliburton village, population centre",,
,Halton,Halton,Western Ontario Region,"Halton, RM",Toronto (CMA),Toronto,Halton Regional, Peel Regional,Ontario,,
,Hamilton,Hamilton,Southern Ontario Region,"Hamilton, CDR",Hamilton (CMA),Hamilton-Niagara Peninsula,City of Hamilton,Ontario,,,
,Hastings Prince Edward,Hastings,Central Ontario Region,"Hastings, CTY","Moderate, Ontario",Kingston-Pembroke,Hastings and Prince Edward Counties,Ontario,using the entry for Hastings Highlands,,
,Huron Perth,Huron,Western Ontario Region,"Huron, CTY","Moderate, Ontario",Stratford-Bruce Peninsula,Huron County,Ontario,"using the entry for Huron East, since that seems representative",,
,Renfrew,Renfrew,Eastern Ontario Region,"Renfrew, CTY","Moderate, Ontario",Kingston-Pembroke,Renfrew County and District,Ontario,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Kingston Frontenac Lennox & Addington,Kingston,Eastern Ontario Region,"Frontenac, CTY",Kingston (CMA),Kingston-Pembroke,"Kingston, Frontenac and Lennox and Addington",Ontario,using KinGston City entry,,
,Labrador-Grenfell,LabradorG,Census Agricultural Region 3,"Division No. 10, CDR","Weak, N.L.",West Coast--Northern Peninsula—Labrador,Labrador-Grendell Regional Integrated,Newfoundland and Labrador,using the entry for Labrador City,,
,Lambton,Lambton,Southern Ontario Region,"Lambton, CTY","Moderate, Ontario",Windsor-Sarnia,,Ontario,using the entry for Lambton Shores,,
,Lanaudière,Lanaudiere,Lanaudiere,"Matawinie, MRC","Moderate, Quebec",Lanaudiere,Region de Lanaudiere,Quebec,WARNING –  (chose the Admin Region) results vary depending on the field chosen from StatCan,,
,Laurantides,Laurantides,Laurentides,"Antoine-Labelle, MRC","Moderate, Quebec",Laurentides-Labelle,Region de s Laurentides,Quebec,WARNING – Requires disambiguation,,
,Laval,Laval,Montreal-Laval,"Laval, TE",Montreal (CMA),Laval,Region de Laval,Quebec,"using the entry for Laval, Ville",,
,Leeds Grenville and Lanark,Leeds,Eastern Ontario Region,"Leeds and Grenville, UC","Strong, Ontario",Ottawa,"Leeds, Grenville and Lanark District",Ontario,"using hte entry Leeds and the Thousand Islands, Township",,
,Mauricie,Mauricie,Mauricie,"La Tuque, TE","Weak, Quebec",Mauricie,Region de la Maurice et du Centre-du-Quebec,Quebec,,,
,Middlesex-London,Middlesex,Southern Ontario Region,"Middlesex, CTY",London (CMA),London,Middlesex-London,Ontario,,,
