town,province,HA
,,
#  Saskatchewan list from https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan/index-of-communities,,
,,
Beauval,Saskatchewan,Far North West
Buffalo Narrows,Saskatchewan,Far North West
Canoe Narrows,Saskatchewan,Far North West
Clearwater River Dene Nation,Saskatchewan,Far North West
Cole Bay,Saskatchewan,Far North West
English River First Nation,Saskatchewan,Far North West
Ile-a-la-Crosse,Saskatchewan,Far North West
Jans Bay,Saskatchewan,Far North West
La Loche,Saskatchewan,Far North West
Michel Village,Saskatchewan,Far North West
Patuanak,Saskatchewan,Far North West
St. George's Hill,Saskatchewan,Far North West
Turnor Lake,Saskatchewan,Far North West
Dore Lake,Saskatchewan,Far North West
Dorintosh,Saskatchewan,Far North West
Goodsoil,Saskatchewan,Far North West
Green Lake,Saskatchewan,Far North West
Greig Lake,Saskatchewan,Far North West
Loon Lake,Saskatchewan,Far North West
Makwa,Saskatchewan,Far North West
Meadow Lake,Saskatchewan,Far North West
Pierceland,Saskatchewan,Far North West
,,
Uranium City,Saskatchewan,Far North Central
Fond du Lac,,Far North Central
Stony Rapids,,Far North Central
,,
,,
Air Ronge,Saskatchewan,Far North East
Brabant Lake,Saskatchewan,Far North East
Hatchet Lake First Nation,Saskatchewan,Far North East
La Ronge,Saskatchewan,Far North East
Lac La Ronge Indian Band,Saskatchewan,Far North East
Missinipe,Saskatchewan,Far North East
Pinehouse,Saskatchewan,Far North East
Southend,Saskatchewan,Far North East
Wollaston Lake,Saskatchewan,Far North East
Creighton,Saskatchewan,Far North East
Flin Flon,Saskatchewan,Far North East
Denare Beach,Saskatchewan,Far North East
Pelican Narrows,Saskatchewan,Far North East
Peter Ballantyne Cree Nation,Saskatchewan,Far North East
Sandy Bay,Saskatchewan,Far North East
,,
Aquadeo,Saskatchewan,North West
Cochin,Saskatchewan,North West
Edam,Saskatchewan,North West
Glaslyn,Saskatchewan,North West
Kivimaa-Moonlight Bay,Saskatchewan,North West
Meota,Saskatchewan,North West
Mervin,Saskatchewan,North West
Metinota,Saskatchewan,North West
Paradise Hill,Saskatchewan,North West
St. Walburg,Saskatchewan,North West
Thunderchild First Nation,Saskatchewan,North West
Turtleford,Saskatchewan,North West
Denzil,Saskatchewan,North West
Lashburn,Saskatchewan,North West
Lloydminster,Saskatchewan,North West
Macklin,Saskatchewan,North West
Maidstone,Saskatchewan,North West
Marsden,Saskatchewan,North West
Marshall,Saskatchewan,North West
Neilburg,Saskatchewan,North West
Onion Lake Cree Nation,Saskatchewan,North West
Paynton,Saskatchewan,North West
Primate,Saskatchewan,North West
Senlac,Saskatchewan,North West
Waseca,Saskatchewan,North West
Big Shell,Saskatchewan,North West
Cut Knife,Saskatchewan,North West
Denholm,Saskatchewan,North West
Echo Bay,Saskatchewan,North West
Hafford,Saskatchewan,North West
Krydor,Saskatchewan,North West
Landis,Saskatchewan,North West
Leoville,Saskatchewan,North West
Maymont,Saskatchewan,North West
Medstead,Saskatchewan,North West
Poundmaker Cree Nation,Saskatchewan,North West
Richard,Saskatchewan,North West
Ruddell,Saskatchewan,North West
Scott,Saskatchewan,North West
Shell Lake,Saskatchewan,North West
Speers,Saskatchewan,North West
Spiritwood,Saskatchewan,North West
Sweetgrass First Nation,Saskatchewan,North West
Unity,Saskatchewan,North West
Wilkie,Saskatchewan,North West
Battleford,Saskatchewan,North West
North Battleford,Saskatchewan,North West
,,
Albertville,Saskatchewan,North Central
Big River,Saskatchewan,North Central
Birch Hills,Saskatchewan,North Central
Blaine Lake,Saskatchewan,North Central
Candle Lake,Saskatchewan,North Central
Canwood,Saskatchewan,North Central
Chitek Lake,Saskatchewan,North Central
Christopher Lake,Saskatchewan,North Central
Debden,Saskatchewan,North Central
Leask,Saskatchewan,North Central
Marcelin,Saskatchewan,North Central
Meath Park,Saskatchewan,North Central
Paddockwood,Saskatchewan,North Central
Parkside,Saskatchewan,North Central
Pebble Baye,Saskatchewan,North Central
Shellbrook,Saskatchewan,North Central
Timber Bay,Saskatchewan,North Central
Waskesiu,Saskatchewan,North Central
Weirdale,Saskatchewan,North Central
Prince Albert,Saskatchewan,North Central
Alvena,Saskatchewan,North Central
Cudworth,Saskatchewan,North Central
Duck Lake,Saskatchewan,North Central
