"date","n_vac"
2020-12-14,0
2020-12-15,20
2020-12-16,0
2020-12-17,374
2020-12-18,0
2020-12-19,0
2020-12-20,1754
2020-12-21,0
2020-12-22,926
2020-12-23,562
2020-12-24,1075
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,1305
2020-12-29,486
2020-12-30,2042
2020-12-31,2558
2021-01-01,3142
2021-01-02,3000
2021-01-03,0
2021-01-04,5617
2021-01-05,3408
2021-01-06,3764
2021-01-07,3831
2021-01-08,3822
2021-01-09,4647
2021-01-10,2661
2021-01-11,1797
2021-01-12,5527
2021-01-13,5826
2021-01-14,8809
2021-01-15,7157
2021-01-16,7451
2021-01-17,4374
2021-01-18,3879
2021-01-19,2501
2021-01-20,2928
2021-01-21,1263
2021-01-22,1279
2021-01-23,1022
2021-01-24,240
2021-01-25,406
2021-01-26,361
2021-01-27,1309
2021-01-28,1401
2021-01-29,1803
2021-01-30,1425
2021-01-31,502
2021-02-01,93
2021-02-02,1091
2021-02-03,1903
2021-02-04,3047
2021-02-05,1678
2021-02-06,2650
2021-02-07,1668
2021-02-08,1973
2021-02-09,3968
2021-02-10,5127
2021-02-11,6123
2021-02-12,4814
2021-02-13,3725
2021-02-14,1727
2021-02-15,762
2021-02-16,2535
2021-02-17,2918
2021-02-18,3476
2021-02-19,4891
2021-02-20,5104
2021-02-21,3914
2021-02-22,4098
2021-02-23,7216
2021-02-24,5817
2021-02-25,9000
2021-02-26,11728
2021-02-27,11396
2021-02-28,8982
2021-03-01,7830
2021-03-02,9546
2021-03-03,10229
2021-03-04,10948
2021-03-05,9488
2021-03-06,6955
2021-03-07,7717
2021-03-08,7301
2021-03-09,6131
2021-03-10,5139
2021-03-11,8612
2021-03-12,15805
2021-03-13,12756
2021-03-14,11848
2021-03-15,10141
2021-03-16,11758
2021-03-17,17610
2021-03-18,21171
2021-03-19,20406
2021-03-20,13621
2021-03-21,7166
2021-03-22,27637
2021-03-23,9787
2021-03-24,14968
2021-03-25,19923
2021-03-26,26592
2021-03-27,18460
2021-03-28,17500
2021-03-29,13309
2021-03-30,11977
2021-03-31,14988
2021-04-01,18013
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,54472
2021-04-06,26921
2021-04-07,21428
2021-04-08,23986
2021-04-09,38872
2021-04-10,0
2021-04-11,28941
2021-04-12,84628
2021-04-13,38014
2021-04-14,33851
2021-04-15,39447
2021-04-16,38821
2021-04-17,39510
2021-04-18,25147
2021-04-19,18175
2021-04-20,31205
2021-04-21,36497
2021-04-22,42362
2021-04-23,44550
2021-04-24,41528
2021-04-25,37308
2021-04-26,20515
2021-04-27,49597
2021-04-28,28471
2021-04-29,31313
2021-04-30,34144
2021-05-01,34953
2021-05-02,23640
2021-05-03,18997
