"date","n_vac"
2020-12-14,0
2020-12-15,409
2020-12-16,0
2020-12-17,806
2020-12-18,1377
2020-12-19,0
2020-12-20,0
2020-12-21,1052
2020-12-22,464
2020-12-23,1495
2020-12-24,2575
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,3752
2020-12-30,2097
2020-12-31,3483
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,6629
2021-01-05,4070
2021-01-06,5456
2021-01-07,7399
2021-01-08,5195
2021-01-09,0
2021-01-10,0
2021-01-11,13643
2021-01-12,2392
2021-01-13,1136
2021-01-14,6316
2021-01-15,6168
2021-01-16,0
2021-01-17,0
2021-01-18,11432
2021-01-19,5023
2021-01-20,5756
2021-01-21,6776
2021-01-22,5665
2021-01-23,0
2021-01-24,0
2021-01-25,9284
2021-01-26,2509
2021-01-27,2006
2021-01-28,2890
2021-01-29,1986
2021-01-30,0
2021-01-31,0
2021-02-01,9651
2021-02-02,1560
2021-02-03,1694
2021-02-04,3421
2021-02-05,3997
2021-02-06,0
2021-02-07,0
2021-02-08,4932
2021-02-09,1089
2021-02-10,2212
2021-02-11,2090
2021-02-12,3095
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,8773
2021-02-17,4260
2021-02-18,4676
2021-02-19,12251
2021-02-20,0
2021-02-21,0
2021-02-22,25784
2021-02-23,5628
2021-02-24,6521
2021-02-25,9008
2021-02-26,12490
2021-02-27,0
2021-02-28,0
2021-03-01,23308
2021-03-02,7501
2021-03-03,6627
2021-03-04,9042
2021-03-05,12357
2021-03-06,0
2021-03-07,0
2021-03-08,22119
2021-03-09,10054
2021-03-10,11959
2021-03-11,11451
2021-03-12,13952
2021-03-13,0
2021-03-14,0
2021-03-15,28360
2021-03-16,15414
2021-03-17,19623
2021-03-18,21444
2021-03-19,24438
2021-03-20,0
2021-03-21,0
2021-03-22,49386
2021-03-23,18100
2021-03-24,25126
2021-03-25,28037
2021-03-26,27185
2021-03-27,0
2021-03-28,0
2021-03-29,61236
2021-03-30,25101
2021-03-31,31887
2021-04-01,32169
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,105341
2021-04-06,18466
2021-04-07,34040
2021-04-08,38905
2021-04-09,40018
2021-04-10,0
2021-04-11,0
2021-04-12,87082
2021-04-13,36892
2021-04-14,41839
2021-04-15,45031
2021-04-16,46228
2021-04-17,0
2021-04-18,0
2021-04-19,98069
2021-04-20,34484
2021-04-21,42302
2021-04-22,43484
2021-04-23,41636
2021-04-24,0
2021-04-25,0
2021-04-26,93306
2021-04-27,35756
2021-04-28,34281
2021-04-29,43966
2021-04-30,37397
2021-05-01,0
2021-05-02,0
2021-05-03,90558
