"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,2
2020-12-17,13
2020-12-18,160
2020-12-19,0
2020-12-20,0
2020-12-21,797
2020-12-22,0
2020-12-23,813
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,1975
2021-01-12,0
2021-01-13,1531
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,3258
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,1531
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,2516
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,1424
2021-02-11,667
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,1771
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,3827
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,4472
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,8864
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,12432
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,9178
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,13720
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,21624
2021-04-07,1660
2021-04-08,0
2021-04-09,13417
2021-04-10,0
2021-04-11,0
2021-04-12,4395
2021-04-13,2290
2021-04-14,3061
2021-04-15,6851
2021-04-16,3233
2021-04-17,0
2021-04-18,0
2021-04-19,10867
2021-04-20,2073
2021-04-21,2612
2021-04-22,3813
2021-04-23,5777
2021-04-24,0
2021-04-25,6494
2021-04-26,7666
2021-04-27,1263
2021-04-28,1255
2021-04-29,2776
2021-04-30,3349
2021-05-01,3963
2021-05-02,2916
2021-05-03,1347
