"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,5
2020-12-20,0
2020-12-21,1866
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,1034
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,1200
2021-01-07,914
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,2713
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,2704
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,3821
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,3020
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,1366
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,2539
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,5135
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,7424
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,4742
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,12871
2021-03-16,0
2021-03-17,2169
2021-03-18,1305
2021-03-19,840
2021-03-20,2054
2021-03-21,3384
2021-03-22,2089
2021-03-23,1157
2021-03-24,2034
2021-03-25,3574
2021-03-26,6002
2021-03-27,5102
2021-03-28,6202
2021-03-29,2916
2021-03-30,1195
2021-03-31,3878
2021-04-01,5543
2021-04-02,10142
2021-04-03,5945
2021-04-04,3788
2021-04-05,1556
2021-04-06,1893
2021-04-07,5195
2021-04-08,6485
2021-04-09,7056
2021-04-10,7248
2021-04-11,1480
2021-04-12,679
2021-04-13,9398
2021-04-14,5484
2021-04-15,7087
2021-04-16,8290
2021-04-17,7936
2021-04-18,6632
2021-04-19,3495
2021-04-20,3989
2021-04-21,6554
2021-04-22,7809
2021-04-23,9065
2021-04-24,8949
2021-04-25,5459
2021-04-26,2061
2021-04-27,4091
2021-04-28,4315
2021-04-29,4178
2021-04-30,5082
2021-05-01,5523
2021-05-02,2828
2021-05-03,1401
