"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,140
2020-12-17,204
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,1156
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,450
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,170
2021-01-06,0
2021-01-07,0
2021-01-08,1480
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,626
2021-01-13,0
2021-01-14,876
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,808
2021-01-20,0
2021-01-21,615
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,592
2021-01-27,0
2021-01-28,393
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,346
2021-02-03,0
2021-02-04,481
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,491
2021-02-10,0
2021-02-11,0
2021-02-12,311
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,1471
2021-02-17,0
2021-02-18,81
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,939
2021-02-24,0
2021-02-25,546
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,420
2021-03-03,0
2021-03-04,685
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,908
2021-03-10,0
2021-03-11,1037
2021-03-12,0
2021-03-13,422
2021-03-14,0
2021-03-15,0
2021-03-16,351
2021-03-17,0
2021-03-18,780
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,1853
2021-03-24,0
2021-03-25,1626
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,1454
2021-03-31,0
2021-04-01,0
2021-04-02,3441
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,2295
2021-04-07,0
2021-04-08,3489
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,4156
2021-04-14,0
2021-04-15,4411
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,3514
2021-04-21,0
2021-04-22,3260
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,3618
2021-04-28,0
2021-04-29,3306
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
