"date","n_vac"
2020-12-14,292
2020-12-15,0
2020-12-16,1156
2020-12-17,941
2020-12-18,901
2020-12-19,715
2020-12-20,716
2020-12-21,115
2020-12-22,502
2020-12-23,1891
2020-12-24,3942
2020-12-25,0
2020-12-26,3019
2020-12-27,3392
2020-12-28,2857
2020-12-29,502
2020-12-30,2739
2020-12-31,3942
2021-01-01,0
2021-01-02,342
2021-01-03,798
2021-01-04,1711
2021-01-05,2290
2021-01-06,6221
2021-01-07,9648
2021-01-08,13970
2021-01-09,12521
2021-01-10,9264
2021-01-11,8065
2021-01-12,7058
2021-01-13,7855
2021-01-14,8339
2021-01-15,11369
2021-01-16,10783
2021-01-17,8838
2021-01-18,6845
2021-01-19,10514
2021-01-20,10207
2021-01-21,11950
2021-01-22,14417
2021-01-23,9625
2021-01-24,8503
2021-01-25,1960
2021-01-26,4164
2021-01-27,4340
2021-01-28,3767
2021-01-29,3071
2021-01-30,2086
2021-01-31,84
2021-02-01,796
2021-02-02,1807
2021-02-03,716
2021-02-04,2409
2021-02-05,4718
2021-02-06,5231
2021-02-07,2646
2021-02-08,2638
2021-02-09,3406
2021-02-10,3996
2021-02-11,5742
2021-02-12,8280
2021-02-13,10341
2021-02-14,2991
2021-02-15,942
2021-02-16,2808
2021-02-17,1979
2021-02-18,2445
2021-02-19,9533
2021-02-20,17673
2021-02-21,15576
2021-02-22,8994
2021-02-23,12084
2021-02-24,10932
2021-02-25,10166
2021-02-26,13464
2021-02-27,17859
2021-02-28,13856
2021-03-01,6560
2021-03-02,16513
2021-03-03,17382
2021-03-04,17794
2021-03-05,19975
2021-03-06,21533
2021-03-07,16124
2021-03-08,16166
2021-03-09,16726
2021-03-10,18805
2021-03-11,19227
2021-03-12,29603
2021-03-13,32824
2021-03-14,34094
2021-03-15,28527
2021-03-16,30492
2021-03-17,30206
2021-03-18,27663
2021-03-19,39990
2021-03-20,43194
2021-03-21,29140
2021-03-22,21773
2021-03-23,26536
2021-03-24,31611
2021-03-25,41110
2021-03-26,56135
2021-03-27,54712
2021-03-28,46214
2021-03-29,38971
2021-03-30,43985
2021-03-31,43486
2021-04-01,42323
2021-04-02,49031
2021-04-03,47667
2021-04-04,41194
2021-04-05,22674
2021-04-06,39982
2021-04-07,44113
2021-04-08,48736
2021-04-09,69703
2021-04-10,74262
2021-04-11,61465
2021-04-12,54401
2021-04-13,60229
2021-04-14,70702
2021-04-15,70117
2021-04-16,77850
2021-04-17,73636
2021-04-18,61346
2021-04-19,41177
2021-04-20,48475
2021-04-21,55501
2021-04-22,85772
2021-04-23,90225
2021-04-24,83628
2021-04-25,64949
2021-04-26,42656
2021-04-27,45757
2021-04-28,50312
2021-04-29,72303
2021-04-30,64514
2021-05-01,63633
2021-05-02,50555
2021-05-03,38187
