"date_vaccine_administered","n_vac"
2020-12-14,297
2020-12-15,866
2020-12-16,2520
2020-12-17,3518
2020-12-18,3414
2020-12-19,1279
2020-12-20,2598
2020-12-21,6374
2020-12-22,5421
2020-12-23,8802
2020-12-24,10309
2020-12-25,302
2020-12-26,3019
2020-12-27,3561
2020-12-28,7169
2020-12-29,11300
2020-12-30,8733
2020-12-31,16350
2021-01-01,8515
2021-01-02,8078
2021-01-03,5302
2021-01-04,19032
2021-01-05,18768
2021-01-06,28163
2021-01-07,35774
2021-01-08,41770
2021-01-09,36118
2021-01-10,23697
2021-01-11,39111
2021-01-12,28333
2021-01-13,30716
2021-01-14,40283
2021-01-15,48195
2021-01-16,35604
2021-01-17,27451
2021-01-18,43924
2021-01-19,36473
2021-01-20,45103
2021-01-21,42622
2021-01-22,37742
2021-01-23,24632
2021-01-24,15213
2021-01-25,23498
2021-01-26,28505
2021-01-27,22870
2021-01-28,23907
2021-01-29,21968
2021-01-30,15013
2021-01-31,5017
2021-02-01,18290
2021-02-02,11700
2021-02-03,13768
2021-02-04,19079
2021-02-05,22835
2021-02-06,21469
2021-02-07,11885
2021-02-08,22203
2021-02-09,25771
2021-02-10,29760
2021-02-11,32101
2021-02-12,35449
2021-02-13,31403
2021-02-14,17824
2021-02-15,2729
2021-02-16,33289
2021-02-17,22252
2021-02-18,25253
2021-02-19,47850
2021-02-20,49707
2021-02-21,40424
2021-02-22,61733
2021-02-23,48362
2021-02-24,49917
2021-02-25,55116
2021-02-26,67201
2021-02-27,61729
2021-02-28,46624
2021-03-01,66691
2021-03-02,64485
2021-03-03,77572
2021-03-04,76438
2021-03-05,85376
2021-03-06,76108
2021-03-07,57567
2021-03-08,78246
2021-03-09,77818
2021-03-10,86900
2021-03-11,89074
2021-03-12,109213
2021-03-13,105567
2021-03-14,92658
2021-03-15,124640
2021-03-16,120004
2021-03-17,138091
2021-03-18,156928
2021-03-19,154941
2021-03-20,141064
2021-03-21,91952
2021-03-22,143559
2021-03-23,125428
2021-03-24,170604
2021-03-25,189852
2021-03-26,217025
2021-03-27,166566
2021-03-28,146438
2021-03-29,187207
2021-03-30,169920
2021-03-31,218596
2021-04-01,203624
2021-04-02,75503
2021-04-03,219944
2021-04-04,44982
2021-04-05,320956
2021-04-06,206306
2021-04-07,231009
2021-04-08,259623
2021-04-09,321339
2021-04-10,213041
2021-04-11,205920
2021-04-12,336841
2021-04-13,269702
2021-04-14,298192
2021-04-15,308845
2021-04-16,320425
2021-04-17,249535
2021-04-18,198376
2021-04-19,269775
2021-04-20,240000
2021-04-21,314399
2021-04-22,360819
2021-04-23,368302
2021-04-24,286263
2021-04-25,231540
2021-04-26,263044
2021-04-27,256320
2021-04-28,262161
2021-04-29,305605
2021-04-30,288327
2021-05-01,232177
2021-05-02,173101
2021-05-03,226014
