province,HR,index_of_remoteness,aR_score,num_csds,first_wave_peak_date,second_wave_peak_date
Alberta,Calgary,8.8458,65,46,2020-12-04,2021-05-04
Alberta,Central,32.5606,221,138,2020-11-29,2021-04-30
Alberta,Edmonton,6.48,37,35,2020-12-13,2021-04-28
Alberta,North,60.0987,219,154,2021-01-07,2021-04-30
Alberta,South,15.8417,92,53,2020-04-30,2021-04-30
British Columbia,Central Vancouver Island,21.615,73,65,2021-01-20,2021-04-09
British Columbia,East Kootenay,10.561,51,25,2021-01-23,2021-04-08
British Columbia,Fraser East,11.0476,48,55,2020-12-12,2021-04-22
British Columbia,Fraser North,1.4064,14,13,2020-11-14,2021-04-09
British Columbia,Fraser South,1.5439,13,13,2020-11-14,2021-04-16
British Columbia,Kootenay-Boundary,13.8052,76,34,2020-12-15,2021-07-29
British Columbia,North Shore/Coast Garibaldi,18.4136,68,52,2021-01-23,2021-03-30
British Columbia,North Vancouver Island,19.9266,51,42,2020-04-20,2021-02-22
British Columbia,Northeast,12.0533,32,24,2021-01-01,2021-04-08
British Columbia,Northern Interior,34.2605,72,67,2021-01-06,2021-02-17
British Columbia,Northwest,31.0998,75,58,2021-01-09,2021-03-05
British Columbia,Okanagan,14.7632,68,49,2020-12-10,2021-08-03
British Columbia,Richmond,0.0981,1,1,2020-12-01,2021-04-07
British Columbia,South Vancouver Island,5.7864,25,25,2020-12-28,2021-04-01
British Columbia,Thompson Cariboo Shuswap,68.6975,130,160,2021-01-15,2021-02-05
British Columbia,Vancouver,0.3706,3,3,2020-11-18,2021-04-07
Manitoba,Interlake-Eastern,19.55,88,52,2020-12-27,2021-05-12
Manitoba,Northern,26.2655,64,43,2021-01-14,2021-04-09
Manitoba,Prairie Mountain,32.1793,164,81,2020-12-15,2021-05-28
Manitoba,Southern Health,12.2629,83,48,2020-11-15,2021-05-20
Manitoba,Winnipeg,1.4617,6,4,2020-11-23,2021-05-13
New Brunswick,Zone 1 (Moncton area),14.5902,80,50,2020-10-07,2021-08-01
New Brunswick,Zone 2 (Saint John area),17.1687,86,52,2021-01-06,2021-03-25
New Brunswick,Zone 3 (Fredericton area),25.6272,146,75,2021-01-05,2021-05-24
New Brunswick,Zone 4 (Edmundston area),12.8441,56,32,2021-01-17,2021-03-25
New Brunswick,Zone 5 (Campbellton area),6.3397,25,16,2020-10-09,2021-05-03
