"cases","cumulative_cases","date_report","province","date","moving_avg_seven_days"
1,1,"25-01-2020","Canada",2020-01-25,NA
0,1,"26-01-2020","Canada",2020-01-26,NA
1,2,"27-01-2020","Canada",2020-01-27,NA
1,3,"28-01-2020","Canada",2020-01-28,NA
0,3,"29-01-2020","Canada",2020-01-29,NA
0,3,"30-01-2020","Canada",2020-01-30,NA
1,4,"31-01-2020","Canada",2020-01-31,0.571428571428571
0,4,"01-02-2020","Canada",2020-02-01,0.428571428571429
0,4,"02-02-2020","Canada",2020-02-02,0.428571428571429
0,4,"03-02-2020","Canada",2020-02-03,0.285714285714286
1,5,"04-02-2020","Canada",2020-02-04,0.285714285714286
0,5,"05-02-2020","Canada",2020-02-05,0.285714285714286
2,7,"06-02-2020","Canada",2020-02-06,0.571428571428571
0,7,"07-02-2020","Canada",2020-02-07,0.428571428571429
0,7,"08-02-2020","Canada",2020-02-08,0.428571428571429
0,7,"09-02-2020","Canada",2020-02-09,0.428571428571429
0,7,"10-02-2020","Canada",2020-02-10,0.428571428571429
0,7,"11-02-2020","Canada",2020-02-11,0.285714285714286
0,7,"12-02-2020","Canada",2020-02-12,0.285714285714286
0,7,"13-02-2020","Canada",2020-02-13,0
1,8,"14-02-2020","Canada",2020-02-14,0.142857142857143
0,8,"15-02-2020","Canada",2020-02-15,0.142857142857143
0,8,"16-02-2020","Canada",2020-02-16,0.142857142857143
0,8,"17-02-2020","Canada",2020-02-17,0.142857142857143
0,8,"18-02-2020","Canada",2020-02-18,0.142857142857143
0,8,"19-02-2020","Canada",2020-02-19,0.142857142857143
1,9,"20-02-2020","Canada",2020-02-20,0.285714285714286
0,9,"21-02-2020","Canada",2020-02-21,0.142857142857143
0,9,"22-02-2020","Canada",2020-02-22,0.142857142857143
1,10,"23-02-2020","Canada",2020-02-23,0.285714285714286
1,11,"24-02-2020","Canada",2020-02-24,0.428571428571429
0,11,"25-02-2020","Canada",2020-02-25,0.428571428571429
1,12,"26-02-2020","Canada",2020-02-26,0.571428571428571
2,14,"27-02-2020","Canada",2020-02-27,0.714285714285714
2,16,"28-02-2020","Canada",2020-02-28,1
4,20,"29-02-2020","Canada",2020-02-29,1.57142857142857
4,24,"01-03-2020","Canada",2020-03-01,2
0,24,"02-03-2020","Canada",2020-03-02,1.85714285714286
9,33,"03-03-2020","Canada",2020-03-03,3.14285714285714
1,34,"04-03-2020","Canada",2020-03-04,3.14285714285714
12,46,"05-03-2020","Canada",2020-03-05,4.57142857142857
