"date","incidence"
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,0
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,1
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,4
2020-03-04,1
2020-03-05,8
2020-03-06,0
2020-03-07,6
2020-03-08,0
2020-03-09,5
2020-03-10,7
2020-03-11,7
2020-03-12,7
2020-03-13,11
2020-03-14,9
2020-03-15,0
2020-03-16,30
2020-03-17,83
2020-03-18,45
2020-03-19,40
2020-03-20,77
2020-03-21,76
2020-03-22,0
2020-03-23,48
2020-03-24,145
2020-03-25,42
2020-03-26,66
2020-03-27,67
2020-03-28,92
2020-03-29,0
2020-03-30,86
2020-03-31,43
2020-04-01,53
2020-04-02,55
2020-04-03,53
2020-04-04,29
2020-04-05,0
2020-04-06,63
2020-04-07,25
2020-04-08,45
2020-04-09,34
2020-04-10,40
2020-04-11,35
2020-04-12,0
2020-04-13,45
2020-04-14,27
2020-04-15,44
2020-04-16,14
2020-04-17,43
2020-04-18,29
2020-04-19,0
2020-04-20,52
2020-04-21,25
2020-04-22,71
2020-04-23,29
2020-04-24,29
2020-04-25,95
2020-04-26,0
2020-04-27,50
2020-04-28,55
2020-04-29,34
2020-04-30,24
2020-05-01,33
2020-05-02,26
2020-05-03,0
2020-05-04,53
2020-05-05,8
2020-05-06,23
2020-05-07,31
2020-05-08,29
2020-05-09,15
2020-05-10,0
2020-05-11,23
2020-05-12,7
2020-05-13,17
2020-05-14,15
2020-05-15,15
2020-05-16,21
2020-05-17,0
2020-05-18,16
2020-05-19,2
2020-05-20,21
2020-05-21,12
2020-05-22,28
2020-05-23,10
2020-05-24,0
2020-05-25,13
2020-05-26,11
2020-05-27,8
2020-05-28,9
2020-05-29,4
2020-05-30,11
2020-05-31,0
2020-06-01,24
2020-06-02,4
2020-06-03,21
2020-06-04,6
2020-06-05,1
2020-06-06,0
2020-06-07,0
2020-06-08,28
2020-06-09,10
2020-06-10,12
2020-06-11,14
2020-06-12,16
2020-06-13,0
2020-06-14,0
2020-06-15,36
2020-06-16,11
2020-06-17,19
2020-06-18,7
2020-06-19,7
2020-06-20,0
2020-06-21,0
2020-06-22,31
2020-06-23,13
2020-06-24,14
2020-06-25,19
2020-06-26,10
2020-06-27,0
2020-06-28,0
2020-06-29,24
2020-06-30,11
2020-07-01,0
2020-07-02,24
2020-07-03,13
2020-07-04,0
2020-07-05,0
2020-07-06,31
2020-07-07,12
2020-07-08,18
2020-07-09,20
2020-07-10,25
2020-07-11,0
2020-07-12,0
2020-07-13,62
2020-07-14,13
2020-07-15,21
2020-07-16,21
2020-07-17,27
2020-07-18,0
2020-07-19,0
2020-07-20,99
2020-07-21,31
2020-07-22,34
2020-07-23,30
2020-07-24,27
2020-07-25,0
2020-07-26,0
2020-07-27,80
2020-07-28,23
2020-07-29,41
2020-07-30,29
2020-07-31,51
2020-08-01,0
2020-08-02,0
2020-08-03,1
2020-08-04,145
2020-08-05,46
2020-08-06,47
2020-08-07,52
2020-08-08,0
2020-08-09,0
2020-08-10,130
2020-08-11,45
