"date","incidence"
2020-01-25,1
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,1
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,3
2020-03-01,4
2020-03-02,0
2020-03-03,5
2020-03-04,0
2020-03-05,2
2020-03-06,6
2020-03-07,0
2020-03-08,4
2020-03-09,3
2020-03-10,2
2020-03-11,5
2020-03-12,17
2020-03-13,20
2020-03-14,24
2020-03-15,42
2020-03-16,32
2020-03-17,12
2020-03-18,25
2020-03-19,44
2020-03-20,60
2020-03-21,59
2020-03-22,48
2020-03-23,78
2020-03-24,85
2020-03-25,99
2020-03-26,170
2020-03-27,135
2020-03-28,151
2020-03-29,211
2020-03-30,350
2020-03-31,260
2020-04-01,885
2020-04-02,436
2020-04-03,398
2020-04-04,335
2020-04-05,420
2020-04-06,404
2020-04-07,546
2020-04-08,447
2020-04-09,559
2020-04-10,407
2020-04-11,489
2020-04-12,433
2020-04-13,494
2020-04-14,560
2020-04-15,522
2020-04-16,519
2020-04-17,626
2020-04-18,561
2020-04-19,531
2020-04-20,674
2020-04-21,492
2020-04-22,712
2020-04-23,577
2020-04-24,490
2020-04-25,428
2020-04-26,487
2020-04-27,456
2020-04-28,458
2020-04-29,463
2020-04-30,391
2020-05-01,552
2020-05-02,438
2020-05-03,243
2020-05-04,548
2020-05-05,380
2020-05-06,449
2020-05-07,481
2020-05-08,430
2020-05-09,320
2020-05-10,315
2020-05-11,362
2020-05-12,344
2020-05-13,357
2020-05-14,358
2020-05-15,393
2020-05-16,373
2020-05-17,330
2020-05-18,308
2020-05-19,502
2020-05-20,439
2020-05-21,404
2020-05-22,497
2020-05-23,470
2020-05-24,338
2020-05-25,419
2020-05-26,326
2020-05-27,318
2020-05-28,383
2020-05-29,371
2020-05-30,327
2020-05-31,372
2020-06-01,464
2020-06-02,413
2020-06-03,352
2020-06-04,343
2020-06-05,416
2020-06-06,251
2020-06-07,473
2020-06-08,312
2020-06-09,279
2020-06-10,259
2020-06-11,237
2020-06-12,212
2020-06-13,246
2020-06-14,175
2020-06-15,207
2020-06-16,190
2020-06-17,196
2020-06-18,188
2020-06-19,209
2020-06-20,181
2020-06-21,157
2020-06-22,224
2020-06-23,238
2020-06-24,201
2020-06-25,178
2020-06-26,115
2020-06-27,164
2020-06-28,252
2020-06-29,238
2020-06-30,151
2020-07-01,124
2020-07-02,159
2020-07-03,165
2020-07-04,116
2020-07-05,124
2020-07-06,184
2020-07-07,84
2020-07-08,164
2020-07-09,121
2020-07-10,119
2020-07-11,81
2020-07-12,66
2020-07-13,256
2020-07-14,83
2020-07-15,104
2020-07-16,121
2020-07-17,143
2020-07-18,199
2020-07-19,147
2020-07-20,154
2020-07-21,187
2020-07-22,136
2020-07-23,143
2020-07-24,208
2020-07-25,128
2020-07-26,104
2020-07-27,150
2020-07-28,124
2020-07-29,93
2020-07-30,102
2020-07-31,118
2020-08-01,109
2020-08-02,74
2020-08-03,70
2020-08-04,126
2020-08-05,75
2020-08-06,86
2020-08-07,91
2020-08-08,77
2020-08-09,59
2020-08-10,135
2020-08-11,91
2020-08-12,73
2020-08-13,72
2020-08-14,103
2020-08-15,82
2020-08-16,48
2020-08-17,131
2020-08-18,117
2020-08-19,91
2020-08-20,97
2020-08-21,142
2020-08-22,78
2020-08-23,92
2020-08-24,157
2020-08-25,86
2020-08-26,125
2020-08-27,138
2020-08-28,116
2020-08-29,114
2020-08-30,88
2020-08-31,156
2020-09-01,135
2020-09-02,140
2020-09-03,149
2020-09-04,127
2020-09-05,157
2020-09-06,126
2020-09-07,184
2020-09-08,242
2020-09-09,185
2020-09-10,163
2020-09-11,236
2020-09-12,183
2020-09-13,223
2020-09-14,377
2020-09-15,255
2020-09-16,326
2020-09-17,339
2020-09-18,399
2020-09-19,380
2020-09-20,290
2020-09-21,514
2020-09-22,518
2020-09-23,344
2020-09-24,394
2020-09-25,498
2020-09-26,464
2020-09-27,448
2020-09-28,767
2020-09-29,563
2020-09-30,644
2020-10-01,582
2020-10-02,733
2020-10-03,642
2020-10-04,487
2020-10-05,721
2020-10-06,564
2020-10-07,643
2020-10-08,836
2020-10-09,912
2020-10-10,865
2020-10-11,564
2020-10-12,757
2020-10-13,925
2020-10-14,766
2020-10-15,711
2020-10-16,900
2020-10-17,619
2020-10-18,623
2020-10-19,773
2020-10-20,803
2020-10-21,817
2020-10-22,891
2020-10-23,888
2020-10-24,966
2020-10-25,943
2020-10-26,916
2020-10-27,871
2020-10-28,800
2020-10-29,992
2020-10-30,984
2020-10-31,862
2020-11-01,930
2020-11-02,1122
2020-11-03,1113
2020-11-04,1015
2020-11-05,998
2020-11-06,1069
2020-11-07,1209
2020-11-08,1150
