"date_report","incidence"
2020-01-25,1
2020-01-26,0
2020-01-27,1
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,0
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,1
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,0
2020-02-23,1
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,2
2020-02-28,2
2020-02-29,4
2020-03-01,4
2020-03-02,0
2020-03-03,9
2020-03-04,1
2020-03-05,12
2020-03-06,8
2020-03-07,6
2020-03-08,7
2020-03-09,19
2020-03-10,9
2020-03-11,21
2020-03-12,40
2020-03-13,42
2020-03-14,59
2020-03-15,84
2020-03-16,100
2020-03-17,156
2020-03-18,130
2020-03-19,146
2020-03-20,214
2020-03-21,244
2020-03-22,140
2020-03-23,620
2020-03-24,728
2020-03-25,589
2020-03-26,634
2020-03-27,714
2020-03-28,898
2020-03-29,665
2020-03-30,1127
2020-03-31,1143
2020-04-01,1599
2020-04-02,1587
2020-04-03,1202
2020-04-04,1429
2020-04-05,1506
2020-04-06,1250
2020-04-07,1397
2020-04-08,1291
2020-04-09,1550
2020-04-10,1312
2020-04-11,1247
2020-04-12,1098
2020-04-13,1368
2020-04-14,1460
2020-04-15,1346
2020-04-16,1732
2020-04-17,1883
2020-04-18,1530
2020-04-19,1634
2020-04-20,1842
2020-04-21,1531
2020-04-22,1970
2020-04-23,1863
2020-04-24,1624
2020-04-25,1419
2020-04-26,1587
2020-04-27,1632
2020-04-28,1466
2020-04-29,1693
2020-04-30,1573
2020-05-01,1956
2020-05-02,1578
2020-05-03,2560
2020-05-04,1482
2020-05-05,1268
2020-05-06,1487
2020-05-07,1510
2020-05-08,1468
2020-05-09,1242
2020-05-10,1167
2020-05-11,1187
2020-05-12,1158
2020-05-13,1149
2020-05-14,1223
2020-05-15,1178
2020-05-16,1233
2020-05-17,1126
2020-05-18,1076
2020-05-19,1115
2020-05-20,1079
2020-05-21,1173
2020-05-22,1210
2020-05-23,1200
2020-05-24,956
2020-05-25,1027
2020-05-26,976
2020-05-27,894
2020-05-28,994
2020-05-29,932
2020-05-30,777
2020-05-31,805
2020-06-01,818
2020-06-02,670
2020-06-03,689
2020-06-04,625
2020-06-05,682
2020-06-06,519
2020-06-07,700
2020-06-08,615
2020-06-09,459
2020-06-10,481
2020-06-11,439
2020-06-12,444
2020-06-13,447
2020-06-14,355
2020-06-15,377
2020-06-16,332
2020-06-17,391
2020-06-18,380
2020-06-19,440
2020-06-20,366
2020-06-21,298
2020-06-22,358
2020-06-23,357
2020-06-24,318
2020-06-25,369
2020-06-26,176
2020-06-27,243
2020-06-28,292
2020-06-29,647
2020-06-30,279
2020-07-01,191
2020-07-02,357
2020-07-03,325
2020-07-04,221
2020-07-05,205
2020-07-06,429
2020-07-07,204
2020-07-08,313
2020-07-09,322
2020-07-10,324
2020-07-11,173
2020-07-12,201
2020-07-13,680
2020-07-14,303
2020-07-15,343
2020-07-16,447
2020-07-17,436
2020-07-18,363
2020-07-19,319
2020-07-20,809
2020-07-21,560
2020-07-22,514
2020-07-23,470
2020-07-24,547
2020-07-25,336
2020-07-26,316
2020-07-27,723
2020-07-28,409
2020-07-29,496
2020-07-30,342
2020-07-31,499
2020-08-01,270
2020-08-02,225
2020-08-03,211
2020-08-04,735
2020-08-05,384
2020-08-06,365
2020-08-07,426
2020-08-08,242
2020-08-09,212
2020-08-10,699
2020-08-11,346
2020-08-12,402
2020-08-13,392
2020-08-14,420
2020-08-15,210
2020-08-16,168
2020-08-17,738
2020-08-18,356
2020-08-19,325
2020-08-20,404
2020-08-21,509
2020-08-22,228
2020-08-23,243
2020-08-24,805
2020-08-25,309
2020-08-26,485
2020-08-27,452
2020-08-28,504
2020-08-29,281
2020-08-30,242
2020-08-31,1051
2020-09-01,500
2020-09-02,505
2020-09-03,587
2020-09-04,610
2020-09-05,359
2020-09-06,367
2020-09-07,431
2020-09-08,1472
2020-09-09,581
2020-09-10,624
2020-09-11,726
2020-09-12,465
2020-09-13,535
2020-09-14,1418
2020-09-15,797
2020-09-16,954
2020-09-17,1167
2020-09-18,1042
2020-09-19,835
2020-09-20,801
2020-09-21,1855
2020-09-22,1288
2020-09-23,1099
2020-09-24,1325
2020-09-25,1450
2020-09-26,1246
2020-09-27,1411
2020-09-28,2243
2020-09-29,1669
2020-09-30,1816
2020-10-01,1821
2020-10-02,2121
2020-10-03,1801
2020-10-04,1609
2020-10-05,2910
2020-10-06,2380
2020-10-07,1859
2020-10-08,2476
2020-10-09,2531
2020-10-10,2118
2020-10-11,1600
2020-10-12,1732
2020-10-13,3414
2020-10-14,2549
2020-10-15,2271
2020-10-16,2566
2020-10-17,2027
2020-10-18,1791
2020-10-19,3269
2020-10-20,2327
2020-10-21,2698
2020-10-22,2838
2020-10-23,2649
2020-10-24,2212
2020-10-25,2046
2020-10-26,4173
2020-10-27,2718
2020-10-28,2667
2020-10-29,3012
