"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,302
2020-12-17,0
2020-12-18,291
2020-12-19,0
2020-12-20,0
2020-12-21,301
2020-12-22,298
2020-12-23,495
2020-12-24,490
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,300
2020-12-30,423
2020-12-31,500
2021-01-01,0
2021-01-02,32
2021-01-03,0
2021-01-04,10
2021-01-05,850
2021-01-06,873
2021-01-07,1163
2021-01-08,1156
2021-01-09,1190
2021-01-10,824
2021-01-11,855
2021-01-12,0
2021-01-13,2056
2021-01-14,0
2021-01-15,1130
2021-01-16,0
2021-01-17,0
2021-01-18,4212
2021-01-19,0
2021-01-20,4614
2021-01-21,1519
2021-01-22,1954
2021-01-23,1714
2021-01-24,1389
2021-01-25,810
2021-01-26,1618
2021-01-27,1992
2021-01-28,1977
2021-01-29,1971
2021-01-30,1981
2021-01-31,1495
2021-02-01,1032
2021-02-02,857
2021-02-03,644
2021-02-04,733
2021-02-05,1049
2021-02-06,1127
2021-02-07,1053
2021-02-08,907
2021-02-09,1186
2021-02-10,1181
2021-02-11,702
2021-02-12,1408
2021-02-13,1053
2021-02-14,1348
2021-02-15,0
2021-02-16,979
2021-02-17,663
2021-02-18,995
2021-02-19,1272
2021-02-20,841
2021-02-21,1611
2021-02-22,939
2021-02-23,1605
2021-02-24,2402
2021-02-25,2688
2021-02-26,2409
2021-02-27,2085
2021-02-28,1894
2021-03-01,1222
2021-03-02,1535
2021-03-03,1966
2021-03-04,2408
2021-03-05,2358
2021-03-06,2685
2021-03-07,2106
2021-03-08,1199
2021-03-09,1826
2021-03-10,2032
2021-03-11,2998
2021-03-12,1699
2021-03-13,2991
2021-03-14,2637
2021-03-15,1821
2021-03-16,2944
2021-03-17,3400
2021-03-18,4794
2021-03-19,5075
2021-03-20,5455
2021-03-21,5088
2021-03-22,2642
2021-03-23,3262
2021-03-24,6938
2021-03-25,5810
2021-03-26,5060
2021-03-27,5738
2021-03-28,5385
2021-03-29,5026
2021-03-30,4733
2021-03-31,5282
2021-04-01,7466
2021-04-02,0
2021-04-03,13078
2021-04-04,0
2021-04-05,5981
2021-04-06,6630
2021-04-07,5412
2021-04-08,12379
2021-04-09,25338
2021-04-10,13228
2021-04-11,6070
2021-04-12,5498
2021-04-13,6509
2021-04-14,8669
2021-04-15,8755
2021-04-16,9254
2021-04-17,10685
2021-04-18,7623
2021-04-19,5788
2021-04-20,9051
2021-04-21,13412
2021-04-22,14525
2021-04-23,19388
2021-04-24,15305
2021-04-25,10644
2021-04-26,5068
2021-04-27,8512
2021-04-28,9200
2021-04-29,10116
2021-04-30,17198
2021-05-01,9002
2021-05-02,7950
2021-05-03,4185
