"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,376
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,1087
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,827
2020-12-30,306
2020-12-31,0
2021-01-01,0
2021-01-02,124
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,1111
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,3769
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,920
2021-01-20,655
2021-01-21,652
2021-01-22,748
2021-01-23,0
2021-01-24,0
2021-01-25,508
2021-01-26,539
2021-01-27,664
2021-01-28,1218
2021-01-29,1085
2021-01-30,0
2021-01-31,0
2021-02-01,317
2021-02-02,259
2021-02-03,672
2021-02-04,611
2021-02-05,847
2021-02-06,0
2021-02-07,0
2021-02-08,924
2021-02-09,607
2021-02-10,1187
2021-02-11,1019
2021-02-12,1311
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,797
2021-02-17,909
2021-02-18,983
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,2489
2021-02-23,445
2021-02-24,1271
2021-02-25,1511
2021-02-26,1271
2021-02-27,0
2021-02-28,0
2021-03-01,837
2021-03-02,615
2021-03-03,1820
2021-03-04,2299
2021-03-05,1086
2021-03-06,0
2021-03-07,0
2021-03-08,768
2021-03-09,787
2021-03-10,2325
2021-03-11,2593
2021-03-12,1742
2021-03-13,0
2021-03-14,0
2021-03-15,1186
2021-03-16,2067
2021-03-17,2208
2021-03-18,2824
2021-03-19,2860
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,8251
2021-03-24,5446
2021-03-25,5698
2021-03-26,5717
2021-03-27,0
2021-03-28,0
2021-03-29,6046
2021-03-30,5179
2021-03-31,6459
2021-04-01,5791
2021-04-02,4780
2021-04-03,0
2021-04-04,0
2021-04-05,2068
2021-04-06,2965
2021-04-07,6730
2021-04-08,6643
2021-04-09,8539
2021-04-10,0
2021-04-11,0
2021-04-12,11775
2021-04-13,7467
2021-04-14,12261
2021-04-15,13016
2021-04-16,11925
2021-04-17,0
2021-04-18,0
2021-04-19,12771
2021-04-20,10455
2021-04-21,12783
2021-04-22,16511
2021-04-23,13476
2021-04-24,0
2021-04-25,0
2021-04-26,15287
2021-04-27,7516
2021-04-28,10172
2021-04-29,10424
2021-04-30,8306
2021-05-01,0
2021-05-02,0
2021-05-03,8417
