"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,29
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,371
2021-01-14,121
2021-01-15,462
2021-01-16,0
2021-01-17,0
2021-01-18,1158
2021-01-19,404
2021-01-20,0
2021-01-21,830
2021-01-22,447
2021-01-23,0
2021-01-24,0
2021-01-25,636
2021-01-26,265
2021-01-27,207
2021-01-28,294
2021-01-29,92
2021-01-30,0
2021-01-31,0
2021-02-01,148
2021-02-02,42
2021-02-03,13
2021-02-04,49
2021-02-05,81
2021-02-06,0
2021-02-07,0
2021-02-08,203
2021-02-09,87
2021-02-10,187
2021-02-11,59
2021-02-12,20
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,440
2021-02-17,160
2021-02-18,45
2021-02-19,65
2021-02-20,0
2021-02-21,0
2021-02-22,62
2021-02-23,34
2021-02-24,62
2021-02-25,184
2021-02-26,19
2021-02-27,0
2021-02-28,0
2021-03-01,126
2021-03-02,664
2021-03-03,5327
2021-03-04,360
2021-03-05,158
2021-03-06,0
2021-03-07,0
2021-03-08,753
2021-03-09,279
2021-03-10,476
2021-03-11,253
2021-03-12,217
2021-03-13,0
2021-03-14,0
2021-03-15,429
2021-03-16,555
2021-03-17,569
2021-03-18,369
2021-03-19,186
2021-03-20,0
2021-03-21,0
2021-03-22,240
2021-03-23,482
2021-03-24,394
2021-03-25,381
2021-03-26,175
2021-03-27,0
2021-03-28,0
2021-03-29,332
2021-03-30,568
2021-03-31,246
2021-04-01,197
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,751
2021-04-07,535
2021-04-08,0
2021-04-09,567
2021-04-10,0
2021-04-11,0
2021-04-12,331
2021-04-13,373
2021-04-14,323
2021-04-15,173
2021-04-16,404
2021-04-17,0
2021-04-18,0
2021-04-19,719
2021-04-20,487
2021-04-21,489
2021-04-22,408
2021-04-23,283
2021-04-24,0
2021-04-25,0
2021-04-26,489
2021-04-27,0
2021-04-28,469
2021-04-29,249
2021-04-30,189
2021-05-01,0
2021-05-02,0
2021-05-03,333
