"date","n_vac"
2020-12-14,0
2020-12-15,11
2020-12-16,0
2020-12-17,239
2020-12-18,301
2020-12-19,0
2020-12-20,0
2020-12-21,734
2020-12-22,234
2020-12-23,78
2020-12-24,189
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,585
2020-12-30,571
2020-12-31,516
2021-01-01,0
2021-01-02,264
2021-01-03,144
2021-01-04,147
2021-01-05,241
2021-01-06,270
2021-01-07,308
2021-01-08,1183
2021-01-09,949
2021-01-10,965
2021-01-11,1019
2021-01-12,932
2021-01-13,520
2021-01-14,1585
2021-01-15,2032
2021-01-16,2910
2021-01-17,3232
2021-01-18,2459
2021-01-19,1957
2021-01-20,2658
2021-01-21,2548
2021-01-22,1494
2021-01-23,1110
2021-01-24,654
2021-01-25,314
2021-01-26,727
2021-01-27,535
2021-01-28,57
2021-01-29,419
2021-01-30,148
2021-01-31,120
2021-02-01,88
2021-02-02,128
2021-02-03,188
2021-02-04,764
2021-02-05,2183
2021-02-06,2544
2021-02-07,0
2021-02-08,1733
2021-02-09,1534
2021-02-10,850
2021-02-11,892
2021-02-12,525
2021-02-13,1778
2021-02-14,1079
2021-02-15,0
2021-02-16,196
2021-02-17,485
2021-02-18,139
2021-02-19,2565
2021-02-20,4794
2021-02-21,2919
2021-02-22,987
2021-02-23,612
2021-02-24,1003
2021-02-25,2091
2021-02-26,4015
2021-02-27,6050
2021-02-28,2725
2021-03-01,1063
2021-03-02,947
2021-03-03,1361
2021-03-04,2493
2021-03-05,2789
2021-03-06,3577
2021-03-07,1428
2021-03-08,892
2021-03-09,736
2021-03-10,874
2021-03-11,1493
2021-03-12,2692
2021-03-13,1624
2021-03-14,2220
2021-03-15,2009
2021-03-16,4245
2021-03-17,3499
2021-03-18,6027
2021-03-19,0
2021-03-20,15281
2021-03-21,6351
2021-03-22,4344
2021-03-23,5038
2021-03-24,2298
2021-03-25,4247
2021-03-26,6941
2021-03-27,4814
2021-03-28,6187
2021-03-29,6104
2021-03-30,4636
2021-03-31,8491
2021-04-01,7706
2021-04-02,8109
2021-04-03,5504
2021-04-04,0
2021-04-05,7287
2021-04-06,5938
2021-04-07,6738
2021-04-08,10437
2021-04-09,11634
2021-04-10,12615
2021-04-11,13170
2021-04-12,8856
2021-04-13,7846
2021-04-14,8682
2021-04-15,7956
2021-04-16,8168
2021-04-17,10490
2021-04-18,11063
2021-04-19,7043
2021-04-20,5278
2021-04-21,7554
2021-04-22,7333
2021-04-23,9801
2021-04-24,10159
2021-04-25,7451
2021-04-26,3639
2021-04-27,5045
2021-04-28,7334
2021-04-29,6218
2021-04-30,5758
2021-05-01,7403
2021-05-02,8527
2021-05-03,7154
