"date","n_vac"
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,50
2021-01-05,0
2021-01-06,0
2021-01-07,260
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,185
2021-01-12,0
2021-01-13,190
2021-01-14,0
2021-01-15,499
2021-01-16,0
2021-01-17,0
2021-01-18,163
2021-01-19,0
2021-01-20,1243
2021-01-21,570
2021-01-22,570
2021-01-23,0
2021-01-24,0
2021-01-25,222
2021-01-26,445
2021-01-27,773
2021-01-28,0
2021-01-29,1326
2021-01-30,0
2021-01-31,0
2021-02-01,889
2021-02-02,0
2021-02-03,1706
2021-02-04,840
2021-02-05,588
2021-02-06,0
2021-02-07,0
2021-02-08,540
2021-02-09,175
2021-02-10,110
2021-02-11,90
2021-02-12,80
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,30
2021-02-19,306
2021-02-20,0
2021-02-21,0
2021-02-22,323
2021-02-23,1250
2021-02-24,941
2021-02-25,810
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,897
2021-03-02,1097
2021-03-03,990
2021-03-04,0
2021-03-05,1279
2021-03-06,1660
2021-03-07,0
2021-03-08,2424
2021-03-09,891
2021-03-10,1162
2021-03-11,800
2021-03-12,0
2021-03-13,1364
2021-03-14,0
2021-03-15,2232
2021-03-16,599
2021-03-17,605
2021-03-18,0
2021-03-19,0
2021-03-20,1176
2021-03-21,0
2021-03-22,790
2021-03-23,303
2021-03-24,160
2021-03-25,0
2021-03-26,222
2021-03-27,0
2021-03-28,0
2021-03-29,556
2021-03-30,447
2021-03-31,286
2021-04-01,356
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,1723
2021-04-07,776
2021-04-08,0
2021-04-09,813
2021-04-10,905
2021-04-11,0
2021-04-12,1831
2021-04-13,836
2021-04-14,503
2021-04-15,571
2021-04-16,618
2021-04-17,0
2021-04-18,0
2021-04-19,1345
2021-04-20,580
2021-04-21,0
2021-04-22,622
2021-04-23,229
2021-04-24,0
2021-04-25,0
2021-04-26,595
2021-04-27,346
2021-04-28,179
2021-04-29,189
2021-04-30,176
2021-05-01,0
2021-05-02,0
2021-05-03,348
