Province,Health Authority,commuting_population,Commute_1,Commute_2,Commute_3,Commute_4,notes
,,,,,,,Commute_1 = commute within census subdivision (CSD) of residence
Newfouldland and Labrador,Central,25280,16100,5250,3355,880,Commute_2 = commute to a different CSD within cesus division (CD) of residence
,Eastern,118255,57275,56140,3200,1640,Commute_3 = commute to a different CSD and SD within province or territory of residence
,Labrador-Grenfell,13080,9930,2635,335,180,Commute_4 = commute to a different province or territory
,Western Regional,23045,12835,7690,1725,795,
,,,,,,,
Prince Edward Island,Prince Edward Island,55135,20840,27935,5090,1275,
,,,,,,,
Nova Scotia,Zone 1 – Western,65675,27600,27545,9890,645,
,Zone 2 – Northern,51490,18180,21985,10025,1295,
,Zone 3 – Eastern,49235,37100,6180,4520,1435,
,Zone 4 – Central,179620,168125,1800,7790,1905,
,,,,,,,
New Brunswick,Zone 1 (Moncton area),84020,36285,30245,15695,1800,
,Zone 2 (Saint John area),64395,31855,12655,19025,860,
,Zone 3 (Fredericton area),67315,30460,24675,11180,995,
,Zone 4 (Edmunston area),17635,8610,6895,1790,335,
,Zone 5 (Campbellton area),8125,2805,4770,245,305,
,Zone 6 (Bathurst area),24910,9820,12825,1610,655,
,Zone 7 (Miramichi area),13965,7395,5165,1020,395,
,,,,,,,
Quebec,Capitale-Nationale,320015,228395,32220,58805,595,
,Chaudiere-Appalaches,178165,83035,27455,67915,215,
,Cote-Nord,35565,27810,6145,1475,130,
,Gaspesie Iles de la Madeleine,29060,19200,6080,3215,565,
,Mauricie et Centre-du-Quebec,194730,114770,30395,49305,265,
,Monteregie,572195,159850,98300,312170,1880,
,Abitibi-Temiscamingue,58990,40520,10910,6950,615,
,Lanaudiere,198230,45375,30015,122545,295,
,Laurentides,236395,57225,39605,137595,1970,
,Laval,177210,67680,0,109090,445,
,Estrie,184130,100910,25655,57225,345,
,Outaouais,158730,77650,7120,19090,54870,
,Montreal,782840,575810,134045,69715,3270,
,Terres-Cries-de-la-Baie-James,5680,5225,425,25,10,
,Bas-Saint-Laurent,72385,41725,18820,11375,465,
,Nord-du-Quebec,6350,5010,940,375,25,
,Nunavik,4925,4375,535,10,0,
,Saguenay-Lac-Saint-Jean,104795,77585,16785,10255,165,
,,,,,,,
Ontario,Brant County,54700,28125,8610,17875,85,
,Chatham-Kent,37740,31715,55,5915,55,
,Hamilton,213130,142620,0,70095,415,
,City of Ottawa,400475,370510,0,87900,21175,
,City of Toronto,1094805,884040,0,208165,2605,
,Durham,262055,71420,72990,117005,635,
,Elgin-St. Thomas,33250,11410,7550,14230,55,
,Grey Bruce,57535,24685,17390,15185,275,
,Haldimand-Norfolk,40550,20880,2665,16900,100,
,"Haliburton, Kawartha, Pine Ridge District",59300,25880,9650,23685,175,
,Halton,230770,82555,29980,117525,710,
,Hastings and Prince Edward,57565,30935,15070,11360,200,
,Huron County,21210,8565,6765,5820,60,
,"Kingston, Frontenac and Lennox and Addington",75040,50565,9245,14970,270,
,Lambton,46190,26280,15015,4740,155,
,"Leeds, Grenville and Lanark District",62325,18145,20140,23290,745,
,Middlesex-London,181290,141195,20980,18700,410,
,Niagara Regional Area,171345,80100,64385,26420,435,
,North Bay Parry Soung District,42810,25500,9865,6960,480,
,Northwestern,28050,20990,6345,465,255,
,Oxford County,46125,19790,11345,14915,80,
,Peel Regional,564745,253320,103625,206525,1240,
,Perth District,32050,18510,6745,4760,35,
,Peterborough County-City,49635,26700,14690,8100,145,
,Porcupine,32555,26850,4545,1000,160,
,Renfrew County and District,38760,15620,17895,4865,375,
,Simcoe Muskoka District,208650,86310,70035,51580,730,
,Sudbury and District,76220,68360,2645,4965,250,
,District of Algoma,39520,32175,5985,1285,165,
,Eastern Ontario,77685,29330,18365,26075,3920,
,Thunder Bay,58150,47130,9610,1115,295,
,Timiskaming,11675,6415,4330,700,230,
,Waterloo,231275,109500,82835,38345,600,
,Wellington-Dufferin-Guelph,122390,59915,19755,42380,340,
,Windsor-Essex,149445,80385,64670,4080,305,
,York Regional,446975,132645,103955,209550,820,
,,,,,,,
Manitoba,Interlake-Eastern,43570,12770,8870,21625,300,
,Northern Regional,21115,16465,3860,440,355,
,Prairie Mountain,58760,37770,14155,5810,1020,
,Southern,67115,27125,21555,18120,320,
,Winnipeg,314020,290335,1905,20505,1270,
,,,,,,,
Alberta,Calgary,636715,528180,87845,16765,3925,
,Central,163390,86505,57925,15755,3200,
,Edmonton,554065,392920,144980,13785,2380,
,North Bay Parry Soung District,162180,107355,41370,12460,985,
,Southern,103960,71205,25885,5590,1280,
,,,,,,,
British Columbia,Central Vancouver Island,86265,45545,27845,11755,1125,
,East Kootenay,29445,16420,11485,630,905,
,Fraser East,102875,57715,19040,25545,575,
,Fraser North,263285,69765,188730,3775,1015,
,Fraser South,296865,116015,171485,8220,1145,
,Kootenay-Boundary,25995,11205,11585,2820,380,
,North Shore/Coast Garibaldi,104310,37065,62270,4390,590,
,North Vancouver Island,39825,21005,13980,4030,810,
,North West,26165,16660,8545,740,220,
,Northeast,24000,15405,8035,280,280,
,Northern Interior,54720,39205,13490,1635,375,
,Okanagan,129855,77340,38785,8605,2120,
,Richmond,76685,43435,32550,390,305,
,South Vancouver Island,152160,56880,91180,3050,1050,
,Thompson/Cariboo,76950,51600,20460,4050,845,
,Vancouver,280550,189150,88380,1815,1210,
,,,,,,,
Yukon,Yukon,16010,13505,2265,0,235,
,,,,,,,
Northwest Territories,Northwest Territories,18655,17200,750,550,150,
,,,,,,,
Nunavut,Nunavut,11485,11050,355,30,80,
,,,,,,,
Saskatchewan,Athabasca,570,405,140,20,10,
,Cypress,14370,9355,3415,1355,245,
,Five Hills,19620,13365,3585,2525,140,
,Heartland,13015,7460,3665,1590,300,
,Keewatin Yatthe,1985,1230,570,110,75,
,Kelsey Trail,12525,6375,4755,1275,120,
,Mamawetan Churchill,50525,2500,1760,65,730,
,Mamawetan/Keewatin/Athabasca,7600,4135,2460,190,815,
,Prairie North,24225,10095,5560,3505,5070,
,Prince Albert,24130,14345,7190,2325,270,
,Regina Qu’Appelle,119360,94565,22045,2225,520,
,Saskatoon,141870,106840,23960,9950,1120,
,Sun Country,19430,11265,6720,1260,185,
,Sunrise,19215,11070,6065,1845,235,
