province,pruid,hr,hruid,mean_index,sum_index,weighted_index,mean_mr,sum_mr,weighted_mr,num_csds,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,total_commuters,F0,F3,F4,F0_prop,F3_prop,F4_prop,F_wo_C,F_with_C,population_density,wave_1_attack_rate,wave_2_attack_rate,wave_3_attack_rate,all_waves_attack_rate
Quebec,24,Abitibi-Temiscamingue,2408,0.427139024390244,35.0254,0.377203707136869,4.02985074626866,270,2.95669213519906,82,45177.51634,146682,71148,64555,41850,23975,7770,6860,3315,20300,15500,6010,6355,3095,6040,3665,1760,645,26925,40510,10830,6980,690,59010,47225,11435,10095,50.7748493951385,11.8717725820961,11.3533780227653,47225,21530,3.24679203026768,0.00116578721315499,0.00413820373324607,0.00251564609154498,0.00781963703794603
Ontario,35,Algoma,3526,0.39653125,12.689,0.336313090119728,3.22222222222222,87,2.36290207230781,32,99212.55858,118853,65295,53208,35465,21470,6910,5185,1895,17490,11910,5405,4770,1765,6090,3970,1560,575,22175,32390,7415,1395,200,41400,39665,10935,7110,19.8593848147744,5.35302860270526,3.78758658252039,39665,18045,1.19796325889694,0.000201930115352578,0.00141351080746805,0.00174164724491599,0.00335708816773662
Quebec,24,Bas-Saint-Laurent,2401,0.36551796875,46.7863,0.334925049522507,3.55660377358491,377,2.8549788484434,128,17712.87174,197301,102704,89784,56300,34100,10210,8370,3660,29440,19560,8155,7860,3535,7310,4670,1985,610,38220,41805,18740,11325,470,72340,67660,14810,12005,82.7813369585333,17.9554018290956,15.2632612123711,67660,26815,11.1388487929061,0.000319309075980355,0.00725794598101378,0.0127216790588999,0.020298934115894
Ontario,35,Brant,3527,0.0827666666666667,0.4966,0.0760560029049302,2.2,11,1.01244970098486,6,932.12852,134338,54476,52580,38810,19570,8570,7330,3345,15320,16315,6425,6740,3145,7175,4250,2140,785,19640,28195,8500,17725,95,54515,34960,12815,10670,1.84604946032056,0.674870783033903,0.479079756645533,34960,23485,144.119611317118,0.00106447914960771,0.0107490062379967,0.0169795590227635,0.0287930444103679
Alberta,48,Calgary,4832,0.1923,8.8458,0.119940027261549,2.82051282051282,110,1.22184228336124,46,39826.61457,1572617,617171,585031,433105,202455,94490,95150,41010,166785,207920,77730,90740,39460,58400,35645,16810,5955,258240,527710,93000,17815,4700,643225,425025,130185,136155,29.4260197871691,7.87704890235193,7.69693131047894,425025,266340,39.4865849628253,0.0036060909935477,0.0279088932651752,0.0287329972905037,0.0602479815492266
Quebec,24,Capitale-Nationale,2403,0.207088405797101,14.2891,0.146770485358159,2.70689655172414,157,1.33168492473257,69,9288.91892,729557,361105,334263,201560,115110,39480,34580,12395,96545,75935,31070,32835,11955,29090,18590,8420,2155,156905,228350,32230,58830,610,320020,253450,58080,46945,40.6322931486176,10.1752592235365,9.19244762784591,253450,105025,78.5405714360569,0.00263173405230846,0.02756878489275,0.0148213230768809,0.0450218420219393
Alberta,48,Central,4833,0.235458571428571,32.9642,0.208074480575823,3.76699029126214,388,3.16346092703549,140,127346.6458,487420,210561,188089,136480,72940,25360,24090,14105,61775,56045,20230,22320,13440,18725,11185,5125,2400,75845,87760,63450,16685,3310,171205,137620,36540,38160,91.0772622142761,21.3065601302563,22.6161776554676,137620,74700,3.82750560046553,0.000315949283985064,0.0193734356407205,0.0231320011489065,0.0428213860736121
Newfoundland and Labrador,10,Central,1012,0.535723636363636,58.9296,0.476527115114899,3.84615384615385,250,2.99159564138526,110,41525.3449,92641,51877,39767,30630,19200,6290,4015,1160,16805,10265,5385,3775,1050,3520,2405,935,270,11945,16105,5215,3360,860,25540,28750,8725,5095,73.8852997618247,19.9674440160894,10.147256222086,28750,13820,2.23095076568527,8.63548536824948e-05,0.000367008128150603,0.00129532280523742,0.00174868578707052
Saskatchewan,47,Central East,7,0.371786138613861,75.1008,0.35762477805624,4.19387755102041,411,3.41118001869,202,50450.65244,93655,48200,40160,26910,15940,4400,3985,2625,13925,9665,3560,3690,2395,3425,2025,855,525,16250,16865,10615,3890,360,31730,30175,6440,6610,113.048458293902,22.008165482613,20.9433762234848,30175,13050,1.85636846047496,0,0.0109657786557044,0.0141263146655277,0.0250920933212322
British Columbia,59,Central Vancouver Island,5942,0.344554929577465,24.4634,0.257955746131151,2.62745098039216,134,2.27877865865141,71,12518.33818,270205,126945,117762,80740,51645,14140,10835,4100,43950,24660,10905,9955,3780,12120,7730,3255,1160,52590,45560,27755,11715,1185,86215,96540,21890,14895,34.7782225098475,10.8970099052583,7.32476758489424,96540,36785,21.5847340209817,9.62232379119557e-05,0.00405988046113136,0.0050702244592069,0.00922632815825022
Saskatchewan,47,Central West,8,0.357709411764706,30.4053,0.350799833629417,4.39583333333333,211,3.65400558328399,85,38556.51047,35378,17204,14342,9670,5725,1500,1445,1030,5160,3610,1250,1325,985,865,555,275,105,5640,6150,3095,1475,135,10855,10800,2080,2415,58.8350607697092,10.9138378522488,12.251101378042,10800,4495,0.917562288929826,0,0.00997795239979648,0.00864944315676409,0.0186273955565606
Ontario,35,Chatham-Kent,3540,0.18405,0.3681,0.186778709746967,2,4,2,2,2487.64306,102042,46287,43174,29745,16760,5705,4800,2480,13785,10955,4300,4330,2330,4995,2975,1405,630,16335,31695,65,5900,75,37735,30120,8680,7290,1.12476941996311,0.48205318712851,0.393177392908383,30120,15970,41.0195504494925,0.0016267811293389,0.011377668019051,0.00552713588522373,0.0185315850336136
Quebec,24,Chaudiere-Appalaches,2412,0.211768382352941,28.8005,0.186743734556587,3.54887218045113,472,2.36698311282083,136,15259.60396,420082,196842,180845,121205,67050,22710,21845,9585,57415,47720,17760,20670,9320,16020,9630,4970,1385,68205,83100,27545,67855,200,178700,125620,32360,31375,92.5729481052272,21.6306529106743,21.7963989840985,125620,63735,27.5290237611121,0.00124023404954271,0.0262996272156389,0.0183797449069467,0.0459196061721283
Quebec,24,Cote-Nord,2409,0.536185714285714,26.2731,0.427635638470352,3.68571428571429,129,2.73260338528719,55,84351.14671,92475,45106,39931,27055,15085,5765,4335,1810,12240,10160,4480,4030,1685,4620,2840,1265,465,15960,27830,6125,1525,140,35620,28200,8585,6180,29.3758708583575,9.27314518601121,6.35098395563125,28200,14765,1.09630993302237,0.00134090294674236,0.0024330900243309,0.00246553122465531,0.00623952419572858
Ontario,35,Durham,3530,0.0659888888888889,0.5939,0.0503346236502535,1.5,12,1.10278821172325,9,2621.73853,645862,233936,227906,186140,80030,43850,44345,17905,60435,91855,33530,41325,16985,33850,19595,10330,3935,75950,71625,72930,116805,685,262045,136385,63455,62245,4.93478466593771,2.20440151082621,1.86081382323608,136385,125700,246.348746303088,0.00268788069277957,0.0147353459407737,0.0216811021549495,0.0391043287885028
British Columbia,59,East Kootenay,5911,0.420385185185185,11.3504,0.407137644598958,4.08695652173913,94,3.6753560072748,27,46026.69704,80827,45186,34991,24285,15025,4190,3610,1450,13195,8140,3375,3410,1340,2950,1870,805,305,14115,16580,11490,630,945,29645,27310,6050,5055,17.4773807822855,4.28600044087622,3.23661877683829,27310,11105,1.75608951321787,0.000235069964244621,0.00452818983755428,0.00778205302683509,0.012545312828634
Newfoundland and Labrador,10,Eastern,1011,0.400035570469799,59.6053,0.299691384346261,3.41904761904762,359,1.86120465928425,149,18369.40974,313163,154657,131023,94470,51820,21750,16735,4175,41985,37485,17815,15745,3945,15025,9840,4030,1215,51285,57300,56100,3255,1645,118300,93270,31685,20905,95.223347679281,29.9119217346322,16.8647305860868,93270,52590,17.0480709196702,0.000779146961805833,0.00117830011846866,0.00146249716601259,0.00341994424628708
Ontario,35,Eastern,3558,0.1239625,1.9834,0.123728904331186,2.66666666666667,40,2.33150688985116,16,5393.75136,202762,87238,83218,60605,34040,11960,10125,4500,28485,23165,9475,9455,4245,8945,5550,2485,930,29570,29410,18370,25960,3955,77695,58055,17510,14630,10.0504644152478,3.18844636240888,2.76108922234327,58055,32140,37.5920183313752,0.000808830056914017,0.0118513330900267,0.0100709205866977,0.0227310837336385
Alberta,48,Edmonton,4834,0.185142857142857,6.48,0.139968236122277,1.11428571428571,39,1.03258851991953,35,34552.12747,1349436,548233,511912,369115,177380,80115,76450,35150,142920,169520,64380,71960,33200,56680,34475,15720,6465,234485,394250,152020,14605,3105,563980,377405,114575,111625,17.2720278129177,5.78497714939467,5.94299503768764,377405,226200,39.055077033148,0.000949285479266894,0.0381514944021058,0.0185492309379622,0.0576500108193349
Quebec,24,Estrie,2405,0.165328099173554,20.0047,0.14006618410334,3.33898305084746,394,2.08725918559504,121,13011.70757,472583,239425,210286,133020,77710,23655,21175,10475,65785,47265,17700,19585,9980,19920,11855,5975,2055,92010,100955,25590,57155,365,184065,157795,35530,31620,83.3938589045132,18.1955671003901,18.4105739950967,157795,67150,36.3198294657033,0.00207370980335729,0.0216385269889099,0.00787374916152295,0.0315859859537901
Saskatchewan,47,Far North Central,1,0.6761,3.3805,0.709201011205247,4.75,19,4.69527193222192,5,320084.6643,3659,2036,1023,1000,440,240,135,190,315,435,180,115,160,250,125,70,60,370,435,350,45,30,860,685,375,335,1.97793706293706,1.07884615384615,0.943216783216783,685,710,0.0114313505397141,0,0.0740639518994261,0.0229570921016671,0.0970210440010932
Saskatchewan,47,Far North East,2,0.57831724137931,16.7712,0.557673132177228,4.92857142857143,69,4.17778604305175,29,320254.96153,21494,7503,5852,5595,2275,1270,870,1170,1260,2230,730,615,880,2125,1010,555,575,2535,2390,1750,80,735,4955,3795,2295,2070,10.1994963913328,6.78270061026381,7.01780299840335,3795,4365,0.0671152755832841,0,0.0695542942216432,0.0296361775379176,0.0991904717595608
Saskatchewan,47,Far North West,3,0.5399575,21.5983,0.513990386417301,4.28571428571429,90,3.94988943442899,40,332877.96898,26450,11709,8615,7200,3260,1565,1230,1165,2090,2635,965,880,835,2460,1165,605,690,3580,3550,2470,220,490,6730,5670,2735,2405,17.0667599107495,8.35886880560394,7.57437128364661,5670,5140,0.0794585477706672,0,0.0505103969754253,0.033421550094518,0.0839319470699433
British Columbia,59,Fraser East,5921,0.213446774193548,13.2337,0.144791883699932,2.28947368421053,87,1.46187722166092,62,18365.23647,297675,117134,109140,83805,43175,16340,15865,8435,35590,35405,12625,14740,8020,12815,7600,3705,1520,45890,57705,19595,25605,590,103495,81480,23930,24280,26.9069693839378,8.15458115320836,5.93844946285383,81480,48210,16.2086124230558,0.00174015285126396,0.0231762828588225,0.023082220542538,0.0479986562526245
