_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,geometry,Date_Added,wardName
63141,154,Toronto Congress Centre,City-operated Immunization Clinic,650 Dixon Road,,,,,-79.578275659625,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,15,"{u'type': u'Point', u'coordinates': (-79.5782756596, 43.6926992726)}",,Etobicoke North
63142,155,Malvern Community Recreation Centre,City-operated Immunization Clinic,30 Sewells Road,,,,,-79.216323517293,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,16,"{u'type': u'Point', u'coordinates': (-79.2163235173, 43.8083401584)}",,Scarborough-Rouge Park
63143,156,The Hangar,City-operated Immunization Clinic,75 Carl Hall Road,,,,,-79.473832253967,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,17,"{u'type': u'Point', u'coordinates': (-79.473832254, 43.748094044)}",,York Centre
63144,158,Cloverdale Mall,City-operated Immunization Clinic,250 The East Mall,,,,,-79.556501959627,,"","Opening April 12, by appointment only.","",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,18,"{u'type': u'Point', u'coordinates': (-79.5565019596, 43.6326036122)}",,Etobicoke-Lakeshore
63145,157,Scarborough Town Centre,City-operated Immunization Clinic,300 Borough Drive,,,,,-79.258930615442,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,19,"{u'type': u'Point', u'coordinates': (-79.2589306154, 43.7769902318)}",,Scarborough Centre
63146,150,Mitchell Field Arena,City-operated Immunization Clinic,89 Church Avenue,,,,,-79.408229001951,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,20,"{u'type': u'Point', u'coordinates': (-79.408229002, 43.7746375589)}",,Willowdale
63147,151,North Toronto Memorial Community Centre,City-operated Immunization Clinic,200 Eglinton Avenue West,,,,,-79.404512973117,,"","Opening April 12, by appointment only.","",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,21,"{u'type': u'Point', u'coordinates': (-79.4045129731, 43.7070751372)}",,Eglinton-Lawrence
63148,152,Carmine Stefano Community Centre,City-operated Immunization Clinic,3100 Weston Road,,,,,-79.53922273264,,"","Opening April 12, by appointment only.","",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,22,"{u'type': u'Point', u'coordinates': (-79.5392227326, 43.7331551777)}",,Humber River-Black Creek
63149,153,Metro Toronto Convention Centre,City-operated Immunization Clinic,"255 Front Street West, North Building, Hall A (west ramp on Front Street at John Street)",,,,,-79.386829859627,,11 a.m. to 8 p.m.,By appointment only.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,23,"{u'type': u'Point', u'coordinates': (-79.3868298596, 43.6439711284)}",,Spadina-Fort York
63150,188,North York Family Health Team Vaccination Clinic,Hospital Immunization Clinic,240 Duncan Mill Road,,,,,-79.351452284114,,"",By appointment only. Accessible and parking is available.,"",,"",,https://www.nygh.on.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,24,"{u'type': u'Point', u'coordinates': (-79.3514522841, 43.7623917075)}",,Don Valley East
63151,189,NYGH Vaccination Clinic,Hospital Immunization Clinic,4001 Leslie Street,,,,,-79.363201801951,,"",By appointment only. Accessible and parking is available.,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,25,"{u'type': u'Point', u'coordinates': (-79.363201802, 43.769755821)}",,Don Valley North
